prompt,completion
Generate ESB ItemName:Armor Smithboxand it's \nDescription: ,Tool used to etch titanite into armor for reinforcement. Rest at a bonfire to make armor reinforcement possible
Generate ESB ItemName:Armor Smithboxand it's \nDescription: ,Tool used to etch titanite into armor for reinforcement. Rest at a bonfire to make armor reinforcement possible
Generate ESB ItemName:Ash Knuckle Ringand it's \nDescription: ,"Knuckle ring worn by Rhoy the Explorer. Increases petrification resistance. Petrification is tantamount to death, and in that sense, this knuckle ring is a charm that may save your life."
Generate ESB ItemName:Ashen Estus Ringand it's \nDescription: ,"Gray crystalline ring crafted from shards. Increases FP restored by Ashen Estus Flask.>>Once a treasure brought before Lothric's Queen, she had it enshrined in the Cemetery of Untended Graves, so that one day an Unkindled might profit from its use."
Generate ESB ItemName:Astral Clocktower Keyand it's \nDescription: ,"Key to the Astral Clocktower at the top of the Grand Cathedral. The caretaker of the tower's numerous patients, known to them only as Lady Maria, made her home behind the giant star-interpreting clock."
Generate ESB ItemName:Augur of Ebrietasand it's \nDescription: ,"Remnant of the eldritch Truth encountered at Byrgenwerth. Use phantasms, the invertebrates known to be the augurs of the Great Ones, to partially summon abandoned Ebrietas. The initial encounter marked the start of an inquiry into the cosmos from within the old labyrinth, and led to the establishment of the Choir."
Generate ESB ItemName:Avolina's Dolland it's \nDescription: ,"It is said that Avolina was fond of spiders and creepy crawlies. Born outside of marriage, Avolina shamed her house, and was locked away with only her books and this ragged old doll to keep her company."
Generate ESB ItemName:Balcony Keyand it's \nDescription: ,"Key to the balcony on the first floor of the Research Hall. Lady Maria of the Astral Clocktower gave this to the patient, Adeline. Maria had hoped Adeline would find comfort in the faint breeze that carried the scent of flowers from the outside, but Adeline couldn't fathom her intentions."
Generate ESB ItemName:Balder Shieldand it's \nDescription: ,Shield of the knights of the ancient kingdom of Balder. Tweaked for improved stability. Balder was the home of Knight King Rendal but the kingdom was reduced to ruins after a widespread outbreak of Undead
Generate ESB ItemName:Baneful Bird Ringand it's \nDescription: ,"Ring of Raime the traitor. Reduces stamina loss when blocking with a shield. Raime was an agile swordsman who served King Vendrick, but after resigning from his post, he reconsidered his way of life and was born again as a stalwart warrior."
Generate ESB ItemName:Basin of Vowsand it's \nDescription: ,"Chalice used in old ceremony in which Lothric knights take their vows.>>It is only a formality now, but it remains as an empty practice.>>Place this basin at a statue of a beheading knight."
Generate ESB ItemName:Bastard of Loranand it's \nDescription: ,"Special material used in a Holy Chalice ritual. Remains of Loran infant infected by the scourge. A harbinger of curses and symbol of defilement. The additional rite Curse defiles dungeons in which hunters' HP is greatly eroded, but what better place to seek cursed blood gems but in the midst of defilement?"
Generate ESB ItemName:Beast Blood Pelletand it's \nDescription: ,"Large medicinal pellets, supposedly formed of coagulated beast blood. Banned by the Healing Church due to their unclear origin. Grants a spurt of beasthood. Ripping apart the flesh of one's enemies and being rained up by their splattering blood invigorates one's sense of beasthood, feeding strength and euphoric feeling alike."
Generate ESB ItemName:Beast Roarand it's \nDescription: ,"One of the forbidden hunter tools made by Irreverent Izzy. Borrow the strength of the terrible undead darkbeasts, if only for a moment, to blast surrounding foes back with the force of a roaring beast. The indescribable sound is broadcast with the caster's own vocal cords, which begs the question, what terrible things lurk deep within the frames of men?"
Generate ESB ItemName:Beast Roarand it's \nDescription: ,"One of the forbidden hunter tools made by Irreverent Izzy. Borrow the strength of the terrible undead darkbeasts, if only for a moment, to blast surrounding foes back with the force of a roaring beast.>>The indescribable sound is broadcast with the caster's own vocal cords, which begs the question, what terrible things lurk deep within the frames of men?"
Generate ESB ItemName:Beast Runeand it's \nDescription: ,"A secret symbol left by Caryll, runesmith of Byrgenwerth. A transcription of the roar of a labyrinth beast, the bearer of the Beast rune has accentuated transformation effects. Beast is one of the early Caryll Runes. as well as one of the first to be deemed forbidden. The discovery of blood entailed the discovery of undesirable beasts."
Generate ESB ItemName:Beast's Embrace Runeand it's \nDescription: ,"After the repeated experiments in controlling the scourge of beasts, the gentle Embrace rune was discovered. When its implementation failed, the Embrace became a forbidden rune, but this knowledge became a foundation of the Healing Church. Those who swear this oath take on a ghastly form and enjoy accentuated transformation effects, especially while wielding a beast weapon."
Generate ESB ItemName:Beasthunter's Damp Blood Gemand it's \nDescription: ,"A blood gem that fortifies weapons and adds various properties. This particular specimen has a pronounced effect, due to its extended state of dampness.Most waning blood gems provide rare special effects such as fire, bolt, or healing."
Generate ESB ItemName:Bellowing Dragoncrest Ringand it's \nDescription: ,"A special ring granted to only the most accomplished sorcerers at Vinheim Dragon School. The ring is engraved with an everlasting dragon, and boosts the strength of sorceries."
Generate ESB ItemName:Bellowing Dragoncrest Ringand it's \nDescription: ,"A special ring given to those who are deemed fit to undertake the journey of discovery in Vinheim, home of sorcery.>>Greatly boosts sorceries.>>Apropos to the Dragon School, the seal depicts an everlasting dragon. A bellowing dragon symbolizes the true nature of the consumate sorcerer."
Generate ESB ItemName:Binocularsand it's \nDescription: ,"Binoculars made of Brass. Use to peer at distant scenery. This advanced device was built by a famous craftsman of Astora. Its utility is singular, but its applications many. The value of these specs depends greatly on the imagination of their owner"
Generate ESB ItemName:Binocularsand it's \nDescription: ,"Binoculars made of Brass. Use to peer at distant scenery. This advanced device was built by a famous craftsman of Astora. Its utility is singular, but its applications many. The value of these specs depends greatly on the imagination of their owner"
Generate ESB ItemName:Black Eye Orband it's \nDescription: ,"Mystical orb found on a Keeper's corpse. Invade the world of the murderer of a Fire Keeper, to defeat the perpetrator and reclaim the soul of the Fire Keeper. The Black Eye keeps constant watch on the city of the Gods, Anor Londo"
Generate ESB ItemName:Black Eye Orband it's \nDescription: ,"Mystical orb found on a Keeper's corpse. Invade the world of the murderer of a Fire Keeper, to defeat the perpetrator and reclaim the soul of the Fire Keeper. The Black Eye keeps constant watch on the city of the Gods, Anor Londo"
Generate ESB ItemName:Black Iron Greatshieldand it's \nDescription: ,Greatshield of the might knight Tarkus Built of special black iron and even heavier than Knight Berenike's tower shield. Especially resistant to fire attacks and effective for shield bashing.
Generate ESB ItemName:Black Knight Shieldand it's \nDescription: ,Shield of the Black Knights that wander Lordan. A flowing canal is chiseled deeply into its face. Long ago the black knights faced the chaos demons and were charred black but their shields became highly resistant to fire
Generate ESB ItemName:Blacksky Eyeand it's \nDescription: ,"Soft eye blessed by a phantasm. They were discovered through Byrgenwerth's contact with the arcane, but in the end revealed nothing. Deep within the eye lies a vast stretch of dark sky that rumbles with an endless meteor storm. The slightest rub of the tiny orb, and the rock will tumble and soar."
Generate ESB ItemName:Blacksky Eyeand it's \nDescription: ,"Soft eye blessed by a phantasm. They were discovered through Byrgenwerth's contact with the arcane, but in the end revealed nothing.>>Deep within the eye lies a vast stretch of dark sky that rumbles with an endless meteor storm. The slightest rub of the tiny orb, and the rock will tumble and soar."
Generate ESB ItemName:Blood Dregand it's \nDescription: ,"The Vilebloods of Cainhurst, blood-lusting hunters, see these frightful things in coldblood. They often appear in the blood of echo fiends, that is to say, the blood of hunters. Queen Annalise partakes in these blood dreg offerings, so that she may one day bear the Child of Blood, the next Vileblood heir."
Generate ESB ItemName:Blood Gem Workshopand it's \nDescription: ,"A misplaced workshop tool from the Hunter's Dream. The hunter who retrieves this can fortify weapons by kneading blood gems into them. Blood gems add properties to weapons when used to fortify them, as blood defines an organism."
Generate ESB ItemName:Blood Gem Workshop Tooland it's \nDescription: ,"A misplaced workshop tool from the Hunter's Dream.>>The hunter who retrieves this can fortify weapons by kneading blood gems into them.>>Blood gems add properties to weapons when used to fortify them, as blood defines an organism."
Generate ESB ItemName:Blood Of Adellaand it's \nDescription: ,"Blood taken from Adella, nun of the Healing Church. Restores an amount of HP, then continues to gradually restore HP for a short time. The Healing Church nuns are chosen for their merit as vessels for blood, and groomed as Blood Saints. The mere chance of being treated with their blood lends legitimacy to the Healing Church and communion."
Generate ESB ItemName:Blood of Ariannaand it's \nDescription: ,"Blood taken from Arianna, Cathedral Ward woman of pleasure. The sweet blood of Arianna restores HP, and temporarily speeds stamina recovery. A member of the old Healing Church would know that her blood is similar indeed, to precisely what was once forbidden."
Generate ESB ItemName:Blood of the Souland it's \nDescription: ,"Blood of the soul that seeped from the hole within Slave Knight Gael. Used as pigment by his lady in Ariandel to depict a painted world.>>When Gael came upon the pygmy lords, he discovered that their blood had long ago dried, and so consumed the dark one's soul."
Generate ESB ItemName:Blood Rapture Runeand it's \nDescription: ,"A Caryll rune that transcribes inhuman sounds. Blood Rapture is the raw euphoria of the warmth of blood. Restores HP with visceral attacks, one of the darker hunter techniques. This rune resonates with servants of the Queen, carrier of the Child of Blood, who yearn for their Queen's blood with little hope of requitement. For them, they find solace in Blood Rapture, that serves as a surrogate for their desires."
Generate ESB ItemName:Blood Rapture Runeand it's \nDescription: ,"A Caryll rune that transcribes inhuman sounds. Blood Rapture is the raw euphoria of the warmth of blood. Restores HP with visceral attacks, one of the darker hunter techniques. This rune resonates with servants of the Queen, carrier of the Child of Blood, who yearn for their Queen's blood with little hope of requitement. For them, they find solace in Blood Rapture, that serves as a surrogate for their desires."
Generate ESB ItemName:Blood Stone Shardand it's \nDescription: ,"A solid shard that forms in coldblood. After death, a substance in the blood hardens, and that which does not crystallize is called a blood stone. At the workshop, these bloodstones are embedded in weapons to fortify them."
Generate ESB ItemName:Blood Vialand it's \nDescription: ,"Special blood used in ministration. Restores HP. Once a patient has had their blood ministered, a unique but common treatment in Yharnam, successive infusions recall the first, and are all the more invigorating for it. No surprise that most Yharnamites are heavy users of blood."
Generate ESB ItemName:Bloodbite Ringand it's \nDescription: ,"One of the infamous bite rings commissioned by Sir Arstor of Carim. Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent bleeding."
Generate ESB ItemName:Bloodbite Ringand it's \nDescription: ,"One of several bite rings, known for their peculiar design. Increases bleeding resistance. The similar, oddly disturbing design of these rings suggests a common source. Whoever the master craftsman was, he clearly knew his trade."
Generate ESB ItemName:Bloodshieldand it's \nDescription: ,The bloodshield spoken of in the lost legends. The red blood is slightly enchanted and boost various resistances
Generate ESB ItemName:Bloodshot Eyeballand it's \nDescription: ,"Material used in a Holy Chalice rite. An exquisite eyeball removed quickly after death, or perhaps even before. Used to unlock the seal of the old labyrinth hintertombs."
Generate ESB ItemName:Blooming Coldblood Flowerand it's \nDescription: ,"Material used in a Holy Chalice ritual. Pale vegetation that commonly grows on coldblood in a place long abandoned, that has bloomed into a bright red stygian flower."
Generate ESB ItemName:Blue Elixirand it's \nDescription: ,"Dubious liquid medicine used in strange experiments conducted by high ministers of the Healing Church. A type of anesthetic that numbs the brain. Hunters, able to retain consciousness by force of will, make use of a secondary effect of the medicine, which dilutes their presence while standing still."
Generate ESB ItemName:Blue Sealand it's \nDescription: ,"Ring of the Way of Blue covenant. Increases HP slightly. The Way of Blue is not a developed religion. It is a humble prayer that spread naturally amongst those seeking help. When apostles of Blue are invaded by dark spirits, they can receive assistance from masters of other worlds."
Generate ESB ItemName:Blue Tearstone Ringand it's \nDescription: ,The rare gem called tearstone has the uncanny ability to sense imminent death. This blue tearstone from Catarina boosts the defence of its wearer when in danger
Generate ESB ItemName:Blue Tearstone Ringand it's \nDescription: ,"A ring set with a rare tearstone. Reacts when the wearer is in danger, temporarily increasing its wearer's physical defense. Caitha, goddess of tears, mourns those who have lost loved ones by shedding pure tears of blue. It is said that the stone set in this ring is one such tear"
Generate ESB ItemName:Bold Hunter's Markand it's \nDescription: ,"Dangling, upside-down rune etched in the mind of a hunter. This reminder allows one to envision the rune with clarity. Allows a hunter to awaken again without losing Blood Echoes, a trick that seems nearly too good to be true."
Generate ESB ItemName:Bolt Paperand it's \nDescription: ,"Coarse paper that applies bolt to weapons when rubbed. Invented by Archibald, the infamous eccentric of the Healing Church workshop. Artificially recreates the blue sparks that are said to surround darkbeasts. Unlike the other strange weapons created by Archibald, this one was favored by many hunters, in particular those who had even once laid eyes on a darkbeast."
Generate ESB ItemName:Bone Marrow Ashand it's \nDescription: ,"Additional medium that strengthens Quicksilver Bullets. According to the workshop, this is a special bone marrow ash collected from Hemwick Charnel Lane. Invaluable to hunters with weak bloodtinge who require the use of stronger firearms."
Generate ESB ItemName:Bonewheel Shieldand it's \nDescription: ,Giant wooden wheel encircled by spikes. Half-melded to a strange skeleton Can be used as a great shield only for the great gaps. But at least the spikes turn into weapons with a good spin. Strange indeed!
Generate ESB ItemName:Book of the Guiltyand it's \nDescription: ,"The goddess of Sin, Velka, oversees this list of the guilty, who have disrespected the Gods or their covenants, and shall one day face the wrath of the Blades of the Darkmoon"
Generate ESB ItemName:Book of the Guiltyand it's \nDescription: ,"The goddess of Sin, Velka, oversees this list of the guilty, who have disrespected the Gods or their covenants, and shall one day face the wrath of the Blades of the Darkmoon"
Generate ESB ItemName:Bottomless Boxand it's \nDescription: ,"A peculiar bottomless wooden box. Its origins are unknown. Some deride it as a symbol of unbridled avarice.Any number of items can be deposited into the box, and items can be managed while resting at a bonfire"
Generate ESB ItemName:Bottomless Boxand it's \nDescription: ,"A peculiar bottomless wooden box. Its origins are unknown. Some deride it as a symbol of unbridled avarice.Any number of items can be deposited into the box, and items can be managed while resting at a bonfire"
Generate ESB ItemName:Bracing Knuckle Ringand it's \nDescription: ,"Knuckle ring worn by Rhoy the Explorer. Slows equipment degradation. Expensive, flashy gear will not always make life easier for you. Sometimes, you just need your tried-and-true equipment to last the long haul."
Generate ESB ItemName:Braille Divine Tome of Carimand it's \nDescription: ,"A sacred braille tome from Carim, filled with advanced miracles.>>Give to a storyteller to learn advanced Carim miracles.>>In the Way of White, there is a tradition of placing great faith in the words of the blind, and braille tomes are not unusual."
Generate ESB ItemName:Braille Divine Tome of Lothricand it's \nDescription: ,Braille Divine Tome of Lothric
Generate ESB ItemName:Broken Trinketand it's \nDescription: ,A rotting wooden amulet with an unrecognizable figure engraved into it.
Generate ESB ItemName:Bucklerand it's \nDescription: ,Very small round metal shield. Parry attacks with large center protrusion. Small shields are always less stable but landing critical hits after parry is easier. This shield is specialized for parrying.
Generate ESB ItemName:Caduceus Kite Shieldand it's \nDescription: ,Medium metal shield. Decorated by an ancient blue Caduceus. A standard widely-used shield
Generate ESB ItemName:Caduceus Round Shieldand it's \nDescription: ,Round wooden shield crafted in Lordran. Decorated by an ancient blue Caduceus. The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properites and the wood greatly reduces magic damage.
Generate ESB ItemName:Cainhurst Badgeand it's \nDescription: ,"Badge of the royal guards of Cainhurst, loyal guardians of the Vileblood Queen Annalise.>>The Vilebloods are hunters of blood, and hunt prey as they search for blood dregs. The hunter who joins them is faced with a decision: to merely borrow their strength, or to become one of them, heart and soul."
Generate ESB ItemName:Cainhurst Summonsand it's \nDescription: ,"An old blood-stained summons, inviting an honored guest to the forsaken Castle Cainhurst. Rather bafflingly, it is addressed to you. Do not hesitate; the stagecoach leaves from Hemwick crossing."
Generate ESB ItemName:Cainhurst Summonsand it's \nDescription: ,"An old blood-stained summons, inviting an honored guest to the forsaken Castle Cainhurst.>>Rather bafflingly, it is addressed to you.>>Do not hesitate; the stagecoach leaves from Hemwick crossing."
Generate ESB ItemName:Calamity Ringand it's \nDescription: ,"A ring enchanted by the orange eye of Kalameet, the bringer of calamity. Doubles damage received by its wearer. A useless ring befitting of no finger. Best left unknown, or at least well hidden."
Generate ESB ItemName:Calamity Ringand it's \nDescription: ,"A ring made from the orange eye of a calamitous dragon. Receive double damage.>>This ring has no useful powers, and is merely a symbol of dragon worship, a thing quietly passed down amongst its most fervent adherents, some of whom become convinced the task has been bestowed upon them as a sacred duty."
Generate ESB ItemName:Carthus Bloodringand it's \nDescription: ,"Ring worn by warriors of the sand kingdom, Carthus. Boosts rolling invincibility, at the cost of defense.>>The sword technique of Carthus allows for fluid movement with a curved sword. Masters of the technique are said to dazzle their opponents by moving as weightlessly as a grain of sand. They live for their High Lord Wolnir, conqueror of most kingdoms known to their people."
Generate ESB ItemName:Carthus Milkringand it's \nDescription: ,"Ring worn by the warriors of the sand kingdom, Carthus. Slightly boosts dexterity and obscures the wearer while rolling.>>The sword technique of Carthus allows for fluid movement with a curved sword. Masters of the technique are said to dazzle their opponents by moving as weightlessly as a grain of sand. They live for their High Lord Wolnir, conqueror of most kingdoms known to their people."
Generate ESB ItemName:Carthus Pyromancy Tomeand it's \nDescription: ,"A pyromancy tome from Carthus containing pyromancies crafted for battle.>>Give to the old pyromancer to learn advanced pyromancies of the Great Swamp.>>Carthus pyromancies developed in isolation from other forms, explaining their divergent evolution."
Generate ESB ItemName:Cat Covenant Ringand it's \nDescription: ,Ring granted to those bound by the Forest Hunter covenant. Answer Alvina's summoning. The white cat Alvina speaks a human tongue and has lived since the early Age of Fire. Alvina was a trusted friend of Knight Artorias and the Great Wolf Sif.
Generate ESB ItemName:Celestial Dialand it's \nDescription: ,"A celestial dial that functions with the giant astral clock in the Grand Cathedral. When the dial is held up towards the Astral Clock, the clock will come to life and reveal a secret to its curious interloper"
Generate ESB ItemName:Celestial Dialand it's \nDescription: ,"A celestial dial that functions with the giant astral clock in the Grand Cathedral.>>When the dial is held up towards the Astral Clock, the clock will come to life and reveal a secret to its curious interloper"
Generate ESB ItemName:Chillbite Ringand it's \nDescription: ,"One of the bite rings native to Carim. Increases frost resistance.>>This ring would never grace Friede's hand, for the painting and its frost became her home."
Generate ESB ItemName:Chloranthy Ringand it's \nDescription: ,"The ring is named for its decorative green blossom, but its luster is long since faded. Raises stamina recovery speed."
Generate ESB ItemName:Chloranthy Ringand it's \nDescription: ,"This old ring is named for its decorative green blossom, but its luster is long since faded.>>Raises stamina recovery speed."
Generate ESB ItemName:Choir Belland it's \nDescription: ,"Special hunter tool of the Choir, high-ranking members of the church. Fashioned after a bell that projects an arcane sound across planes of existence The sound of this smaller, silver version of the bell does not cross planes, but grants vigor and healing to all cooperators."
Generate ESB ItemName:Choir Belland it's \nDescription: ,"Special hunter tool of the Choir, high-ranking members of the church. Fashioned after a bell that projects an arcane sound across planes of existence>>The sound of this smaller, silver version of the bell does not cross planes, but grants vigor and healing to all cooperators."
Generate ESB ItemName:Clawmark Runeand it's \nDescription: ,"A Caryll rune that transcribes inhuman sounds. The Clawmark is an impulse to seek the warmth of blood like a beast. It strengthens visceral attacks, one of the darker hunter techniques. Although the difference is subtle, Runesmith Caryll describes the Beast as a horrific and unwelcome instinct deep within the hearts of men, while Clawmark is an alluring invitation to accept this very nature."
Generate ESB ItemName:Cleansing Greatshieldand it's \nDescription: ,The steel greatshield used by Knight Artorias who succumbed to the Abyss. Artorias deeply scarred by the Abyss used this to form a barrier to protect his compatriot Sif. Although this drained the shield its magic defense remains high
Generate ESB ItemName:Clear Bluestone Ringand it's \nDescription: ,"A ring that belonged to Fiorenza, the only truly moneyed merchant in Volgen. Shortens spell casting time. Fiorenza used his riches to buy up trinkets of luxury and rare collectibles, but was ruined after years of excessive debauchery."
Generate ESB ItemName:Clear Deep Sea Runeand it's \nDescription: ,"A secret symbol left by Caryll, runesmith of Byrgenwerth. This transcription of the Great Ones' inhuman voices depicts downreaching currents. This rune means Deep Sea, and grants augmented resistance. Great volumes of water serve as a bulwark guarding sleep, and an augur of the eldritch Truth. Overcome this hindrance, and seek what is yours"
Generate ESB ItemName:Clockwise Metamorphosis Runeand it's \nDescription: ,"A secret symbol left by Caryll, runesmith of Byrgenwerth. The twisted cross means metamorphosis. Rotated clockwise, this rune boosts HP. The discovery of blood made their dream of evolution a reality. Metamorphosis, and the excesses and deviation that followed, were only the beginning."
Generate ESB ItemName:Cloranthy Ringand it's \nDescription: ,"This ancient ring, engraved with a large green flower, is of unknown origin. Hastens the regeneration of stamina."
Generate ESB ItemName:Cold Blood Gemstoneand it's \nDescription: ,"A blood gem that fortifies weapons and adds various properties. Blood gems are especially rare blood stones that grow on coldblood. Blood gems are kneaded into weapons using workshop tools, but only when of matching shape. Most radial blood gems have effects that bear upon physical attacks."
Generate ESB ItemName:Coldblood Dewand it's \nDescription: ,"Droplet of coldblood containing Blood Echoes. Use to gain Blood Echoes. Hunters sustained by the dream gain strength from Blood Echoes. They imbibe the blood with thoughts of reverence, indeed gratitude, for their victims."
Generate ESB ItemName:Coldblood Flower Bulband it's \nDescription: ,"Material used in a Holy Chalice ritual. Pale vegetation that commonly grows on coldblood in a place long abandoned, said to mature slowly in close proximity to death, and eventually bloom."
Generate ESB ItemName:Coldblood Flowerbudand it's \nDescription: ,Material used in a Holy Chalice ritual. Pale vegetation that commonly grows on coldblood in a place long ago abandoned.
Generate ESB ItemName:Communion Runeand it's \nDescription: ,"A secret symbol left by Caryll, runesmith of Byrgenwerth. Several runes relate to blood, including Communion, which raises the maximum number of blood vials one may carry. This rune represents the Healing Church and its ministers. Blood ministration is, of course, the pursuit of communion."
Generate ESB ItemName:Copper Coinand it's \nDescription: ,"Coin made of copper. Its face shows an image of Old Man McLoyf, god of medicine and drink. Even coins of great value in the world of men have little value in Lordran, where the accepted currency is souls. Those who dream of returning to the outside world are fond of carrying these around"
Generate ESB ItemName:Copper Coinand it's \nDescription: ,"Coin made of copper. Its face shows an image of Old Man McLoyf, god of medicine and drink. Even coins of great value in the world of men have little value in Lordran, where the accepted currency is souls. Those who dream of returning to the outside world are fond of carrying these around"
Generate ESB ItemName:Corruption Runeand it's \nDescription: ,"A secret symbol left by Caryll, runesmith of Byrgenwerth. Several runes contain a nuance of Blood, including the rune of Corruption, associated with the oath of the corrupt. Pledgers to this oath are Cainhurst Vilebloods, hunters of blood who find dregs for their Queen in coldblood, particularly in that of hunters. Yet the corrupt are heretics in the eyes of the Church, and thus subject to the wrath of the Executioners"
Generate ESB ItemName:Cosmic Eye Watcher Badgeand it's \nDescription: ,"Badge of a member of the Choir, elites of the Healing Church.>>The eye signifies the very cosmos.>>The Choir stumbled upon an epiphany, very suddenly and quite by accident. Here we stand, feet planted in the earth, but might the cosmos be very near us, only just above our heads?"
Generate ESB ItemName:Covenant of Artoriasand it's \nDescription: ,"This ring symbolizes Knight Artorias's covenant with the beasts of the Abyss. Its wearer, like Artorias himself can traverse the Abyss."
Generate ESB ItemName:Covetous Gold Serpent Ringand it's \nDescription: ,"The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring prey even larger than itself has led to an association of gluttony. This gold ring, engraved with the serpent, boosts its wearer's item discovery, so that more items can be amassed."
Generate ESB ItemName:Covetous Gold Serpent Ringand it's \nDescription: ,"A gold ring depicting the snake, both the servant and manifestation of the god of desire, Zinder Greed is traditionally viewed as a vice, but only a coward sees every chance as something to fear"
Generate ESB ItemName:Covetous Silver Serpent Ringand it's \nDescription: ,"The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring prey even larger than itself has led to an association of gluttony. This silver ring, engraved with the serpent, rewards its wearer with additional souls for each kill."
Generate ESB ItemName:Covetous Silver Serpent Ringand it's \nDescription: ,"A silver ring depicting the snake, both the servant and manifestation of the god of greed, Zandroe. Greed is traditionally viewed as a vice, but only a fool lets that ruin a good opportunity."
Generate ESB ItemName:Cracked Round Shieldand it's \nDescription: ,Round wooden shield. Cracked and nearly broken. Wood shields are lighter than metal shields but this one has lower physical damage reduction stability partly due to cracking.
Generate ESB ItemName:Crest of Bloodand it's \nDescription: ,"Ring of the Brotherhood of Blood Covenant. This is nothing special. Perhaps, in the end, an oath is but a window into the ambitions of the oath taker. If you have taken this oath, then you know what you want. To be soaked in the blood of your kind."
Generate ESB ItemName:Crest of the Ratand it's \nDescription: ,"Ring of the Rat King covenant. Join this covenant and wear this ring to lure trespassers of the Rat King's territory into your world. If you receive this ring, rejoice in the opportunity to demonstrate your allegiance to an eminently noble being."
Generate ESB ItemName:Crest Shieldand it's \nDescription: ,Shield of a nameless knight likely a high-ranking knight of Astora. One of the enchanted blue shields. The Crest Shield greatly reduces magic damage
Generate ESB ItemName:Crow Hunterand it's \nDescription: ,"Badge of a hunter of hunters, who hunts those who have become addled with blood.>>The badge of the Hunter of Hunters is quietly passed down from generation to generation, usually to an outsider from the hinterlands.>>To be entrusted with this cursed badge, one must be strong, resilient to the seduction of blood, and gracious when taking a comrade's life."
Generate ESB ItemName:Crystal Ring Shieldand it's \nDescription: ,Weapon born from the mystical creature of the Darkroot Garden the Moonlight Butterfly. Imbued with a powerful crystal power like the butterfly created by Seath the Scaleless. Can emit crystal light rings.
