Name,Descriptions,Keywords,Challenge,meta,Armor Class,Hit Points,Speed,STR,STR_mod,DEX,DEX_mod,CON,CON_mod,INT,INT_mod,WIS,WIS_mod,CHA,CHA_mod,Saving Throws,Skills,Senses,Languages,Traits,Actions,Legendary Actions,Damage Immunities,Condition Immunities,Damage Resistances,Damage Vulnerabilities,Reactions
Barbed Devil,"The Barbed Devil is a fearsome creature that lurks in the dark, waiting to pounce on its unsuspecting prey. It is a large, muscular creature with sharp claws and teeth, and barbed quills running down its back. It is feared for its strength and ferocity, and is known to be able to rip a person apart with its bare hands.","Monsters , Dark , Fear , Strength","5 (1,800 Souls)","Medium fiend,",15 (Natural Armor),110 (13d8 + 52),30 ft.,16,(+3),17,(+3),18,(+4),12,(+1),14,(+2),14,(+2),"STR +6, CON +7, WIS +5, CHA +5","Deception +5, Insight +5, Perception +8","Darkvision 120 ft., Passive Perception 18","Infernal, Telepathy 120 ft.","<p><em><strong>Barbed Hide.</strong></em> At the start of each of its turns, the barbed devil deals 5 (1d10) piercing damage to any creature grappling it. </p><p><em><strong>Devil's Sight.</strong></em> Magical darkness doesn't impede the devil's darkvision. </p><p><em><strong>Magic Resistance.</strong></em> The devil has advantage on saving throws against spells and other magical effects.</p>","<p><em><strong>Multiattack.</strong></em> The devil makes three melee attacks: one with its tail and two with its claws. Alternatively, it can use Hurl Flame twice. </p><p><em><strong>Claw.</strong></em> <em>Melee Weapon Attack:</em> +6 to hit, reach 5 ft., one target. <em>Hit:</em> 6 (1d6 + 3) piercing damage. </p><p><em><strong>Tail.</strong></em> <em>Melee Weapon Attack:</em> +6 to hit, reach 5 ft., one target. <em>Hit:</em> 10 (2d6 + 3) piercing damage. </p><p><em><strong>Hurl Flame.</strong></em> Ranged Spell Attack: +5 to hit, range 150 ft., one target. <em>Hit:</em> 10 (3d6) fire damage. If the target is a flammable object that isn't being worn or carried, it also catches fire.</p>",,"Fire, Poison",Poisoned,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",,
Basilisk,"The Basilisk is a large, snake-like creature that can petrify its victims with a glance. It is a feared predator of the dark depths of the world, and few who encounter it live to tell the tale.","Monsters , Fear , Darkness , Prey",3 (700 Souls),Medium monstrosity,15 (Natural Armor),52 (8d8 + 16),20 ft.,16,(+3),8,(-1),15,(+2),2,(-4),8,(-1),7,(-2),,,"Darkvision 60 ft., Passive Perception 9",--,"<p><em><strong>Petrifying Gaze.</strong></em> If a creature starts its turn within 30 feet of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic.</p><p>A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again.</p><p>If it looks at the basilisk in the meantime, it must immediately make the save. If the basilisk sees its reflection within 30 feet of it in bright light, it mistakes itself for a rival and targets itself with its gaze.</p>","<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 10 (2d6 + 3) piercing damage plus 7 (2d6) poison damage.</p>",,,,,,
Bat,"The Bat is a small, flying creature that attacks by swooping down on its prey. It is relatively weak, but can be a nuisance in large numbers.","Flying creature , nuisance , small , weak",0 (10 Souls),Tiny beast,12,1 (1d4 - 1),"5 ft., fly 30 ft.",2,(-4),15,(+2),8,(-1),2,(-4),12,(+1),4,(-3),,,"Blindsight 60 ft., Passive Perception 11",--,<p><em><strong>Echolocation.</strong></em> The bat can't use its blindsight while deafened. </p><p><em><strong>Keen Hearing.</strong></em> The bat has advantage on Wisdom (Perception) checks that rely on hearing.</p>,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +0 to hit, reach 5 ft., one creature. <em>Hit:</em> 1 piercing damage.</p>",,,,,,
Bearded Devil,"The Bearded Devil is a fearsome creature that lurks in the dark, preying on the unsuspecting. It is a large, muscular creature with a long, beard-like mane that covers its face. It has large, sharp claws that it uses to rend its victims apart. It is a fearsome opponent that should not be underestimated.","Monsters , Dark , Prey , Fearsome",3 (700 Souls),"Medium fiend,",13 (Natural Armor),52 (8d8 + 16),30 ft.,16,(+3),15,(+2),15,(+2),9,(-1),11,(+0),11,(+0),"STR +5, CON +4, WIS +2",,"Darkvision 120 ft., Passive Perception 10","Infernal, Telepathy 120 ft.",<p><em><strong>Devil's Sight.</strong></em> Magical darkness doesn't impede the devil's darkvision. </p><p><em><strong>Magic Resistance.</strong></em> The devil has advantage on saving throws against spells and other magical effects. </p><p><em><strong>Steadfast.</strong></em> The devil can't be frightened while it can see an allied creature within 30 feet of it.</p>,"<p><em><strong>Multiattack.</strong></em> The devil makes two attacks: one with its beard and one with its glaive. </p><p><em><strong>Beard.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one creature. <em>Hit:</em> 6 (1d8 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. While poisoned in this way, the target can't regain hit points. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. </p><p><em><strong>Glaive.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 10 ft., one target. <em>Hit:</em> 8 (1d10 + 3) slashing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 12 Constitution saving throw or lose 5 (1d10) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this attack, the damage dealt by the wound increases by 5 (1d10). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing.</p>",,"Fire, Poison",Poisoned,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",,
Behir,"The Behir is a massive, serpentine creature with multiple legs and barbed tail. It is covered in tough, scaly skin that is difficult to penetrate. It is an aggressive predator that will attack anything that moves. It is fast and agile, making it difficult to hit. It is also resistant to magic, making it a difficult foe for spellcasters.","Monsters , Combat , Agility , Magic","11 (7,200 Souls)","Huge monstrosity,",17 (Natural Armor),168 (16d12 + 64),"50 ft., climb 40 ft.",23,(+6),16,(+3),18,(+4),7,(-2),14,(+2),12,(+1),,"Perception +6, Stealth +7","Darkvision 90 ft., Passive Perception 16",Draconic,,"<p><em><strong>Multiattack.</strong></em> The behir makes two attacks: one with its bite and one to constrict. </p><p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +10 to hit, reach 10 ft., one target. <em>Hit:</em> 22 (3d10 + 6) piercing damage. </p><p><em><strong>Constrict.</strong></em> <em>Melee Weapon Attack:</em> +10 to hit, reach 5 ft., one Large or smaller creature. <em>Hit:</em> 17 (2d10 + 6) bludgeoning damage plus 17 (2d10 + 6) slashing damage. The target is grappled (escape DC 16) if the behir isn't already constricting a creature, and the target is restrained until this grapple ends. </p><p><em><strong>Lightning Breath (Recharge 5â€“6).</strong></em> The behir exhales a line of lightning that is 20 feet long and 5 feet wide. Each creature in that line must make a DC 16 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one. </p><p><em><strong>Swallow.</strong></em> The behir makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is also swallowed, and the grapple ends. While swallowed, the target is blinded and restrained, it has total cover against attacks and other effects outside the behir, and it takes 21 (6d6) acid damage at the start of each of the behir's turns. A behir can have only one creature swallowed at a time. </p><p>If the behir takes 30 damage or more on a single turn from the swallowed creature, the behir must succeed on a DC 14 Constitution saving throw at the end of that turn or regurgitate the creature, which falls prone in a space within 10 feet of the behir. If the behir dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 15 feet of movement, exiting prone.</p>",,Lightning,,,,
Berserker,"The Berserker is a massive, hulking creature that towers over most other enemies in the game. It is incredibly strong, and can deal massive amounts of damage with its huge fists. It is very slow, however, and can be easily outmaneuvered by nimble opponents.","Strength , Rage , Ferocity , Brutality",2 (450 Souls),Medium humanoid,13 (Hide Armor),67 (9d8 + 27),30 ft.,16,(+3),12,(+1),17,(+3),9,(-1),11,(+0),9,(-1),,,Passive Perception 10,Any one language (usually Common),"<p><em><strong>Reckless.</strong></em> At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.</p>","<p><em><strong>Greataxe.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 9 (1d12 + 3) slashing damage.</p>",,,,,,
Black Bear,"The Black Bear is a large, aggressive monster that roams the dark forests of Lordran. It is a fearsome opponent, capable of tearing apart its prey with its powerful claws. It is also known to be highly intelligent, and has been known to ambush unwary travellers.","Animal , Forest , Monster , Dark",1/2 (100 Souls),Medium beast,11 (Natural Armor),19 (3d8 + 6),"40 ft., climb 30 ft.",15,(+2),10,(+0),14,(+2),2,(-4),12,(+1),7,(-2),,Perception +3,Passive Perception 13,--,<p><em><strong>Keen Smell.</strong></em> The bear has advantage on Wisdom (Perception) checks that rely on smell.</p>,"<p><em><strong>Multiattack.</strong></em> The bear makes two attacks: one with its bite and one with its claws. </p><p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 5 (1d6 + 2) piercing damage. </p><p><em><strong>Claws.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 7 (2d4 + 2) slashing damage.</p>",,,,,,
Black Dragon Wyrmling,"This small black dragon wyrmling is barely bigger than a human child. It has a long, sinuous body with small wings that allow it to glide short distances. It has sharp claws and teeth, and its tail is tipped with a poisonous stinger. It is intelligent and cunning, and will often use trickery to get the upper hand on its opponents.","Cunning , Intelligence , Trickery , Small size",2 (450 Souls),"Medium dragon,",17 (Natural Armor),33 (6d8 + 6),"30 ft., fly 60 ft., swim 30 ft.",15,(+2),14,(+2),13,(+1),10,(+0),11,(+0),13,(+1),"DEX +4, CON +3, WIS +2, CHA +3","Perception +4, Stealth +4","Blindsight 10 ft., Darkvision 60 ft., Passive Perception 14",Draconic,<p><em><strong>Amphibious.</strong></em> The dragon can breathe air and water.</p>,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 7 (1d10 + 2) piercing damage plus 2 (1d4) acid damage.</p><p><em><strong>Acid Breath (Recharge 5â€“6).</strong></em> The dragon exhales acid in a 15-Â­foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 22 (5d8) acid damage on a failed save, or half as much damage on a successful one.</p>",,Acid,,,,
Black Pudding,"The Black Pudding is a large, amorphous creature that is black and slimy in appearance. It is hostile and will attack anything that comes near it. It is difficult to kill due to its lack of a physical form, but can be damaged by fire and magic.","Horror , Slippery , Amorphous , Hostile","4 (1,100 Souls)",Large ooze,7,85 (10d10 + 30),"20 ft., climb 20 ft.",16,(+3),5,(-3),16,(+3),1,(-5),6,(-2),1,(-5),,,"Blindsight 60 ft., Passive Perception 8",--,"<p><em><strong>Amorphous.</strong></em> The pudding can move through a space as narrow as 1 inch wide without squeezing. </p><p><em><strong>Corrosive Form.</strong></em> A creature that touches the pudding or hits it with a melee attack while within 5 feet of it takes 4 (1d8) acid damage. Any nonmagical weapon made of metal or wood that hits the pudding corrodes. After dealing damage, the weapon takes a permanent and cumulative âˆ’1 penalty to damage rolls. If its penalty drops to âˆ’5, the weapon is destroyed.</p><p>Nonmagical ammunition made of metal or wood that hits the pudding is destroyed after dealing damage.</p><p>The pudding can eat through 2-inch-thick, nonmagical wood or metal in 1 round. </p><p><em><strong>Spider Climb.</strong></em> The pudding can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.</p>","<p><em><strong>Pseudopod.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 6 (1d6 + 3) bludgeoning damage plus 18 (4d8) acid damage. In addition, nonmagical armor worn by the target is partly dissolved and takes a permanent and cumulative âˆ’1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10.</p>",,"Acid, Cold, Lightning, Slashing","Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",,,"<p><em><strong>Split.</strong></em> When a pudding that is Medium or larger is subjected to lightning or slashing damage, it splits into two new puddings if it has at least 10 hit points. Each new pudding has hit points equal to half the original pudding's, rounded down. New puddings are one size smaller than the original pudding.</p>"
Blink Dog,"This monster is a large, black dog with red eyes. It is very fast and agile, and can teleport short distances. It is aggressive and will attack anything that it perceives as a threat.","Teleportation , Aggressive , Fast , Red eyes",1/4 (50 Souls),"Medium fey,",13,22 (4d8 + 4),40 ft.,12,(+1),17,(+3),12,(+1),10,(+0),13,(+1),11,(+0),,"Perception +3, Stealth +5",Passive Perception 13,Blink Dog Understands Sylvan but can't speak it,<p><em><strong>Keen Hearing and Smell.</strong></em> The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell.</p>,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 4 (1d6 + 1) piercing damage. </p><p><em><strong>Teleport (Recharge 4â€“6).</strong></em> The dog magically teleports, along with any equipment it is wearing or carrying, up to 40 feet to an unoccupied space it can see. Before or after teleporting, the dog can make one bite attack.</p>",,,,,,
Blood Hawk,"The Blood Hawk is a large, predatory bird that is found in the dark, dank caves of the world. It has red eyes and a hooked beak, and its feathers are stained with blood. It is a fearsome creature that will attack anything that moves, and its sharp claws can rend flesh from bone.","Dark and Dangerous , Blood and Gore , Cave Creatures , Survival",1/8 (25 Souls),Small beast,12,7 (2d6),"10 ft., fly 60 ft.",6,(-2),14,(+2),10,(+0),3,(-4),14,(+2),5,(-3),,Perception +4,Passive Perception 14,--,<p><em><strong>Keen Sight.</strong></em> The hawk has advantage on Wisdom (Perception) checks that rely on sight. </p><p><em><strong>Pack Tactics.</strong></em> The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 feet of the creature and the ally isn't incapacitated.</p>,"<p><em><strong>Beak.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 4 (1d4 + 2) piercing damage.</p>",,,,,,
Blue Dragon Wyrmling,"This small, spindly creature has a long, sinuous body that is covered in shimmering blue scales. It has a pair of large, leathery wings that it uses to glide through the air, and a long, barbed tail that it uses to lash out at its enemies. It has a pair of small, black eyes that gleam with intelligence, and a mouth full of sharp teeth.","Loyalty , Intelligence , Stealth , Gliding",3 (700 Souls),"Medium dragon,",17 (Natural Armor),52 (8d8 + 16),"30 ft., burrow 15 ft., fly 60 ft.",17,(+3),10,(+0),15,(+2),12,(+1),11,(+0),15,(+2),"DEX +2, CON +4, WIS +2, CHA +4","Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft., Passive Perception 14",Draconic,,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 8 (1d10 + 3) piercing damage plus 3 (1d6) lightning damage. </p><p><em><strong>Lightning Breath (Recharge 5â€“6).</strong></em> The dragon exhales lightning in a 30-Â­foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.</p>",,Lightning,,,,
Boar,"The Boar is a large, aggressive creature that dwells in dark caves and forests. It is covered in thick, bristly fur that protects it from attacks, and its sharp tusks are deadly weapons. This monster is feared by many travelers, as it is known to charge without warning and can easily kill an unprepared victim.","Animal , Cave , Dark , Fur",1/4 (50 Souls),Medium beast,11 (Natural Armor),11 (2d8 + 2),40 ft.,13,(+1),11,(+0),12,(+1),2,(-4),9,(-1),5,(-3),,,Passive Perception 9,--,"<p><em><strong>Charge.</strong></em> If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 (1d6) slashing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone. </p><p><em><strong>Relentless (Recharges after a Short or Long Rest).</strong></em> If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.</p>","<p><em><strong>Tusk.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 4 (1d6 + 1) slashing damage.</p>",,,,,,
Bone Devil,"The Bone Devil is a skeletal demon that wields a large scythe. It is a fearsome opponent that can slice through flesh and bone with ease. It is a creature of the night that preys on the living, and is especially dangerous in groups.","Horror, Demon , Skeletal , Night","9 (5,000 Souls)","Large fiend,",19 (Natural Armor),142 (15d10 + 60),"40 ft., fly 40 ft.",18,(+4),16,(+3),18,(+4),13,(+1),14,(+2),16,(+3),"INT +5, WIS +6, CHA +7","Deception +7, Insight +6","Darkvision 120 ft., Passive Perception 12","Infernal, Telepathy 120 ft.",<p><em><strong>Devil's Sight.</strong></em> Magical darkness doesn't impede the devil's darkvision. </p><p><em><strong>Magic Resistance.</strong></em> The devil has advantage on saving throws against spells and other magical effects.</p>,"<p><em><strong>Multiattack.</strong></em> The devil makes three attacks: two with its claws and one with its sting. </p><p><em><strong>Claw.</strong></em> <em>Melee Weapon Attack:</em> +8 to hit, reach 10 ft., one target. <em>Hit:</em> 8 (1d8 + 4) slashing damage. </p><p><em><strong>Sting.</strong></em> <em>Melee Weapon Attack:</em> +8 to hit, reach 10 ft., one target. <em>Hit:</em> 13 (2d8 + 4) piercing damage plus 17 (5d6) poison damage, and the target must succeed on a DC 14 Constitution saving throw or become poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.</p>",,"Fire, Poison",Poisoned,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",,
Brass Dragon Wyrmling,"This Brass Dragon Wyrmling would be a fearsome opponent in Dark Souls, with its large size and powerful attacks. It would likely be a difficult boss battle, requiring strategy and careful timing to defeat. This dragon would likely have a variety of fire-based attacks, making it a dangerous foe for any would-be adventurer.","Dark Souls , Dragon , Boss , Fierce",1 (200 Souls),Medium dragon,16 (Natural Armor),16 (3d8 + 3),"30 ft., burrow 15 ft., fly 60 ft.",15,(+2),10,(+0),13,(+1),10,(+0),11,(+0),13,(+1),"DEX +2, CON +3, WIS +2, CHA +3","Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft., Passive Perception 14",Draconic,,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 7 (1d10 + 2) piercing damage. </p><p><em><strong>Breath Weapons (Recharge 5â€“6).</strong></em> The dragon uses one of the following breath weapons. </p><p><em><strong>Fire Breath.</strong></em> The dragon exhales fire in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 14 (4d6) fire damage on a failed save, or half as much damage on a successful one. </p><p><em><strong>Sleep Breath.</strong></em> The dragon exhales sleep gas in a 15-foot cone. Each creature in that area must succeed on a DC 11 Constitution saving throw or fall unconscious for 1 minute. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.</p>",,Fire,,,,
Bronze Dragon Wyrmling,"This monster would be a small, young dragon that is covered in bronze scales. It would be a ferocious creature that would breathe fire and fly around the battlefield. Players would need to be careful when fighting this creature, as its fire breath could easily incinerate them.","Fire , Flying , Small , Young",2 (450 Souls),"Medium dragon,",17 (Natural Armor),32 (5d8 + 10),"30 ft., fly 60 ft., swim 30 ft.",17,(+3),10,(+0),15,(+2),12,(+1),11,(+0),15,(+2),"DEX +2, CON +4, WIS +2, CHA +4","Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft., Passive Perception 14",Draconic,<p><em><strong>Amphibious.</strong></em> The dragon can breathe air and water.</p>,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 8 (1d10 + 3) piercing damage.</p><p><em><strong>Breath Weapons (Recharge 5â€“6).</strong></em> The dragon uses one of the following breath weapons.</p><p><em><strong>Lightning Breath.</strong></em> The dragon exhales lightning in a 40-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 16 (3d10) lightning damage on a failed save, or half as much damage on a successful one.</p><p><em><strong>Repulsion Breath.</strong></em> The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 12 Strength saving throw. On a failed save, the creature is pushed 30 feet away from the dragon.</p>",,Lightning,,,,
Brown Bear,"The Brown Bear is a large, furry creature that lumbers around on all fours. It has a large, round head with small, beady eyes, and a wide mouth filled with sharp teeth. Its fur is brown and matted, and its body is covered in scars. It is a fearsome creature that will attack anything that crosses its path.","Fearsome , Lumbering , Large , Round head",1 (200 Souls),Large beast,11 (Natural Armor),34 (4d10 + 12),"40 ft., climb 30 ft.",19,(+4),10,(+0),16,(+3),2,(-4),13,(+1),7,(-2),,Perception +3,Passive Perception 13,--,<p><em><strong>Keen Smell.</strong></em> The bear has advantage on Wisdom (Perception) checks that rely on smell.</p>,"<p><em><strong>Multiattack.</strong></em> The bear makes two attacks: one with its bite and one with its claws. </p><p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 8 (1d8 + 4) piercing damage. </p><p><em><strong>Claws.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 11 (2d6 + 4) slashing damage.</p>",,,,,,
Bugbear,"The Bugbear is a large, furry creature that resembles a cross between a bear and a dog. It is covered in shaggy, brown fur, and has a long snout. It is an aggressive creature that will attack anything that it perceives as a threat.","Aggressive , Furry , Large , Cross between a bear and a dog",1 (200 Souls),"Medium humanoid,","16 (Hide Armor, Shield)",27 (5d8 + 5),30 ft.,15,(+2),14,(+2),13,(+1),8,(-1),11,(+0),9,(-1),,"Stealth +6, Survival +2","Darkvision 60 ft., Passive Perception 10","Common, Goblin","<p><em><strong>Brute.</strong></em> A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack). </p><p><em><strong>Surprise Attack.</strong></em> If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.</p>","<p><em><strong>Morningstar.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 11 (2d8 + 2) piercing damage. </p><p><em><strong>Javelin.</strong></em> <em>Melee or Ranged Weapon Attack:</em> +4 to hit, reach 5 ft. or range 30/120 ft., one target. <em>Hit:</em> 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.</p>",,,,,,
Bulette,"The Bulette is a massive, burrowing creature that attacks by leaping out of the ground and slamming into its prey. It is covered in thick, armored plates, making it nearly impervious to damage. The Bulette is a fearsome opponent that should be avoided if possible.","Beast , Burrowing , Huge , Melee","5 (1,800 Souls)",Large monstrosity,17 (Natural Armor),94 (9d10 + 45),"40 ft., burrow 40 ft.",19,(+4),11,(+0),21,(+5),2,(-4),10,(+0),5,(-3),,Perception +6,"Darkvision 60 ft., Tremorsense 60 ft., Passive Perception 16",--,"<p><em><strong>Standing Leap.</strong></em> The bulette's long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start.</p>","<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +7 to hit, reach 5 ft., one target. <em>Hit:</em> 30 (4d12 + 4) piercing damage. </p><p><em><strong>Deadly Leap.</strong></em> If the bulette jumps at least 15 feet as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target's choice) or be knocked prone and take 14 (3d6 + 4) bludgeoning damage plus 14 (3d6 + 4) slashing damage. On a successful save, the creature takes only half the damage, isn't knocked prone, and is pushed 5 feet out of the bulette's space into an unoccupied space of the creature's choice. If no unoccupied space is within range, the creature instead falls prone in the bulette's space.</p>",,,,,,
Camelopardalis,"This monster would be a large, four-legged creature with a long neck and spots all over its body. It would be a herbivore that roams the plains, and its main method of attack would be to trample its opponents. It would be a tough opponent, but ultimately defeatable.","Desert , Animal , Plains , Herbivore",1/8 (25 Souls),Large beast,9,15 (2d10 + 4),50 ft.,16,(+3),8,(-1),14,(+2),2,(-4),8,(-1),5,(-3),,,Passive Perception 9,--,,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 2 (1d4) bludgeoning damage.</p>",,,,,,
Catoblepas,"The Catoblepas is a massive, hulking beast, covered in thick, shaggy fur. It has a large, bovine head, with two long, curved horns. Its eyes are small and beady, and its mouth is filled with sharp teeth. It has four short legs, each ending in a sharp hoof. It is a dark brown color, with a lighter brown mane.
This massive creature is slow and lumber","Beast , Hulking , Fur , Curved horns",0 (10 Souls),Tiny beast,12,2 (1d4),"40 ft., climb 30 ft.",3,(-4),15,(+2),10,(+0),3,(-4),12,(+1),7,(-2),,"Perception +3, Stealth +4",Passive Perception 13,--,<p><em><strong>Keen Smell.</strong></em> The cat has advantage on Wisdom (Perception) checks that rely on smell.</p>,"<p><em><strong>Claws.</strong></em> <em>Melee Weapon Attack:</em> +0 to hit, reach 5 ft., one target. <em>Hit:</em> 1 slashing damage.</p>",,,,,,
Centaur,"The Centaur is a large, four-legged creature with the torso and head of a man. It is heavily muscled and its fur is matted with blood and dirt. It wields a large, crudely made club in one hand and a crudely made spear in the other. It is a fearsome opponent and will charge at the player, swinging its weapons wildly.","Animalistic , Combat , Ferocity , Nature",2 (450 Souls),Large monstrosity,12,45 (6d10 + 12),50 ft.,18,(+4),14,(+2),14,(+2),9,(-1),13,(+1),11,(+0),,"Athletics +6, Perception +3, Survival +3",Passive Perception 13,"Elvish, Sylvan","<p><em><strong>Charge.</strong></em> If the centaur moves at least 30 feet straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.</p>","<p><em><strong>Multiattack.</strong></em> The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow. </p><p><em><strong>Pike.</strong></em> <em>Melee Weapon Attack:</em> +6 to hit, reach 10 ft., one target. <em>Hit:</em> 9 (1d10 + 4) piercing damage. </p><p><em><strong>Hooves.</strong></em> <em>Melee Weapon Attack:</em> +6 to hit, reach 5 ft., one target. <em>Hit:</em> 11 (2d6 + 4) bludgeoning damage. </p><p><em><strong>Longbow.</strong></em> <em>Ranged Weapon Attack:</em> +4 to hit, range 150/600 ft., one target. <em>Hit:</em> 6 (1d8 + 2) piercing damage.</p>",,,,,,
