Prompt,Completion,Item Name,Item Description,ItemType
ItemName,,Arbalest,"The largest crossbow, and suitably powerful for its size.The bow string is made of metal, requiring great strength to fire.",
ItemName,,Arced Sword,"A curved greatsword forged from the soul of the Flexile Sentry. There is something unsettling, and at the same time beautiful, about its long curved blade.Long ago, the dungeons overflowed with the accused, and the King commanded a contorted sentry to deliver those who had no cells to a faraway land, and to make certain they were never heard from again.Scholar of the First Sin changed to:A curved greatsword forged from the soul of the Flexile Sentry. There is something unsettling, and at the same time beautiful, about its long curved blade.The sentry crammed inmates of the overflowing Bastille onto a rickety ship, and cast them out to the open sea.The majority of them drowned or starved but a few hardy survivors made land to the south, and imparted their knowledge of sorcery to the people there.",
ItemName,,Archdeacon's Great Staff,"Large staff bestowed upon Archdeacons of the Cathedral of the Deep.The Archdeacon McDonnell's trespass, the sin of channeling faith for sorcery, transformed what was once merely a symbol of ecclesiastic authority into a catalyst of sorceries.",
ItemName,,Archdrake Chime,"Sacred chime used by members of the Archdrake Sect of Lindelt. A catalyst for miracles and hexes.The land of Lindelt is governed by stringent laws, and those who dare defy them are punished without mercy.Scholar of the First Sin added:It is often the sinful who seek piety, spurred only by a selfish desire for salvation.",
ItemName,,Archdrake Mace,"A mace normally issued to clerics of the Archdrake sect of Lindelt.The land of Lindelt is governed by stringent laws, and those who dare defy them are punished without mercy.It is often the sinful who seek piety, spurred only by a selfish desire for salvation.",
ItemName,,Archdrake Staff,"Staff of members of the Archdrake sect of Lindelt. A catalyst for sorceries and hexes.In Lindelt, known for its clerics and their miracles, sorcery is believed to be a profane practice.But as with anything, such beliefs are part faith and part front, and this staff was born of that hypocrisy.",
ItemName,,Arstor's Spear,"One of the curses that festered within the belly of the Greatwood, and a terrible weapon favored by Earl Arstor the Impaler.The spear is enwreathed in rotten, heavily poisonous meat. Defeating foes restores HP.Skill: Shield SplitterTake a large step forward and make a single focused thrust to puncture enemy shields and inflict damage.",
ItemName,,Ashen Warrior Sword,"Straight sword wielded by ashen warriors.As brittle as it appears.The jagged edge of this tired and worn blade tears into the hides of foes.",
ItemName,,Astora Greatsword,"This greatsword, bestowed only upon elite knights, is a relic of the ruined land of Astora.Designed for a focus on thrust attacks, this sword is hard and sharp, but not unusually heavy.Skill: ChargeHold sword at waist and charge at foe. Use strong attack while charging to extend the length of the charge.",
ItemName,,Astora Straight Sword,"A well-crafted sword named after the ruined land.Astora, before its fall, was a land replete with royal blood, and this weapon is both a reminder and heirloom of that era.",
ItemName,,Astrologer's Staff,"Staff of the astrologers. A glintsone is embedded in the tip, enabling it to be used as a catalyst for sorceries. 

Sorceries must be memorized first at a site of lost grace, and a staff must be equipped to cast them",
ItemName,,Avelyn,Repeating crossbow cherished by the weapon craftsman Eidas. Its elaborate design makes it closer to a work of art than a weapon. Intricate mechanism makes heavy damage possible through triple-shot firing of bolts. but in fact each bolt inflicts less damage,
ItemName,,Evalyn,"An extremely rare rapid-firing crossbow.Fire three successive bolts. Inflict heavy damage by making all three shots count.Fiorenza, the richest merchant in all of Volgen recreated this lost weapon after reading of it in an old book.",
ItemName,,Axe of Godfrey,"Weapon of Godfrey, Elden Lord. It was broken in a battle fought as leader of the Tarnished during the Long March. This weapon is symbolic of Godfrey's vow to conduct himself as a lord, later becoming an emblem of the golden lineage. In the days of the past, a crown was warranted with strength.

 ",
ItemName,,Axe of Godrick,"Greataxe wielded by Godrick the Grafted. This golden battleaxe is emblazoned with the figure of a beast, representing the strength of Godfrey, First Elden Lord and patriarch of the golden lineage.

""I command thee kneel! For I am the lord of all that is golden!""",
ItemName,,Azal's Staff,"Staff of Azal, sage of Forossa.Rather roughly crafted, but imbued with the magic of Azal. Greatly intensifies spells, but also drastically reduces spell usage.This staff, unfit for the inexperienced, is evidence of sage Azal's prowess.",
ItemName,,Azur's Glintstone Staff,"Staff of the primeval glintstone sorcerer Azur.
Only those who have glimpsed what lies beyond the wisdom of stone may wield it.

Reduces casting time of all sorceries, but consumes additional FP.",
ItemName,,Balder Side Sword,"The knights of the ancient kingdom of Balder wielded these rock-solid long swords which are excellent for thrust attacks. Balder was the home of Knight King Rendal, but the kingdom was reduced to ruins after a widespread outbreak of Undead",
ItemName,,Bandit Axe,"An axe of bandits of the Forossan outskirts Very sturdily built for the armament of a bandit.When Forossa fell to war, its citizens were left landless, and entirely to their own devices. Many were reduced to thievery, while Forossan knights scattered to other lands as sellswords. An axe of bandits of the Forossan outskirts Very sturdily built for the armament of a bandit.When Forossa fell to war, its citizens were left landless, and entirely to their own devices. Many were reduced to thievery, while Forossan knights scattered to other lands as sellswords.",
ItemName,,Bandit Greataxe,"A greataxe of bandits of the Forossan outskirts. Very sturdily built for the armament of a bandit.When Forossa fell to war, its citizens were left landless, and entirely to their own devices. Many were reduced to thievery, while Forossan knights scattered to other lands as sellswords.",
ItemName,,Bandit's Curved Sword,"Curved sword with a light, crescent-shaped blade.
Used by the bandits who ran rampant in the wake of the Shattering.

Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",
ItemName,,Bandit's Knife,"This wide single-edged shortsword is the favorite of lowly thieves and bandits. Primarily a slicing weapon, but highly effective when used for critical hits, such as after parrying or from behind.",
ItemName,,Bandit's Dagger,"A knife with a slightly broad single edge. Its tip is shaped to leave a wound that won't easily close. Designed for unsavory work, and beloved by those of unsavory ilk.",
ItemName,,Bandit's Blade,"A wide single-edged shortsword.Primarily a slicing weapon, but its blade is crafted to cause bleeding, making it a favorite of lowly thieves and bandits.",
ItemName,,Banished Knight's Greatsword,"A finely-crafted greatsword intricately engraved with an ancient motif. Given to knights who, whether by misfortune or misdeed, were forced to abandon their homes. Most of these knights were sent to the fringes, where they were forced to start anew with only despair for company.",
ItemName,,Banished Knight's Halberd,"A finely-crafted halberd intricately engraved with an ancient motif.

Given to knights who, whether by misfortune or misdeed, were forced to abandon their homes.

Most of these knights were sent to the fringes, where they were forced to start anew with only despair for company.",
ItemName,,Barbed Club,"A club forged from the soul of the Flexile Sentry.The spikes covering its length are as vile as the sentry itself.Long ago, the dungeons overflowed with the accursed, and the king commanded a contorted sentry to deliver those who had no cells to a faraway land, and to make certain they were never heard from again.The sentry crammed inmates of the overflowing Bastile onto a rickety ship, and cast them out to the open sea.The majority of them drowned or starved, but a few hardy survivors made land to the south, and imparted their knowledge of sorcery to the people there.",
ItemName,,Barbed Straight Sword,"The choice weapon of the infamous Darkwraith Kirk also known as the Knight of Thorns for the gnarly spikes on his favorite weapon. This frightful sword deals only thrust attacks, and causes heavy bleeding.",
ItemName,,Bastard Sword,"A standard greatsword. Heavy greatswords are designed to be wielded two-handed.Normally swung in large arcs and effective against multiple foes, be wary that such attacks leave the wielder wide open.",
ItemName,,Bastard's Stars,"Flail which deals magic damage, having been imbued with power
by the remembrance of Astel.

Formed of the same many-colored star debris that comprised the
form of the Naturalborn of the Void.",
ItemName,,Bat Staff,"Staff used by hollowed Drangleic sorcerers, A catalyst for sorceries and hexes.The bat affixed to its tip is a simple charm. It has no bearing on the staff´s powers, but the germs on the cadaver poison foes upon contact in strike attacks.",
ItemName,,Battle Axe,"A thick, heavy blade attached to a handle. A versatile, standard weapon

Capable of powerful attacks thanks to the weighty blade, these weapons are also regarded for their powerful charge attacks.",
ItemName,,Battle Hammer ,"Large iron great hammer designed for gladiatorial combat. Used by duelists who were exiled from the colosseum.

Weighty enough to crush armor and its wearer alike. ",
ItemName,,Beast Claw,"Beastly weapon wielded by Irreverent Izzy. Crafted by chiseling the long bones of an undead darkbeast and fastening them to the weapon. The bones are still alive, and when unleashed, grant its wielder a spurt of beastly power. As flesh is flayed and blood is sprayed, the beast within awakens, and in time, the wielder of this weapon surges with both strength and feverish reverie.",
ItemName,,Beast Cutter,"A trick weapon used by Old Hunters. This thick iron cleaver slices through the toughest of beast hides, and when transformed the blade splits into sections, allowing one to lash it in the fashion of a heavy whip. This crude weapon relies on brute force and is regrettably inelegant, suggesting that the hunts of the earliest hunters made for horrific affairs, painted in sanguine black and reds.",
ItemName,,Beast-Repellent Torch,"A torch which burns oil infused with a special incense. The aroma pacifies wild beasts.

Torches such as these were used to keep unwelcome beasts away from treasure troves hidden in caves.",
ItemName,,Beastclaw Greathammer ,"Greathammer with a striking end modelled to resemble five beastly claws.

The black nails protruding from golden fur are said to represent Serosh, Lord of Beasts, who went to become King Godfrey's Regent.",
ItemName,,Beasthunter Saif,"A trick weapon used by the old hunters. A second blade is found inside the curve of the main one. In its initial form, the saif can be wielded like a long curved sword, but when transformed, its blade is contracted, allowing for quick, repeated stabs. Although this trick weapon allows for adaptive combat, it was later replaced by saws and similar weapons that were more effective at disposing of beasts.",
ItemName,,Beastman's Curved Sword,"Curved sword forged of dull iron wielded by the beastmen of Farum Azula.

The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.",
ItemName,,Beatrice's Catalyst,"Catalyst belonging to Beatrice, the rogue witch. Contrasts with Vinheim catalysts. This ancient catalyst shows signs of being used for age-old sorceries. It has passed the hands of many generations to get here.",
ItemName,,Bell Keeper Bow,"Wooden bow used by bell keepers.Very light, and requiring hardly any strength.The bells symbolize forbidden love; the bell keepers, their faithful guardians, ever-ready to annihilate trespassers.They will stand watch for ever and ever, these determined, if ill-fated, marionettes.",
ItemName,,Berserker Blade,"The katana of a berserker, by its name.The thick, shiny black blade cuts exquisitely. Its origins and owner are unknown, but at some point the blade became known by this name.",
ItemName,,Bewitched Alonne Sword,"Katana forged from the soul of Sir Alonne.The captivating, undulating design serves to enhance this weapon's mystical allure.Alonne came from the east, and soon became the Iron King's most trusted knight.When he departed, the Old Iron King bequeathed Sir Alonne's name to his iron warriors.",
ItemName,,Black Blade,"A short katana wielded by the swordsman and distinguished guest of High Lord Wolnir. This shiny black blade is thick, but shorter than the typical katana.The swordsman was a master of a rare technique, traces of which can be observed in this weapon's strong attack.Skill: HoldAssume a holding stance to rapidly execute a lunging slash with a normal attack, or a deflecting parry with a strong attack.",
ItemName,,Black Bow,"Longbow carved from black wood to resemble a blade. One of the most difficult bows to master.

The blade-like body of the bow is light and cuts through the air.
Though a longbow, it can be wielded similarly to a shortbow.",
ItemName,,Black Bow of Pharis,"The preferred black bow of the heroic archer Pharis. Has a longer range than standard bows, but is more difficult to use. Without proper abilities, results will be underwhelming.",
ItemName,,Black Bow of Arashava,"A black longbow named after a hero of old, known for the unusual stance from which it is fired.
Has a longer range than standard bows, but successful usage requires a trained, dexterous hand.
Skill: Triple-shot
Swiftly nocks three arrows with finesse after drawing the bow, firing them simultaniously.",
ItemName,,Black Dragon Greataxe,"In legend, this oddly-shaped greataxe is said to be forged from the Black dragon's tail.As it is told, the Black dragon lost its tail to a brave warrior in a magnificent battle, and the tail was later used to forge several legendary weapons.",
ItemName,,Black Dragon Greatsword,"In legend, this oddly-shaped long sword is said to be forged from the black dragon's tail.As it is told, the black dragon lost its tail to a brave warrior in a magnificent battle, and the tail was later used to forge several legendary weapons.",
ItemName,,Black Dragon Sword,"In legend, this oddly-shaped straight sword is said to be forged from the black dragon's tail.As it is told, the black dragon lost its tail to a brave warrior in a magnificent battle, and the tail was later used to forge several legendary weapons.",
ItemName,,Black Dragon Warpick,"In legend, this oddly-shaped war hammer is said to be forged from the black dragon's tail.As it is told, the black dragon lost its tail to a brave warrior in a magnificent battle, and the tail was later used to forge several legendary weapons.",
ItemName,,Black Flamestone Dagger,"A dagger affixed with a black crystal.Found deep inside the Gutter, in the Black Gulch.Heavier than a standard dagger, but with a fine crystal that gives it a smoother slice.Some of the more determined souls exiled to the Gutter sought to scale the walls of the forsaken place and walk the earth once again, but failed, and wasted away mired in misery and resentment.",
ItemName,,Black Knife,"Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives. 

A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death. ",
ItemName,,Black Knight Glaive,"Glaive of the black knights who wander the lands. Used to face chaos demons.The unique attack of this glaive greatly reduces enemy poise, reflecting the tremendous size of the enemies that the knights have fearlessly faced.Skill: Spin SweepSweep foes in a large spinning motion, and utilize momentum to transition into an overhanded strong attack.",
ItemName,,Black Knight Greataxe,"Even after their flesh was charred by flame, they remained as strong as ever, and stood watch, challenging visitors to their land.",
ItemName,,Black Knight Greatsword,".Greatsword wielded by knights who served a lord of light in a long-forgotten age.Even after their flesh was charred by flame, they remained as strong as ever, and stood watch, challenging visitors to their land.",
ItemName,,Black Knight Halberd,Halberd of the black knights who wander Lordran. Used to face chaos demons. The large motion that puts the weight of the body into the attack reflects the great size of their adversaries long ago.,
ItemName,,Black Knight Sword,Greatsword of the Black Knights who wander Lordran. Used to face chaos demons. The Large motion that puts the weight of the body into the attack reflects the great size of their adversaries long ago.,
ItemName,,Black Knight Ultra Greatsword,"Ultra greatsword wielded by knights who served a lord of light in a long forgotten age.Even after their flesh was charred by flame, they remained as strong as ever, and stood watch, challenging visitors to their land.",
ItemName,,Black Scorpion Stinger,"Manscorpion Tark's thrusting sword.The scorpion pincer guard contains poison, which is injected into foes pierced by the blade.Tark's past is a thing obscure. But then again, do any of us know who we are, let alone what we may have been?",
ItemName,,Black Witch's Staff,"Staff used by Leydia Witches. Imbued with a special magic, making it a catalyst for sorceries, miracles, and hexes.Leydia apostles are adept at magic, and wielded unique weapons, but were deemed blasphemous and slaughtered.",
ItemName,,Blacksmith Giant Hammer,Wooden hammer of the giant blacksmith in Anor Londo who handles lightning weapons. The giant blacksmith forges with this wooden hammer as it would be hazardous to handle lightning weapons with metals,
ItemName,,Blacksmith Hammer,Metal hammer of Andre of Astora blacksmith at the Old Church. Can be used as a strike weapon but better left in the hands of its talented owner,
ItemName,,Blacksteel Katana,"lacksteel katana wielded by Alonne Knights. One of the sturdiest types of katana, preferred by masters of the quick-draw.In the heyday of his land, the Old Iron King fancied entertaining dubious and eccentric guests from faraway lands. Most of them were charlatans, but amongst the riff-raff were true masters of authentic and refined arts.Scholar of the First Sin changed to:Blacksteel katana wielded by Alonne Knights.One of the sturdiest types of katana, preferred by masters of the quick-draw.In the heyday of his land, the Old Iron King fancied entertaining dubious and eccentric guests from faraway lands. Most of them were charlatans, but among the riff-raff was an unusual knight from the far east. He trained the Iron King's men in the sword, in obeisance to his new lord.",
ItemName,,Blade of Calling,"Dagger given to one who set out on a journey to fulfill her duty long ago. The power of its former owner, the kindling maiden, is still apparent.

The one who walks alongside flame, Shall one day meet the road of Destined Death.",
ItemName,,Blade of Mercy,"A special trick weapon passed down among hunters of hunters. One of the oldest weapons of the workshop. Splits into two when activated. The weapon's warped blades are forged with siderite, a rare mineral of the heavens. Most effective swift attacks,such as after a quick-stepping.",
ItemName,,Blasphemous Blade,"Sacred sword of Rykard, Lord of Blasphemy.
Remains of the countless heroes he has devoured writhe upon the
surface of this blade.

Now they share the same blood, bound together as family.
Some HP is restored upon defeating an enemy.",
ItemName,,Bloodhound Claws,"Large curved claws used by Bloodhound Knights.

The curve allows the weapon to slip through an enemy's guard.",
ItemName,,Bloodied Whip,"A blood-stained whip. A tool made for a purpose forbidden by the gods.Its effect is augmented by its pointed tip, but still only marginally effective against protective covering such as hard armor.",
ItemName,,Bloodletter,"The demented hunter weapon brandished by Brador, the Healing Church assassin. The Bloodletter assumes its true and terrifying form after it draws upon blood from the inner reaches of one's body and soul. This is the only effective means of expelling tainted blood, or so Brador, isolated in his cell, continued to believe",
ItemName,,Bloodlust,"Katana of the old Mound-maker.The Mound-maker piled sacrifices upon the altar, but became the final offering himself, leaving this katana as a gift for his dear family.Skill: BloodlustStain blade with one’s own blood to temporarily grant uncanny sharpness. For one driven by bloodlust, nothing deserves to remain standing.",
ItemName,,Bloodstained Dagger,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",
ItemName,,Bloody Helice,"Ominous piercing sword with a winding blade. Carried by the noble servants of the Lord of Blood.

Designed to bore into flesh, causing severe blood loss at the wound. The extracted blood trickles gracefully down the length of the blade. ",
ItemName,,Blue Dagger,"Dagger used by fume sorcerers when a battle draws too close for comfort.An ordinary-looking dagger laced with magic.Strengthens spells, but also increases vulnerability to them",
ItemName,,Blue Flame,"Straight sword wielded by Leydia apostles.Imbued with a special magic that makes the Blue Flame both a sword and magic catalyst. Execute a strong attack to emit magic.The Leydia apostles, adept at magic, wielded unique weapons but were hunted down as traitors.",
ItemName,,Blue Knight's Halberd,".Halberd of Targray, Knight of the Blue. A fitting weapon for a shepherd of lost soulsThose who put faith in an absolute good also believe in the existence of true evil. But to others, the distinction between the two can be quite unclear.",
ItemName,,Bluemoon Greatsword,"The Blade of this greatsword shines like the brilliant rays of the moon. In the oldest legends, rarely spoken of today, it is said that the sword was born of a great white being.Then, what explains this lifeless weapon? Perhaps there has been some mistake...",
ItemName,,Bolt of Gransax,"Spear whittled from the weapon wielded by Gransax.
One of the legendary armaments.

A great ancient dragon, Gransax once rained calamity upon the Royal Capital - the only time in historical record that Leyndell's walls have fallen. This marked the dawn of the war against dragons.",
ItemName,,Bone Fist,".Bone that is bound to the fist. Used to enhance hand-to-hand combat.Salvaged from a malformed creature.Enables one to fight with inhuman strength, as if the very spirit of the bone's malicious owner had taken control.",
ItemName,,Bone Scythe,"Scythe forged from the soul of the Covetous Demon.The curved spine of the Covetous Demon is hard as rock, and rather than slicing through flesh, this weapon seems to grind it apart.That thing that ended up as a monstrous fiend, what was it to begin with, and why did it never leave the queen? Perhaps it was entranced by some perversion of love.",
ItemName,,Bone Staff,"Staff crafted with animal bones. A catalyst for sorceries and hexes.Properly trained sorcerers receive their first staff from their master after reaching a certain level of accomplishment.Those without proper training must devise something of their own making.",
ItemName,,Bound Hand Axe,"An axe with an unusual design. Found in the Undead Purgatory. The chains and spikes wrapped around the axe cause bleeding, but weaken the axe's effectiveness when slashing.Accessories that are added to a weapon for the sole purpose of tormenting foes can often detract from the weapon's natural effectiveness.",
ItemName,,Bow of Want,"Original:A bow created from the soul of Nashandra.The old one of the Abyss was reborn in death, split into miniscule fragments, and spread across the land.The smallest of the pieces, sensing its own fragility, yearned for what it lacked.Scholar of the First Sin changed to:A bow created from the soul of Nashandra.The old one of the Abyss was reborn in death, split into miniscule fragments, and spread across the land.Light and Dark are two sides of the same coin, much like the soul and the curse.The beings who presented themselves to those in search of kinghood were drawn to their awesome strength.",
ItemName,,Brick Hammer,"Weapon made from an ordinary stone brick. Wielded by a laborer who lead a rebellion, and later become a champion himself.

Even among other bludgeons of its size, this weapon is especially weighty. The strength of a giant is required to wield it. ",
ItemName,,Brigand Twindaggers,"These paired daggers are the preferred weapons of the brigands of a distant land.When two-handed, the wielder holds a blade in each hand, allowing for divergent attacks that include left-handed moves.",
ItemName,,Broadsword,The wide blade of this straight sword emphasizes slicing and has no thrust attack. The horizontal sweeping motion makes this sword effective against multiple enemies.,
ItemName,,Broken Straight Sword,Half of the blade of this straight sword is broken off. Only the completely Hollowed would even consider using this as a weapon.,
ItemName,,Broken Longsword,"A straight sword with a broken blade.A weapon with no exceptional qualities. Only a mad Hollow would choose to fight with this.",
ItemName,,Broken Thief Sword,"A broken straight sword. Handled as a dagger due to its length.This inexpensive sword is terribly worn, but nevertheless a favorite amongst thieves.",
ItemName,,Butcher's Knife,"An oddly large butcher's knife.Not your standard weapon, but certainly deadly enough to be utilized as one. Absorbs the HP of foes. who in their right mind would create such a thing? Perhaps it is best not to dwell on how it was likely used in the past.",
ItemName,,Butchering Knife,"Huge carving knife made to cleanly butcher the human body.
Signature weapon of the Ogress Anastasia, known to have eaten
countless Tarnished while disguised as a Finger Maiden.

Restores a very small amount of HP when it squarely strikes an enemy.",
ItemName,,Caestus,"The weapon augments one's bare hands with thick, studded leather. The Caestus has a short reach, but quick cool down. Amount of damage inflicted is dependent on its wearer's strength.",
ItemName,,Caitha's Chime,"Sacred chime blessed by Caitha, goddess of tears. Hex-dedicated catalyst.Cannot be used to cast miracles. Caitha, the goddess of tears, is known as a compassionate being that is with us in times of tragedy, but some believe that she is a demoness that guides us toward misfortune.",
ItemName,,Cane Sword,"Beloved sword of an aged knight whose last quest was long behind
him, repurposed into a walking stick. The tip is rather worn.

Though bent of back and without the brawn required even to
raise the sword aloft, still he wished to meet his end with weapon
in hand.",
ItemName,,Canvas Talisman,"Medium for casting miracles of the Gods. Canvas talismans are austere items carried by heralds.Equip a talisman or a sacred chime to cast miracles. Miracles must be attuned at a bonfire before use.",
ItemName,,Carian Glintblade Staff,"Staff embedded with a blue glintstone. One of two types of Carian staff.

Gifted to enchanted knights, it enhances Glintblade sorceries.",
ItemName,,Carian Glintstone Staff,"Staff embedded with a blue glintstone. One of two types of Carian staff.

Given to sorcerers that they might enact the role of knight. Enhances Carian sword sorceries.",
ItemName,,Carian Knight's Sword,"Straight sword embedded with a blue glintstone. 
Weapon of knights sworn to Carian royalty.

These knights' swords could serve as catalysts, letting them wield sorcerous battle skills. Despite numbering fewer than twenty, this power made them a match for even the champions of gold in battle.",
ItemName,,Carian Regal Scepter,"Magic scepter of Rennala, Queen of the Full Moon. The glintstone is known as a Carian Blue, enhancing full moon sorceries.

Only those of the highest intelligence may wield this, the finest of all glintstone staves.",
ItemName,,Carthus Curved Greatsword,"Large curved sword wielded by swordsmen of Carthus.The lightest of the curved greatswords. Crafted to cause bleeding.",
ItemName,,Carthus Curved Sword,".Curved sword of Carthus swordsmen.This weapon's thick, heavy blade is crafted to cause bleeding, and requires ample strength and dexterity to wield effectively, suggesting that the swordsmen of Carthus were amongst the mightiest.",
ItemName,,Carthus Shotel,"Strangely curved sword crafted to cause bleeding, wielded by Carthus swordsmen.Shaped to sneak around the defenses of shields, this sword requires ample dexterity to wield effectively.",
ItemName,,Cathedral Knight Greatsword,"Ultra greatsword wielded by the knights of the Cathedral of the Deep.Highly destructive if intolerably heavy.Its blade is flattened for use as a strike weapon, but the point at the end allows for thrustin",
ItemName,,Celebrant's Cleaver,"Cleaver decorated with many-colored fabrics.
Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village.

Crafted from human bone.
Grants trace amounts of runes upon landing attacks.",
ItemName,,Celebrant's Rib-Rake,"Rake decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village.

Crafted from human bone.
Grants trace amounts of runes upon landing attacks.",
ItemName,,Celebrant's Sickle,"Sickle decorated with flowers and many-coloured fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard.

Crafted from human bone.

Grants trace amounts of runes on landing attacks.",
ItemName,,Celebrant's Skull ,"Large bludgeon ecorated with flowers and many-colored fabrics.
Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village.

The striking end is a skull too large in size to be human.
Grants trace amounts of runes on landing attacks.",
ItemName,,Chainlink Flail ,"A spiked iron tube attached by a chain wielded by Mad Pumpkin Heads.

Especially large for a flail, wielding it requires more strength than it does dexterity.",
ItemName,,Channeler's Trident,Trident of the Six-eyed Channelers sorcerers who serve Seath the Scaleless in collecting human specimens. Thrusted in circular motions in a unique martial arts dance that stirs nearby allies into a bloodthirsty frenzy.,
ItemName,,Chaos Blade,"A curved sword born from the soul of Quelaag, daughter of the Witch of Izalith, who was transformed into a chaos demon. This blade inherits only the chaotic nature of Quelaag, and has a unique speckled design. Blade wielder erodes along with opponents.",
ItemName,,Chaos Rapier,"Rapier of darkness and chaos.Navlaan claims to have sealed himself away to prevent tragedy, but could a sorcery truly possess a will of its own? Truth can be elusive, and the tales surrounding him are questionable. Only, it is clear a strange power possess this sword.Nebulous, inky and serene, the Dark hold an allure matched only by the fear it strikes in men's hearts. Could it be nature, holding a mirror to mankind?",
ItemName,,Chariot Lance,"Lance forged from the soul of the Executioner's Chariot. Its cross-shaped blade causes bleeding.The perverse design of this spear mirrors the chariot from which it came, a merciless creation that endlessly tortured the Undead.",
ItemName,,Charred Loyce Greatsword,"A charred greatsword of the Knights of Loyce, its blade burned black by the flame.These Knights of Loyce lacked all sense of self, and were driven only by the urge to expunge any who might disturb the flame, even former compatriots",
ItemName,,Chikage,"Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle. When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. However, the rite eats away at the wielder's very essence.",
ItemName,,Chime of Scream,"Sacred chime forged from the soul of Nadalia, Bride of Ash.Nothing appears sacred about the frightful design of this chime, but it does have the benefit of raising one's faith.The oozing, frozen iron forming the bell seems to anticipate a scream.",
ItemName,,Chime of Want,".Sacred chime created from the soul of Nashandra.Greatly amplifies spells.The old one of the Abyss was reborn in death, split into miniscule fragments, and spread across the land.The tiniest of these pieces, precisely due to its size, was the first to restore its form.Scholar of the First Sin changed to:Sacred chime created from the soul of Nashandra.The old one of the Abyss was reborn in death, split into miniscule fragments, and spread across the land.After taking their shapes, they courted monarchs of considerable power, which they desired to make their own.",
