Name,Rarity,Type,Lore,Attunement,Weight,Properties,Effects,Value
+1 Rod of the Pact Keeper,uncommon,rod,"The Rod of the Pact Keeper is a magical item that allows its bearer to make pacts with other creatures. The Rod grants its bearer the ability to speak with any creature that has a language, and the creature is under the Rod's control until the pact is broken. The Rod can also be used to summon creatures to its bearer's side.",requires attunement by a warlock,2 lb.,,"While holding this rod, you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your warlock spells.In addition, you can regain one warlock spell slot as an action while holding the rod. You can't use this property again until you finish a long rest.",
+1 talisman of the War Mage,uncommon,talisman,The talisman of the War Mage is a magical item that grants the wearer the ability to cast spells with the warlock spellcasting class.,requires attunement by a spellcaster,1 lb.,,"While you are holding this talisman, you gain a +1 bonus to spell attack rolls. In addition, you ignore half cover when making a spell attack.",
+2 All-Purpose Tool,rare,wondrous item,The +2 All-Purpose Tool is a magical item that is always filled with the user's most recent crafting project. The tool always has the latest version of the user's crafting notes and any applicable recipes. The tool also has a small light that always turns on when the tool is picked up.,requires attunement by an artificer,,,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +2 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.",
+2 Ammunition,rare,"ammunition, enchantment",This ammunition is specially designed to increase the effectiveness of ranged weapons.,,,,"You have a +2 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.",
+2 Amulet of the Devout,rare,wondrous item,The amulet of the devout is a magical item that grants its wearer a +2 bonus to AC.,requires attunement by a cleric or paladin,1 lb.,,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the Sacred Seal, you gain a +2 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn.",
+2 Arcane Grimoire,rare,wondrous item,The arcane Grimoire is a tome of magical knowledge that grants its user a +2 bonus to spellcasting ability.,requires attunement by a wizard,3 lb.,,"While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1.",
+2 Armor,very rare,enchantment,"The armor is made of metal and has a green sheen to it. It is heavy, but provides good protection.",,,,You have a +2 bonus to AC while wearing this armor.,
+2 Dragonhide Belt,rare,wondrous item,The Dragonhide Belt is a magical item that grants the wearer +2 to their AC.,requires attunement by a monk,,,"This finely detailed belt is made of dragonhide. While wearing it, you gain a +2 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn.",
+2 Moon Sickle,rare,"sickle, simple melee weapon",The moon sickle is a magical weapon that is said to have been created by the goddess Selune. It is a two-handed slashing weapon that deals extra damage to creatures of the night.,requires attunement by a druid or ranger,2 lb.,"1d4, slashing, - light","This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +2 bonus to attack and damage rolls made with it, and you gain a +2 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.",
+2 Rhythm-Maker's Drum,rare,"wondrous item, Instrument",The Rhythm-Maker's Drum is a magical item that allows its user to create perfect rhythms. It is said to have been created by the god of music himself.,requires attunement by a bard,3 lb.,,"While holding this drum, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument.A bard can use a musical instrument as a spellcasting focus, substituting it for any material component that does not list a cost.Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20",
+2 Rod of the Pact Keeper,rare,rod,"The Rod of the Pact Keeper is a magical item that allows its bearer to make pacts with other creatures. The Rod grants its bearer the ability to speak with any creature that has a language, and the creature is under the Rod's control until the pact is broken. The Rod can also be used to summon creatures to its bearer's side.",requires attunement by a warlock,2 lb.,,"While holding this rod, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your warlock spells.In addition, you can regain one warlock spell slot as an action while holding the rod. You can't use this property again until you finish a long rest.",
+2 Shield (*),rare,enchantment,The shield is a sturdy piece of metal that protects the user from harm. It is often used by warriors and knights to protect themselves from attacks.,,,,"This generic variant has the same name and source as the item +2 shield.While holding this shield, you have a +2 bonus to AC. This bonus is in addition to the shield's normal bonus to AC.",
+2 talisman of the War Mage,rare,talisman,The talisman of the War Mage is a magical item that grants its wearer increased combat abilities.,requires attunement by a spellcaster,1 lb.,,"While you are holding this talisman, you gain a +2 bonus to spell attack rolls. In addition, you ignore half cover when making a spell attack.",
+2 Weapon,rare,enchantment,The +2 Weapon is a magical weapon that increases the user's Strength by 2.,,,,You have a +2 bonus to attack and damage rolls made with this magic weapon.,
+2 Weapon (no damage),rare,enchantment,This item is a +2 weapon that does not deal damage. It is often used as a tool for intimidation or as a prop in performances.,,,,You have a +2 bonus to attack rolls made with this weapon.,
+3 All-Purpose Tool,very rare,wondrous item,The +3 All-Purpose Tool is a magical item that is used to perform a variety of tasks. It is often used by adventurers to help them in their quests.,requires attunement by an artificer,,,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +3 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.",
+3 Ammunition,very rare,"ammunition, enchantment",The ammunition is a type of ammunition used in firearms. It is a round object that is fired from a firearm.,,,,"You have a +3 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.",
+3 Amulet of the Devout,very rare,wondrous item,The amulet of the devout is a magical item that grants the wearer a +3 bonus to AC.,requires attunement by a cleric or paladin,1 lb.,,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the Sacred Seal, you gain a +3 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn.",
+3 Arcane Grimoire,very rare,wondrous item,The arcane Grimoire is a tome of magical knowledge that grants its user an extra three points of spellcasting ability.,requires attunement by a wizard,3 lb.,,"While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1.",
+3 Armor,legendary,enchantment,The armor is made of metal and has a green sheen to it. It is said to be enchanted with the power to protect the wearer from harm.,,,,You have a +3 bonus to AC while wearing this armor.,
+3 Dragonhide Belt,very rare,wondrous item,The Dragonhide Belt is a magical item that grants the wearer +3 to their AC.,requires attunement by a monk,,,"This finely detailed belt is made of dragonhide. While wearing it, you gain a +3 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn.",
+3 Moon Sickle,very rare,"sickle, simple melee weapon","The moon sickle is a magical weapon that is said to have been created by the goddess Selune. It is a sickle-like object that is made of silver and has a crescent moon motif carved into the blade. The moon sickle is said to be able to cut through any kind of armor or shield with ease, and it is also said to be able to heal wounds caused by Moonlight.",requires attunement by a druid or ranger,2 lb.,"1d4, slashing, - light","This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +3 bonus to attack and damage rolls made with it, and you gain a +3 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.",
+3 Rhythm-Maker's Drum,very rare,"wondrous item, Instrument",The Rhythm-Maker's Drum is a magical item that allows its user to create perfect rhythms. It is said to have been created by the god of music himself.,requires attunement by a bard,3 lb.,,"While holding this drum, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument.A bard can use a musical instrument as a spellcasting focus, substituting it for any material component that does not list a cost.Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20",
+3 Rod of the Pact Keeper,very rare,rod,"The Rod of the Pact Keeper is a magical item that allows its wielder to make pacts with other creatures. The Rod grants its wielder the ability to speak with any creature that has a language, and the wielder can make a pact with any creature that they can see. The Rod also allows the wielder to summon creatures that they have made pacts with, and it can also be used to break pacts.",requires attunement by a warlock,2 lb.,,"While holding this rod, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your warlock spells.In addition, you can regain one warlock spell slot as an action while holding the rod. You can't use this property again until you finish a long rest.",
+3 Shield (*),very rare,enchantment,The shield is a sturdy piece of metal that is designed to protect the user from harm. It is often decorated with a heraldic design or a symbol of the user's clan or faction.,,,,"* This generic variant has the same name and source as the item +3 shield.While holding this shield, you have a +3 bonus to AC. This bonus is in addition to the shield's normal bonus to AC.",
+3 talisman of the War Mage,very rare,talisman,The talisman of the War Mage is a magical item that grants its wearer the ability to cast spells with the war magic domain.,requires attunement by a spellcaster,1 lb.,,"While you are holding this talisman, you gain a +3 bonus to spell attack rolls. In addition, you ignore half cover when making a spell attack.",
+3 Weapon,very rare,enchantment,The +3 Weapon is a magical weapon that is imbued with the power of the gods. It is said that only the most powerful warriors can wield this weapon with impunity.,,,,"You have a +3 bonus to attack and damage rolls made with this magic weapon.)
",
+3 Weapon (no damage),very rare,enchantment,This item is a +3 weapon that does not deal damage. It is used to add to the player's AC.,,,,You have a +3 bonus to attack rolls made with this weapon.,
Abacus,Mundane,adventuring gear,The abacus is a tool used in accounting. It is a board with beads or counters on one side and a number pad on the other. The user counts the beads or counters on the side with the numbers and writes the number in the number pad.,,2 lb.,,,2 gp
Abracadabrus,very rare,wondrous item,The Abracadabrus is a magical item that is said to be able to grant wishes to the person who possesses it.,,25 lb.,,"An abracadabrus is an ornate, gemstone-studded wooden chest that weighs 25 pounds while empty. Its interior compartment is a cube measuring 1½ feet on a side.The chest has 20 charges. A creature can use an action to touch the closed lid of the chest and expend 1 of the chest's charges while naming one or more nonmagical objects (including raw materials, foodstuffs, and liquids) worth a total of 1 gp or less. The named objects magically appear in the chest, provided they can all fit inside it and the chest doesn't contain anything else. For example, the chest can conjure a plate of strawberries, a bowl of hot soup, a flagon of water, a stuffed animal, or a bag of twenty caltrops. Food and drink conjured by the chest are delicious, and they spoil if not consumed after 24 hours. Gems and precious metals created by the chest disappear after 1 minute.The chest regains 1d20 expended charges daily at dawn. If the item's last charge is expended, roll a d20. On a 1, the chest loses its magic (becoming an ordinary chest), and its gemstones turn to dust.",
Absorbing Tattoo,very rare,wondrous item tattoo,"The absorbing tattoo is a magical item that allows the wearer to absorb the magical energies of other creatures. This energy is then stored within the tattoo, and can be used to power magical spells or abilities.",requires attunement,,,"Produced by a special needle, this magic tattoo features designs that emphasize one color. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to a type of damage associated with that color, as shown on the table below. The DM chooses the color or determines it randomly.Absorbing Tattood10ColorTattoo1GreenAcid Absorbing Tattoo2BlueCold Absorbing Tattoo3RedFire Absorbing Tattoo4WhiteForce Absorbing Tattoo5YellowLightning Absorbing Tattoo6BlackNecrotic Absorbing Tattoo7VioletPoison Absorbing Tattoo8SilverPsychic Absorbing Tattoo9GoldRadiant Absorbing Tattoo10OrangeThunder Absorbing Tattoo Damage Absorption. When you take damage of the chosen type, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn.Multiple variations of this item exist, as listed below Acid Absorbing TattooCold Absorbing TattooFire Absorbing TattooForce Absorbing TattooLightning Absorbing TattooNecrotic Absorbing TattooPoison Absorbing TattooPsychic Absorbing TattooRadiant Absorbing TattooThunder Absorbing Tattoo",
Acheron Blade,rare,enchantment,The Acheron Blade is a magical weapon that was created by the god Acheron. The blade is made of purest silver and is said to be able to cut through anything. The blade is also said to be able to heal any wound it inflicts.,requires attunement,,,"The black blade of this sword is crafted from a mysterious arcane alloy. You gain a +1 bonus to attack and damage rolls made with this magic weapon. While the sword is on your person, you are immune to effects that turn undead. Dark Blessing. While holding the sword, you can use an action to give yourself 1d4 + 4 temporary hit points. This property can't be used again until the next dusk. Disheartening Strike. When you hit a creature with an attack using this weapon, you can fill the target with unsettling dread  the target has disadvantage on the next saving throw it makes before the end of your next turn. The creature ignores this effect if it's immune to the frightened condition. Once you use this property, you can't do so again until the next dusk.",
Acid (pot),Mundane,adventuring gear,"The Acid pot is a common item used to create acid. It is a metal pot with a handle and a spout. When the pot is filled with acid, the user can pour it over something or into a container to cause damage.",,1 lb.,,"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage.",25 gp
Acid Absorbing Tattoo,very rare,wondrous item tattoo,"The Acid Absorbing Tattoo is a magical tattoo that absorbs acid damage. It can be worn by any creature that can wear jewelry, and it grants the wearer immunity to acid damage.",requires attunement,,,"Produced by a special needle, this magic tattoo features designs that emphasize one color (green). Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to acid damage. Damage Absorption. When you take acid damage, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn.",
Adjustable Stilts,unknown,other,The adjustable stilts are a tool used by acrobats and other performers to help them balance and move more easily. They are made of sturdy wood and metal and can be adjusted to different heights.,,8 lb.,,The stilts take 1 minute to put on or remove. They increase the height of any humanoid wearing them by 2 to 5 feet. Each stilt weighs 8 pounds and is 1 foot long when fully collapsed.,
Airship,Mundane,Vehicle,"The airship is a large, floating vessel that is used to travel through the air. It is often used by adventurers to travel to distant lands.",,,"Speed  8 mphCarrying Capacity  1 ton cargo, 20 passengersCrew 10, AC 13, HP 300"," Crew. A ship needs a crew of skilled hirelings to function. As per the Player's Handbook, one skilled hireling costs at least 2 gp per day. The minimum number of skilled hirelings needed to crew a ship depends on the type of vessel.You can track the loyalty of individual crew members or the crew as a whole using the optional loyalty rules in chapter 4 of the Dungeon Master's Guide. If at least half the crew becomes disloyal during a voyage, the crew turns hostile and stages a mutiny. If the ship is berthed, disloyal crew members leave the ship and never return. Passengers. This indicates the number of Small and Medium passengers the ship can accommodate.Accommodations consist of shared hammocks in tight quarters. A ship outfitted with private accommodations can carry one-fifth as many passengers.A passenger is usually expected to pay 5 sp per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 gp per day. Cargo. The maximum tonnage the ship can carry. Damage Threshold. If a ship has a Damage Threshold, it has immunity to all damage unless it takes an amount of damage equal to or greater than its damage threshold, in which case it takes damage as normal. Any damage that fails to meet or exceed the damage threshold is considered superficial and doesn't reduce the ship's hit points. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 hit point of damage requires 1 day and costs 20 gp for materials and labor.","20,000 gp"
"Akmon, Hammer of Purphoros",artifact,"warhammer, martial melee weapon","Akmon, Hammer of Purphoros is a magical weapon that was forged from the melted remains of the god Purphoros. The hammer is said to be able to crush any foe it strikes, and it is said that only the strongest of gods can wield it with impunity.",requires attunement,2 lb.,"1d8, bludgeoning, - versatile (1d10)","Purphoros's hammer works wonders and disasters, the god of the forge using it to craft ground-breaking marvels and dangerous inventions in equal measure. Purphoros rarely bestows Akmon on mortals but occasionally leaves it unattended at his forge in Mount Velus. When Purphoros does permit a mortal to use the hammer, it's usually so they might bring an important work into being, wreck a force of destruction, or forge something remarkable somewhere the god isn't welcome. Hammer of the Forge. This magic warhammer grants a +3 bonus to attack and damage rolls made with it. When you hit with an attack using it, the target takes an extra 3d10 fire damage. Blessing of the Forge. If you are a worshiper of Purphoros, you gain all the following benefits for which you have the required piety Piety 10+. The hammer has 1 randomly determined minor beneficial property.Piety 25+. The hammer has 1 randomly determined major beneficial property.Piety 50+. The hammer has 1 additional randomly determined major beneficial property.If you aren't a worshiper of Purphoros, the hammer has 2 randomly determined minor detrimental properties.See ""Artifacts"" in chapter 7 of the Dungeon Master's Guide for details on randomly determined properties. Reforged. While holding the hammer, you have resistance to fire damage and are immune to exhaustion. Additionally, you have proficiency with smith's tools and have advantage on all ability checks made using them. Spells. While the hammer is on your person, you can use an action to cast one of the following spells (save DC 18)  animate objects, heat metal, fabricate, magic weapon, mending, shatter. Once you use the hammer to cast a spell, the spell can't be cast again from it until the next dusk. Destroying the Hammer. To destroy the hammer, it must be taken to the realm of Tizerus, in the Underworld. There it must be coated in clay from the Mire of Punishment. The heat of the hammer hardens the clay, which fuses to it after one month. Once fully hardened, the clay-covered hammer must be swallowed and digested by a kraken. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.",
Alchemical Compendium,rare,wondrous item,The Alchemical Compendium is a tome of alchemical knowledge that was created by the wizard Zeddicus Zu'l Zorander. It is a massive tome that is said to be the most comprehensive guide to alchemy in existence.,requires attunement by a wizard,3 lb.,,"Acrid odors cling to this stained, heavy volume. The book's metal fittings are copper, iron, lead, silver, and gold, some frozen mid-transition from one metal to another. When found, the book contains the following spells  enlarge/reduce, feather fall, flesh to stone, gaseous form, magic weapon, and polymorph. It functions as a spellbook for you.While you are holding the book, you can use it as a spellcasting focus for your wizard spells.The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the transmutation school.As an action, you can touch a nonmagical object that isn't being worn or carried and spend a number of charges to transform the target into another object. For 1 charge, the object can be no larger than 1 foot on a side. You can spend additional charges to increase the maximum dimensions by 2 feet per charge. The new object must have a gold value equal to or less than the original.",
Alchemist's Doom,unknown,adventuring gear,The Alchemist's Doom is a powerful magical item that allows the user to cast spells with the death domain.,,1 lb.,,"This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's doom as an improvised weapon. On a hit, the target takes 7 (2d6) fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.",
Alchemist's Fire (flask),Mundane,adventuring gear,Alchemist's Fire is a flask of alchemical fire. It is used to create fire spells.,,1 lb.,,"This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.",50 gp
Alchemist's Supplies,Mundane,Artisan's Tools,Alchemist's Supplies are a set of magical items that allow the user to create potions and other magical items.,,8 lb.,,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Alchemist's supplies enable a character to produce useful concoctions, such as acid or alchemist's fire. Components. Alchemist's supplies include two glass beakers, a metal frame to hold a beaker in place over an open flame, a glass stirring rod, a small mortar and pestle, and a pouch of common alchemical ingredients, including salt, powdered iron, and purified water. Arcana. Proficiency with alchemist's supplies allows you to unlock more information on Arcana checks involving potions and similar materials. Investigation. When you inspect an area for clues, proficiency with alchemist's supplies grants additional insight into any chemicals or other substances that might have been used in the area. Alchemical Crafting. You can use this tool proficiency to create alchemical items. A character can spend money to collect raw materials, which weigh 1 pound for every 50 gp spent. The DM can allow a character to make a check using the indicated skill with advantage. As part of a long rest, you can use alchemist's supplies to make one dose of acid, alchemist's fire, antitoxin, oil, perfume, or soap. Subtract half the value of the created item from the total gp worth of raw materials you are carrying.Alchemist's SuppliesActivityDCCreate a puff of thick smoke10Identify a poison10Identify a substance15Start a fire15Neutralize acid20See the Tool Proficiencies entry for more information.",50 gp
Alchemy Jug,uncommon,wondrous item,The Alchemy Jug is a container used to store potions and other alchemical ingredients. It is often decorated with symbols of the alchemist's trade.,,12 lb.,,"This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty.You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named.Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn.LiquidMax AmountAcid8 ouncesBasic poison½ ounceBeer4 gallonsHoney1 gallonMayonnaise2 gallonsOil1 quartVinegar2 gallonsWater, fresh8 gallonsWater, salt12 gallonsWine1 gallon",
