Prompt,Completion
Generate ESB ItemName:,Light Crossbow
Generate ESB ItemName:,Lion Greataxe
Generate ESB ItemName:,Lion Greatbow
Generate ESB ItemName:,Lizard Staff
Generate ESB ItemName:,Logan's Catalyst
Generate ESB ItemName:,Logarius' Wheel
Generate ESB ItemName:,Long Bow
Generate ESB ItemName:,Longbow
Generate ESB ItemName:,Longhaft Axe
Generate ESB ItemName:,Longsword
Generate ESB ItemName:,Lordsworn's Greatsword
Generate ESB ItemName:,Lordsworn's Straight Sword
Generate ESB ItemName:,Loretta's War Sickle
Generate ESB ItemName:,Lorian's Greatsword
Generate ESB ItemName:,Lost Sinner's Sword
Generate ESB ItemName:,Lothric Knight Greatsword
Generate ESB ItemName:,Lothric Knight Long Spear
Generate ESB ItemName:,Lothric Knight Sword
Generate ESB ItemName:,Lothric War Banner
Generate ESB ItemName:,Lothric's Holy Sword
Generate ESB ItemName:,Lucerne
Generate ESB ItemName:,Ludwig's Holy Blade
Generate ESB ItemName:,Lusat's Glintstone Staff
Generate ESB ItemName:,Mace
Generate ESB ItemName:,Mace of the Insolent
Generate ESB ItemName:,Magma Blade
Generate ESB ItemName:,Magma Whip Candlestick
Generate ESB ItemName:,Mail Breaker
Generate ESB ItemName:,Majestic Greatsword
Generate ESB ItemName:,Malformed Claws
Generate ESB ItemName:,Malformed Shell
Generate ESB ItemName:,Maliketh's Black Blade
Generate ESB ItemName:,Man Serpent Hatchet
Generate ESB ItemName:,Man-Grub's Staff
Generate ESB ItemName:,Man-Serpent greatsword
Generate ESB ItemName:,Manikin Claws
Generate ESB ItemName:,Manikin Knife
Generate ESB ItemName:,Manikin Sabre
Generate ESB ItemName:,Manslayer
Generate ESB ItemName:,Mantis Blade
Generate ESB ItemName:,Manus Catalyst
Generate ESB ItemName:,Marais Executioner's Sword
Generate ESB ItemName:,Marika's Hammer
Generate ESB ItemName:,Mastodon Greatsword
Generate ESB ItemName:,Mastodon Halberd
Generate ESB ItemName:,Melu Scimitar
Generate ESB ItemName:,Mendicant's Staff
Generate ESB ItemName:,Metal hammer of Andre of Astora
Generate ESB ItemName:,Meteoric Ore Blade
Generate ESB ItemName:,Meteorite Staff
Generate ESB ItemName:,Millwood Battle Axe
Generate ESB ItemName:,Millwood Greatbow
Generate ESB ItemName:,Miquellan Knight's Sword
Generate ESB ItemName:,Mirrah Greatsword
Generate ESB ItemName:,Misbegotten Shortbow
Generate ESB ItemName:,Miséricorde
Generate ESB ItemName:,Mohgwyn's Sacred Spear
Generate ESB ItemName:,Monastery Scimitar
Generate ESB ItemName:,Monk's Flamemace
Generate ESB ItemName:,Moonlight Butterfly Horn
Generate ESB ItemName:,Moonlight Greatsword
Generate ESB ItemName:,Moonveil
Generate ESB ItemName:,Morne's Great Hammer
Generate ESB ItemName:,Morning Star
Generate ESB ItemName:,Murakumo
Generate ESB ItemName:,Murky Hand Scythe
Generate ESB ItemName:,Murky Longstaff
Generate ESB ItemName:,Mytha's Bent Blade
Generate ESB ItemName:,Nagakiba
Generate ESB ItemName:,Nightrider Flail
Generate ESB ItemName:,Nightrider Glaive
Generate ESB ItemName:,Noble's Estoc
Generate ESB ItemName:,Noble's Slender Sword
Generate ESB ItemName:,Notched Whip
Generate ESB ItemName:,Nox Flowing Hammer
Generate ESB ItemName:,Nox Flowing Sword
Generate ESB ItemName:,Obsidian Greatsword
Generate ESB ItemName:,Old King's Great Hammer
Generate ESB ItemName:,Old Knight Greatsword
Generate ESB ItemName:,Old Knight Hammer
Generate ESB ItemName:,Old Knight Pike
Generate ESB ItemName:,Old Knight Ultra Greatsword
Generate ESB ItemName:,Old Whip
Generate ESB ItemName:,Old Wolf Curved Sword
Generate ESB ItemName:,Olenford's Staff
Generate ESB ItemName:,Onikiri and Ubadachi
Generate ESB ItemName:,Onislayer Greatbow
Generate ESB ItemName:,Onyx Blade
Generate ESB ItemName:,Oolacile Catalyst
Generate ESB ItemName:,Oolacile Ivory Catalyst
Generate ESB ItemName:,Ordovis's Greatsword
Generate ESB ItemName:,Ornamental Straight Sword
Generate ESB ItemName:,Painting Guardian Sword
Generate ESB ItemName:,Painting Guardian's Curved Sword
Generate ESB ItemName:,Parrying Dagger
Generate ESB ItemName:,Parrying Dagger
Generate ESB ItemName:,Partisan
Generate ESB ItemName:,Partizan
Generate ESB ItemName:,Pate's Spear
Generate ESB ItemName:,Pest's Glaive
Generate ESB ItemName:,Pickaxe
Generate ESB ItemName:,Pike
Generate ESB ItemName:,Pilgrim's Spontoon
Generate ESB ItemName:,Pontiff Knight Curved Sword
Generate ESB ItemName:,Pontiff Knight Great Scythe
Generate ESB ItemName:,Possessed Armor Greatbow
Generate ESB ItemName:,Possessed Armor Sword
Generate ESB ItemName:,Preacher's Right Arm
Generate ESB ItemName:,Prelate's Inferno Crozier
Generate ESB ItemName:,Priest's Chime
Generate ESB ItemName:,Prince of Death's Staff
Generate ESB ItemName:,Priscilla's Dagger
Generate ESB ItemName:,Profaned Greatsword
Generate ESB ItemName:,Protective Chime
Generate ESB ItemName:,Pulley Bow
Generate ESB ItemName:,Pursuer's Greatsword
Generate ESB ItemName:,Puzzling Stone Sword
Generate ESB ItemName:,Pyromancy Flame
Generate ESB ItemName:,Quakestone Hammer
Generate ESB ItemName:,Quelaag's Furysword
Generate ESB ItemName:,Rakuyo
Generate ESB ItemName:,Rampart Golem Lance
Generate ESB ItemName:,Rapier
Generate ESB ItemName:,Raptor Talons
Generate ESB ItemName:,Red Branch Shortbow
Generate ESB ItemName:,Red Iron Twinblade
Generate ESB ItemName:,Red Rust Scimitar
Generate ESB ItemName:,Red Rust Sword
Generate ESB ItemName:,Reduvia
Generate ESB ItemName:,Regalia of Eochaid
Generate ESB ItemName:,Reinforced Club
Generate ESB ItemName:,Reiterpallasch
Generate ESB ItemName:,Retainer Staff
Generate ESB ItemName:,Retainer's Short Sword
Generate ESB ItemName:,Ricard's Rapier
Generate ESB ItemName:,Rifle Spear
Generate ESB ItemName:,Ringed Finger
Generate ESB ItemName:,Ringed Knight Paired Greatswords
Generate ESB ItemName:,Ringed Knight Spear
Generate ESB ItemName:,Ringed Knight Straight Sword
Generate ESB ItemName:,Ripple Blade
Generate ESB ItemName:,Ripple Crescent Halberd
Generate ESB ItemName:,Rissidium Spear
Generate ESB ItemName:,Roaring Halberd
Generate ESB ItemName:,Rogier's Rapier
Generate ESB ItemName:,Rose of Ariandel
Generate ESB ItemName:,Rosus' Axe
Generate ESB ItemName:,Rotten Battle Hammer
Generate ESB ItemName:,Rotten Crystal Spear
Generate ESB ItemName:,Rotten Crystal Staff
Generate ESB ItemName:,Rotten Crystal Sword
Generate ESB ItemName:,Rotten Ghru Curved Sword
Generate ESB ItemName:,Rotten Ghru Dagger
Generate ESB ItemName:,Rotten Ghru Spear
Generate ESB ItemName:,Rotten Greataxe
Generate ESB ItemName:,Rotten Staff
Generate ESB ItemName:,Royal Dirk
Generate ESB ItemName:,Royal Greatsword
Generate ESB ItemName:,Ruins Greatsword
Generate ESB ItemName:,Ruler's Sword
Generate ESB ItemName:,Rusted Anchor
Generate ESB ItemName:,Sacred Chime
Generate ESB ItemName:,Sacred Chime of Filianore
Generate ESB ItemName:,Sacred Relic Sword
Generate ESB ItemName:,Sacrificial Axe
Generate ESB ItemName:,Sage's Crystal Rodd
Generate ESB ItemName:,Saint Bident
Generate ESB ItemName:,Saint-tree Bellvine
Generate ESB ItemName:,Saint's Talisman
Generate ESB ItemName:,Sanctum Crossbow
Generate ESB ItemName:,Sanctum Mace
Generate ESB ItemName:,Sanctum Repeating Crossbow
Generate ESB ItemName:,Santier's Spear
Generate ESB ItemName:,Saw Cleaver
Generate ESB ItemName:,Saw Spear
Generate ESB ItemName:,Scepter of the All-Knowing
Generate ESB ItemName:,Scholar's Candlestick
Generate ESB ItemName:,Scimitar
Generate ESB ItemName:,Scimitars
Generate ESB ItemName:,Scorpion's Stinger
Generate ESB ItemName:,Scythe
Generate ESB ItemName:,Scythe of Nahr Alma
Generate ESB ItemName:,Scythe of the Forlorn
Generate ESB ItemName:,Scythe of Want
Generate ESB ItemName:,Sea Bow
Generate ESB ItemName:,Sellsword Twinblades
Generate ESB ItemName:,Sentry's Torch
Generate ESB ItemName:,Serpent Bow
Generate ESB ItemName:,Serpent-God's Curved Sword
Generate ESB ItemName:,Serpent-Hunter
Generate ESB ItemName:,Serpentbone Blade
Generate ESB ItemName:,Server
Generate ESB ItemName:,Shadow Dagger
Generate ESB ItemName:,Shamshir
Generate ESB ItemName:,Shield Crossbow
Generate ESB ItemName:,Short Bow
Generate ESB ItemName:,Short Spear
Generate ESB ItemName:,Shortsword
Generate ESB ItemName:,Shotel
Generate ESB ItemName:,Shotel
Generate ESB ItemName:,Siluria's Tree
Generate ESB ItemName:,Silver Knight Spear
Generate ESB ItemName:,Silver Knight Straight Sword
Generate ESB ItemName:,Silverblack Sickle
Generate ESB ItemName:,Silverblack Spear
Generate ESB ItemName:,Simon's Bowblade
Generate ESB ItemName:,Smelter Hammer
Generate ESB ItemName:,Smelter Sword
Generate ESB ItemName:,Smough's Great Hammer
Generate ESB ItemName:,Smough's Hammer
Generate ESB ItemName:,Sniper Crossbow
Generate ESB ItemName:,Soldering Iron
Generate ESB ItemName:,Soldier's Crossbow
Generate ESB ItemName:,Sorcerer's Catalyst
Generate ESB ItemName:,Sorcerer's Staff
Generate ESB ItemName:,Sorcerer's Twinblade
Generate ESB ItemName:,Spear
Generate ESB ItemName:,Spider Fang
Generate ESB ItemName:,Spider's Silk
Generate ESB ItemName:,Spiked Caestus
Generate ESB ItemName:,Spiked Club
Generate ESB ItemName:,Spiked Mace
Generate ESB ItemName:,Spiked Spear
Generate ESB ItemName:,Spitfire Spear
Generate ESB ItemName:,Splitleaf Greatsword
Generate ESB ItemName:,Spotted Whip
Generate ESB ItemName:,St. Trina's Torch
Generate ESB ItemName:,Staff of Amana
Generate ESB ItemName:,Staff of Loss
Generate ESB ItemName:,Staff of the Avatar
Generate ESB ItemName:,Staff of the Guilty
Generate ESB ItemName:,Staff of Wisdom
Generate ESB ItemName:,Stake Driver
Generate ESB ItemName:,Star Fist
Generate ESB ItemName:,Starscourge Greatsword
Generate ESB ItemName:,Steel-Wire Torch
Generate ESB ItemName:,Stone Club
