Prompt,Completion,,
Generate ESB ItemName:\nItemName,Bandit's Dagger,,
Generate ESB ItemName:\nItemName,Bandit's Blade,,
Generate ESB ItemName:\nItemName,Banished Knight's Greatsword,,
Generate ESB ItemName:\nItemName,Banished Knight's Halberd,,
Generate ESB ItemName:\nItemName,Barbed Club,,
Generate ESB ItemName:\nItemName,Barbed Straight Sword,,
Generate ESB ItemName:\nItemName,Bastard Sword,,
Generate ESB ItemName:\nItemName,Bastard's Stars,,
Generate ESB ItemName:\nItemName,Bat Staff,,
Generate ESB ItemName:\nItemName,Battle Axe,,
Generate ESB ItemName:\nItemName,Battle Hammer,,
Generate ESB ItemName:\nItemName,Beast Claw,,
Generate ESB ItemName:\nItemName,Beast Cutter,,
Generate ESB ItemName:\nItemName,Beast-Repellent Torch,,
Generate ESB ItemName:\nItemName,Beastclaw Greathammer,,
Generate ESB ItemName:\nItemName,Beasthunter Saif,,
Generate ESB ItemName:\nItemName,Beastman's Curved Sword,,
Generate ESB ItemName:\nItemName,Beatrice's Catalyst,,
Generate ESB ItemName:\nItemName,Bell Keeper Bow,,
Generate ESB ItemName:\nItemName,Berserker Blade,,
Generate ESB ItemName:\nItemName,Bewitched Alonne Sword,,
Generate ESB ItemName:\nItemName,Black Blade,,
Generate ESB ItemName:\nItemName,Black Bow,,
Generate ESB ItemName:\nItemName,Black Bow of Pharis,,
Generate ESB ItemName:\nItemName,Black Bow of Arashava,,
Generate ESB ItemName:\nItemName,Black Dragon Greataxe,,
Generate ESB ItemName:\nItemName,Black Dragon Greatsword,,
Generate ESB ItemName:\nItemName,Black Dragon Sword,,
Generate ESB ItemName:\nItemName,Black Dragon Warpick,,
Generate ESB ItemName:\nItemName,Black Flamestone Dagger,,
Generate ESB ItemName:\nItemName,Black Knife,,
Generate ESB ItemName:\nItemName,Black Knight Glaive,,
Generate ESB ItemName:\nItemName,Black Knight Greataxe,,
Generate ESB ItemName:\nItemName,Black Knight Greatsword,,
Generate ESB ItemName:\nItemName,Black Knight Halberd,,
Generate ESB ItemName:\nItemName,Black Knight Sword,,
Generate ESB ItemName:\nItemName,Black Knight Ultra Greatsword,,
Generate ESB ItemName:\nItemName,Black Scorpion Stinger,,
Generate ESB ItemName:\nItemName,Black Witch's Staff,,
Generate ESB ItemName:\nItemName,Blacksmith Giant Hammer,,
Generate ESB ItemName:\nItemName,Blacksmith Hammer,,
Generate ESB ItemName:\nItemName,Blacksteel Katana,,
Generate ESB ItemName:\nItemName,Blade of Calling,,
Generate ESB ItemName:\nItemName,Blade of Mercy,,
Generate ESB ItemName:\nItemName,Blasphemous Blade,,
Generate ESB ItemName:\nItemName,Bloodhound Claws,,
Generate ESB ItemName:\nItemName,Bloodied Whip,,
Generate ESB ItemName:\nItemName,Bloodletter,,
Generate ESB ItemName:\nItemName,Bloodlust,,
Generate ESB ItemName:\nItemName,Bloodstained Dagger,,
Generate ESB ItemName:\nItemName,Bloody Helice,,
Generate ESB ItemName:\nItemName,Blue Dagger,,
Generate ESB ItemName:\nItemName,Blue Flame,,
Generate ESB ItemName:\nItemName,Blue Knight's Halberd,,
Generate ESB ItemName:\nItemName,Bluemoon Greatsword,,
Generate ESB ItemName:\nItemName,Bolt of Gransax,,
Generate ESB ItemName:\nItemName,Bone Fist,,
Generate ESB ItemName:\nItemName,Bone Scythe,,
Generate ESB ItemName:\nItemName,Bone Staff,,
Generate ESB ItemName:\nItemName,Bound Hand Axe,,
Generate ESB ItemName:\nItemName,Bow of Want,,
Generate ESB ItemName:\nItemName,Brick Hammer,,
Generate ESB ItemName:\nItemName,Brigand Twindaggers,,
Generate ESB ItemName:\nItemName,Broadsword,,
Generate ESB ItemName:\nItemName,Broken Straight Sword,,
Generate ESB ItemName:\nItemName,Broken Longsword,,
Generate ESB ItemName:\nItemName,Broken Thief Sword,,
Generate ESB ItemName:\nItemName,Butcher's Knife,,
Generate ESB ItemName:\nItemName,Butchering Knife,,
Generate ESB ItemName:\nItemName,Caestus,,
Generate ESB ItemName:\nItemName,Caitha's Chime,,
Generate ESB ItemName:\nItemName,Cane Sword,,
Generate ESB ItemName:\nItemName,Canvas Talisman,,
Generate ESB ItemName:\nItemName,Carian Glintblade Staff,,
Generate ESB ItemName:\nItemName,Carian Glintstone Staff,,
Generate ESB ItemName:\nItemName,Carian Knight's Sword,,
Generate ESB ItemName:\nItemName,Carian Regal Scepter,,
Generate ESB ItemName:\nItemName,Carthus Curved Greatsword,,
Generate ESB ItemName:\nItemName,Carthus Curved Sword,,
Generate ESB ItemName:\nItemName,Carthus Shotel,,
Generate ESB ItemName:\nItemName,Cathedral Knight Greatsword,,
Generate ESB ItemName:\nItemName,Celebrant's Cleaver,,
Generate ESB ItemName:\nItemName,Celebrant's Rib-Rake,,
Generate ESB ItemName:\nItemName,Celebrant's Sickle,,
Generate ESB ItemName:\nItemName,Celebrant's Skull,,
Generate ESB ItemName:\nItemName,Chainlink Flail,,
Generate ESB ItemName:\nItemName,Channeler's Trident,,
Generate ESB ItemName:\nItemName,Chaos Blade,,
Generate ESB ItemName:\nItemName,Chaos Rapier,,
Generate ESB ItemName:\nItemName,Chariot Lance,,
Generate ESB ItemName:\nItemName,Charred Loyce Greatsword,,
Generate ESB ItemName:\nItemName,Chikage,,
Generate ESB ItemName:\nItemName,Chime of Scream,,
Generate ESB ItemName:\nItemName,Chime of Want,,
Generate ESB ItemName:\nItemName,Church Pick,,
Generate ESB ItemName:\nItemName,Cinquedea,,
Generate ESB ItemName:\nItemName,Cipher Pata,,
Generate ESB ItemName:\nItemName,Clawmark Seal,,
Generate ESB ItemName:\nItemName,Claws,,
Generate ESB ItemName:\nItemName,Clayman's Harpoon,,
Generate ESB ItemName:\nItemName,Claymore,,
Generate ESB ItemName:\nItemName,Cleanrot Knight's Sword,,
Generate ESB ItemName:\nItemName,Cleanrot Spear,,
Generate ESB ItemName:\nItemName,Cleric's Candlestick,,
Generate ESB ItemName:\nItemName,Cleric's Sacred Chime,,
Generate ESB ItemName:\nItemName,Clinging Bone,,
Generate ESB ItemName:\nItemName,Club,,
Generate ESB ItemName:\nItemName,Coded Sword,,
Generate ESB ItemName:\nItemName,Commander's Standard,,
Generate ESB ItemName:\nItemName,Composite Bow,,
Generate ESB ItemName:\nItemName,Corvian Greatknife,,
Generate ESB ItemName:\nItemName,Court Sorcerer's Staff,,
Generate ESB ItemName:\nItemName,Craftsman's Hammer,,
Generate ESB ItemName:\nItemName,Cranial Vessel Candlestand,,
Generate ESB ItemName:\nItemName,Crepus's Black-Key Crossbow,,
Generate ESB ItemName:\nItemName,Crescent Axe,,
Generate ESB ItemName:\nItemName,Crescent Greataxe,,
Generate ESB ItemName:\nItemName,Crescent Moon Axe,,
Generate ESB ItemName:\nItemName,Crescent Moon Sword,,
Generate ESB ItemName:\nItemName,Crescent Sickle,,
Generate ESB ItemName:\nItemName,Cross-Naginata,,
Generate ESB ItemName:\nItemName,Crow Quills,,
Generate ESB ItemName:\nItemName,Crow Talons,,
Generate ESB ItemName:\nItemName,Crucifix of the Mad King,,
Generate ESB ItemName:\nItemName,Crystal Chime,,
Generate ESB ItemName:\nItemName,Crystal Greatsword,,
Generate ESB ItemName:\nItemName,Crystal Knife,,
Generate ESB ItemName:\nItemName,Crystal Sage's Rapier,,
Generate ESB ItemName:\nItemName,Crystal Spear,,
Generate ESB ItemName:\nItemName,Crystal Staff,,
Generate ESB ItemName:\nItemName,Crystal Straight Sword,,
Generate ESB ItemName:\nItemName,Crystal Sword,,
Generate ESB ItemName:\nItemName,Curved Club,,
Generate ESB ItemName:\nItemName,Curved Dragon Greatsword,,
Generate ESB ItemName:\nItemName,Curved Great Club,,
Generate ESB ItemName:\nItemName,Curved Nil Greatsword,,
Generate ESB ItemName:\nItemName,Curved Twinblade,,
Generate ESB ItemName:\nItemName,Dagger,,
Generate ESB ItemName:\nItemName,Dancer's Enchanted Swords,,
Generate ESB ItemName:\nItemName,Dark Hand,,
Generate ESB ItemName:\nItemName,Dark Moon Greatsword,,
Generate ESB ItemName:\nItemName,Dark Silver Tracer,,
Generate ESB ItemName:\nItemName,Dark Sword,,
Generate ESB ItemName:\nItemName,Darkdrift,,
Generate ESB ItemName:\nItemName,Darkmoon Bow,,
Generate ESB ItemName:\nItemName,Darkmoon Longbow,,
Generate ESB ItemName:\nItemName,Darkmoon talisman,,
Generate ESB ItemName:\nItemName,Darksword,,
Generate ESB ItemName:\nItemName,Death Ritual Spear,,
Generate ESB ItemName:\nItemName,Death's Poker,,
Generate ESB ItemName:\nItemName,Defender Greatsword,,
Generate ESB ItemName:\nItemName,Demi-Human Queen's Staff,,
Generate ESB ItemName:\nItemName,Demon Great Machete,,
Generate ESB ItemName:\nItemName,Demon's Catalyst,,
Generate ESB ItemName:\nItemName,Demon's Fist,,
Generate ESB ItemName:\nItemName,Demon's Great Hammer,,
Generate ESB ItemName:\nItemName,Demon's Greataxe,,
Generate ESB ItemName:\nItemName,Demon's Scar,,
Generate ESB ItemName:\nItemName,Demon's Spear,,
Generate ESB ItemName:\nItemName,Devourer's Scepter,,
Generate ESB ItemName:\nItemName,Digger's Staff,,
Generate ESB ItemName:\nItemName,Disc Chime,,
Generate ESB ItemName:\nItemName,Dragon Bone Fist,,
Generate ESB ItemName:\nItemName,Dragon Chime,,
Generate ESB ItemName:\nItemName,Dragon Communion Seal,,
Generate ESB ItemName:\nItemName,Dragon Greatclaw,,
Generate ESB ItemName:\nItemName,Dragon Greatsword,,
Generate ESB ItemName:\nItemName,Dragon Halberd,,
Generate ESB ItemName:\nItemName,Dragon King Greataxe,,
Generate ESB ItemName:\nItemName,Dragon King's Cragblade,,
Generate ESB ItemName:\nItemName,Dragon Tooth,,
Generate ESB ItemName:\nItemName,Fake Dragon Tooth,,
Generate ESB ItemName:\nItemName,Dragonrider Bow,,
Generate ESB ItemName:\nItemName,Dragonrider Longbow,,
Generate ESB ItemName:\nItemName,Dragonrider Twinblade,,
Generate ESB ItemName:\nItemName,Dragonrider's Halberd,,
Generate ESB ItemName:\nItemName,Dragonscale Blade,,
Generate ESB ItemName:\nItemName,Dragonslayer Greataxe,,
Generate ESB ItemName:\nItemName,Dragonslayer Greatbow,,
Generate ESB ItemName:\nItemName,Dragonslayer Spear,,
Generate ESB ItemName:\nItemName,Dragonslayer Glaive,,
Generate ESB ItemName:\nItemName,Dragonslayer Greatspear,,
Generate ESB ItemName:\nItemName,Dragonslayer Swordspear,,
Generate ESB ItemName:\nItemName,Dragonslayer's Axe,,
Generate ESB ItemName:\nItemName,Dragonslayer's Crescent Axe,,
Generate ESB ItemName:\nItemName,Drake Sword,,
Generate ESB ItemName:\nItemName,Drakeblood Greatsword,,
Generate ESB ItemName:\nItemName,Drakekeeper's Great Hammer,,
Generate ESB ItemName:\nItemName,Drakekeeper's Greataxe,,
Generate ESB ItemName:\nItemName,Drakekeeper's Sword,,
Generate ESB ItemName:\nItemName,Drakekeeper's Ultra Greatsword,,
Generate ESB ItemName:\nItemName,Drakekeeper's Warpick,,
Generate ESB ItemName:\nItemName,Drakewing Ultra Greatsword,,
Generate ESB ItemName:\nItemName,Drang Hammers,,
Generate ESB ItemName:\nItemName,Drang Twinspears,,
Generate ESB ItemName:\nItemName,Drangleic Sword,,
Generate ESB ItemName:\nItemName,Duelist Greataxe,,
Generate ESB ItemName:\nItemName,Earth Seeker,,
Generate ESB ItemName:\nItemName,Eclipse Shotel,,
Generate ESB ItemName:\nItemName,Elder Flame,,
Generate ESB ItemName:\nItemName,Eleonora,,
Generate ESB ItemName:\nItemName,Eleonora's Poleblade,,
Generate ESB ItemName:\nItemName,Eleum Loyce,,
Generate ESB ItemName:\nItemName,Envoy's Greathorn,,
Generate ESB ItemName:\nItemName,Envoy's Horn,,
Generate ESB ItemName:\nItemName,Envoy's Long Horn,,
Generate ESB ItemName:\nItemName,Erdsteel Dagger,,
Generate ESB ItemName:\nItemName,Erdtree Bow,,
Generate ESB ItemName:\nItemName,Erdtree Greatbow,,
Generate ESB ItemName:\nItemName,Erdtree Seal,,
Generate ESB ItemName:\nItemName,Espada Ropera,,
Generate ESB ItemName:\nItemName,Estoc,,
Generate ESB ItemName:\nItemName,Executioner's Greataxe,,
Generate ESB ItemName:\nItemName,Executioner's Greatsword,,
Generate ESB ItemName:\nItemName,Exile Greatsword,,
Generate ESB ItemName:\nItemName,Falchion,,
Generate ESB ItemName:\nItemName,Great Falchion,,
Generate ESB ItemName:\nItemName,Fallingstar Beast Jaw,,
Generate ESB ItemName:\nItemName,Family Heads,,
Generate ESB ItemName:\nItemName,Farron Greatsword,,
Generate ESB ItemName:\nItemName,Finger Seal,,
Generate ESB ItemName:\nItemName,Firelink Greatsword,,
Generate ESB ItemName:\nItemName,Flail,,
Generate ESB ItemName:\nItemName,Flamberge,,
Generate ESB ItemName:\nItemName,Redmane Flamberge,,
Generate ESB ItemName:\nItemName,Flowing Curved Sword,,
Generate ESB ItemName:\nItemName,Follower Javelin,,
Generate ESB ItemName:\nItemName,Follower Sabre,,
Generate ESB ItemName:\nItemName,Foot Soldier Sword,,
Generate ESB ItemName:\nItemName,Forked Greatsword,,
Generate ESB ItemName:\nItemName,Forked Hatchet,,
Generate ESB ItemName:\nItemName,Four-Pronged Plow,,
Generate ESB ItemName:\nItemName,Frayed Blade,,
Generate ESB ItemName:\nItemName,Frenzied Flame Seal,,
Generate ESB ItemName:\nItemName,Friede's Great Scythe,,
Generate ESB ItemName:\nItemName,Frozen Needle,,
Generate ESB ItemName:\nItemName,Full Moon Crossbow,,
Generate ESB ItemName:\nItemName,Full Moon Sickle,,
Generate ESB ItemName:\nItemName,Fume Sword,,
Generate ESB ItemName:\nItemName,Fume Ultra Greatsword,,
Generate ESB ItemName:\nItemName,Gael's Greatsword,,
Generate ESB ItemName:\nItemName,Gargoyle Bident,,
Generate ESB ItemName:\nItemName,Gargoyle Flame Hammer,,
Generate ESB ItemName:\nItemName,Gargoyle Flame Spear,,
Generate ESB ItemName:\nItemName,Gargoyle Tail Axe,,
Generate ESB ItemName:\nItemName,Gargoyle's Black Axe,,
Generate ESB ItemName:\nItemName,Gargoyle's Black Halberd,,
Generate ESB ItemName:\nItemName,Gargoyle's Blackblade,,
Generate ESB ItemName:\nItemName,Gargoyle's Great Axe,,
Generate ESB ItemName:\nItemName,Gargoyle's Greatsword,,
Generate ESB ItemName:\nItemName,Gargoyle's Halberd,,
Generate ESB ItemName:\nItemName,Gargoyle's Twinblade,,
Generate ESB ItemName:\nItemName,Gelmir Glintstone Staff,,
Generate ESB ItemName:\nItemName,Ghiza's Wheel,,
Generate ESB ItemName:\nItemName,Ghost Blade,,
Generate ESB ItemName:\nItemName,Ghostflame Torch,,
Generate ESB ItemName:\nItemName,Giant Stone Axe,,
Generate ESB ItemName:\nItemName,Giant Warrior Club,,
Generate ESB ItemName:\nItemName,Giant-Crusher,,
Generate ESB ItemName:\nItemName,Giant's Halberd,,
Generate ESB ItemName:\nItemName,Giant's Red Braid,,
Generate ESB ItemName:\nItemName,Giant's Seal,,
Generate ESB ItemName:\nItemName,Glaive,,
Generate ESB ItemName:\nItemName,Glintstone Kris,,
Generate ESB ItemName:\nItemName,Glintstone Staff,,
Generate ESB ItemName:\nItemName,Godskin Peeler,,
Generate ESB ItemName:\nItemName,Godskin Stitcher,,
Generate ESB ItemName:\nItemName,Godslayer's Greatsword,,
Generate ESB ItemName:\nItemName,Godslayer's Seal,,
Generate ESB ItemName:\nItemName,Gold Tracer,,
Generate ESB ItemName:\nItemName,Golden Epitaph,,
Generate ESB ItemName:\nItemName,Golden Halberd,,
Generate ESB ItemName:\nItemName,Golden Order Greatsword,,
Generate ESB ItemName:\nItemName,Golden Order Seal,,
Generate ESB ItemName:\nItemName,Golden Ritual Spear,,
Generate ESB ItemName:\nItemName,Golem Axe,,
Generate ESB ItemName:\nItemName,Golem Greatbow,,
Generate ESB ItemName:\nItemName,Golem's Halberd,,
Generate ESB ItemName:\nItemName,Gotthard Twinswords,,
Generate ESB ItemName:\nItemName,Gough's Greatbow,,
Generate ESB ItemName:\nItemName,Grafted Blade Greatsword,,
Generate ESB ItemName:\nItemName,Grafted Dragon,,
Generate ESB ItemName:\nItemName,Grand Lance,,
Generate ESB ItemName:\nItemName,Grant,,
Generate ESB ItemName:\nItemName,Grave Scythe,,
Generate ESB ItemName:\nItemName,Gravel Stone Seal,,
Generate ESB ItemName:\nItemName,Gravelord Sword,,
Generate ESB ItemName:\nItemName,Great Club,,
Generate ESB ItemName:\nItemName,Great Corvian Scythe,,
Generate ESB ItemName:\nItemName,Great Épée,,
Generate ESB ItemName:\nItemName,Great Knife,,
Generate ESB ItemName:\nItemName,Great Lord Greatsword,,
Generate ESB ItemName:\nItemName,Great Mace,,
Generate ESB ItemName:\nItemName,Great Machete,,
Generate ESB ItemName:\nItemName,Great Omenkiller Cleaver,,
Generate ESB ItemName:\nItemName,Great Scythe,,
Generate ESB ItemName:\nItemName,Great Stars,,
Generate ESB ItemName:\nItemName,Great Wooden Hammer,,
Generate ESB ItemName:\nItemName,Greataxe,,
Generate ESB ItemName:\nItemName,Greathorn Hammer,,
Generate ESB ItemName:\nItemName,Greatlance,,
Generate ESB ItemName:\nItemName,Ultra Greatsword,,
Generate ESB ItemName:\nItemName,Greatsword,,
Generate ESB ItemName:\nItemName,Greatsword of Artorias,,
Generate ESB ItemName:\nItemName,Greatsword of Artorias (Cursed),,
Generate ESB ItemName:\nItemName,Greatsword of the Forlorn,,
Generate ESB ItemName:\nItemName,Grossmesser,,
Generate ESB ItemName:\nItemName,Guardian Tail,,
Generate ESB ItemName:\nItemName,Gundyr's Halberd,,
Generate ESB ItemName:\nItemName,Gyrm Axe,,
Generate ESB ItemName:\nItemName,Gyrm Great Hammer,,
Generate ESB ItemName:\nItemName,Gyrm Greataxe,,
Generate ESB ItemName:\nItemName,Halberd,,
Generate ESB ItemName:\nItemName,Halo Scythe,,
Generate ESB ItemName:\nItemName,Hammer,,
Generate ESB ItemName:\nItemName,Hammer of Vamos,,
Generate ESB ItemName:\nItemName,Hand Axe,,
Generate ESB ItemName:\nItemName,Hand of Malenia,,
Generate ESB ItemName:\nItemName,Handmaid's Dagger,,
Generate ESB ItemName:\nItemName,Handmaid's Ladle,,
Generate ESB ItemName:\nItemName,Harald Curved Greatsword,,
Generate ESB ItemName:\nItemName,Harp Bow,,
Generate ESB ItemName:\nItemName,Harpe,,
Generate ESB ItemName:\nItemName,Heavy Crossbow,,
Generate ESB ItemName:\nItemName,Heide Greatlance,,
Generate ESB ItemName:\nItemName,Heide Knight Sword,,
Generate ESB ItemName:\nItemName,Heidi Lance,,
Generate ESB ItemName:\nItemName,Helix Halberd,,
Generate ESB ItemName:\nItemName,Helphen's Steeple,,
Generate ESB ItemName:\nItemName,Heretic's Staff,,
Generate ESB ItemName:\nItemName,Heysel Pick,,
Generate ESB ItemName:\nItemName,Highland Axe,,
Generate ESB ItemName:\nItemName,Hollowslayer Greatsword,,
Generate ESB ItemName:\nItemName,Holy Moonlight Sword,,
Generate ESB ItemName:\nItemName,Homunculus Mace,,
Generate ESB ItemName:\nItemName,Hookclaws,,
Generate ESB ItemName:\nItemName,Horn Bow,,
Generate ESB ItemName:\nItemName,Hoslow's Petal Whip,,
Generate ESB ItemName:\nItemName,Hunter Axe,,
Generate ESB ItemName:\nItemName,Hunter's Blackbow,,
Generate ESB ItemName:\nItemName,Iaito,,
Generate ESB ItemName:\nItemName,Ice Rapier,,
Generate ESB ItemName:\nItemName,Icerind Hatchet,,
Generate ESB ItemName:\nItemName,Idol's Chime,,
Generate ESB ItemName:\nItemName,Immolation Tinder,,
Generate ESB ItemName:\nItemName,Infantry Axe,,
Generate ESB ItemName:\nItemName,Inquisitor's Girandole,,
Generate ESB ItemName:\nItemName,Inseparable Sword,,
Generate ESB ItemName:\nItemName,Irithyll Rapier,,
Generate ESB ItemName:\nItemName,Irithyll Straight Sword,,
Generate ESB ItemName:\nItemName,Iron Ball,,
Generate ESB ItemName:\nItemName,Iron Cleaver,,
Generate ESB ItemName:\nItemName,Iron Greatsword,,
Generate ESB ItemName:\nItemName,Iron King Hammer,,
Generate ESB ItemName:\nItemName,Iron Spear,,
Generate ESB ItemName:\nItemName,Ivory King Ultra Greatsword,,
Generate ESB ItemName:\nItemName,Ivory Sickle,,
Generate ESB ItemName:\nItemName,Ivory Straight Sword,,
Generate ESB ItemName:\nItemName,Ivory Talisman,,
Generate ESB ItemName:\nItemName,Izalith Catalyst,,
Generate ESB ItemName:\nItemName,Jagged Ghost Blade,,
Generate ESB ItemName:\nItemName,Jawbone Axe,,
Generate ESB ItemName:\nItemName,Katar,,
Generate ESB ItemName:\nItemName,Key to the Embedded,,
Generate ESB ItemName:\nItemName,King's Ultra Greatsword,,
Generate ESB ItemName:\nItemName,Kirkhammer,,
Generate ESB ItemName:\nItemName,Knight's Crossbow,,
Generate ESB ItemName:\nItemName,Knight's Greatsword,,
Generate ESB ItemName:\nItemName,Kos Parasite,,
Generate ESB ItemName:\nItemName,Large Club,,
Generate ESB ItemName:\nItemName,Lazuli Glintstone Sword,,
Generate ESB ItemName:\nItemName,Ledo's Great Hammer,,
Generate ESB ItemName:\nItemName,Lifehunt Scythe,,
Generate ESB ItemName:\nItemName,Light Crossbow,,
Generate ESB ItemName:\nItemName,Lion Greataxe,,
Generate ESB ItemName:\nItemName,Lion Greatbow,,
Generate ESB ItemName:\nItemName,Lizard Staff,,
Generate ESB ItemName:\nItemName,Logan's Catalyst,,
Generate ESB ItemName:\nItemName,Logarius' Wheel,,
Generate ESB ItemName:\nItemName,Long Bow,,
Generate ESB ItemName:\nItemName,Longbow,,
Generate ESB ItemName:\nItemName,Longhaft Axe,,
Generate ESB ItemName:\nItemName,Longsword,,
Generate ESB ItemName:\nItemName,Lordsworn's Greatsword,,
Generate ESB ItemName:\nItemName,Lordsworn's Straight Sword,,
Generate ESB ItemName:\nItemName,Loretta's War Sickle,,
Generate ESB ItemName:\nItemName,Lorian's Greatsword,,
Generate ESB ItemName:\nItemName,Lost Sinner's Sword,,
Generate ESB ItemName:\nItemName,Lothric Knight Greatsword,,
Generate ESB ItemName:\nItemName,Lothric Knight Long Spear,,
Generate ESB ItemName:\nItemName,Lothric Knight Sword,,
Generate ESB ItemName:\nItemName,Lothric War Banner,,
Generate ESB ItemName:\nItemName,Lothric's Holy Sword,,
Generate ESB ItemName:\nItemName,Lucerne,,
Generate ESB ItemName:\nItemName,Ludwig's Holy Blade,,
Generate ESB ItemName:\nItemName,Lusat's Glintstone Staff,,
Generate ESB ItemName:\nItemName,Mace,,
Generate ESB ItemName:\nItemName,Mace of the Insolent,,
Generate ESB ItemName:\nItemName,Magma Blade,,
Generate ESB ItemName:\nItemName,Magma Whip Candlestick,,
Generate ESB ItemName:\nItemName,Mail Breaker,,
Generate ESB ItemName:\nItemName,Majestic Greatsword,,
Generate ESB ItemName:\nItemName,Malformed Claws,,
Generate ESB ItemName:\nItemName,Malformed Shell,,
Generate ESB ItemName:\nItemName,Maliketh's Black Blade,,
Generate ESB ItemName:\nItemName,Man Serpent Hatchet,,
Generate ESB ItemName:\nItemName,Man-Grub's Staff,,
Generate ESB ItemName:\nItemName,Man-Serpent greatsword,,
Generate ESB ItemName:\nItemName,Manikin Claws,,
Generate ESB ItemName:\nItemName,Manikin Knife,,
Generate ESB ItemName:\nItemName,Manikin Sabre,,
Generate ESB ItemName:\nItemName,Manslayer,,
Generate ESB ItemName:\nItemName,Mantis Blade,,
Generate ESB ItemName:\nItemName,Manus Catalyst,,
Generate ESB ItemName:\nItemName,Marais Executioner's Sword,,
Generate ESB ItemName:\nItemName,Marika's Hammer,,
Generate ESB ItemName:\nItemName,Mastodon Greatsword,,
Generate ESB ItemName:\nItemName,Mastodon Halberd,,
Generate ESB ItemName:\nItemName,Melu Scimitar,,
Generate ESB ItemName:\nItemName,Mendicant's Staff,,
Generate ESB ItemName:\nItemName,Metal hammer of Andre of Astora,,
Generate ESB ItemName:\nItemName,Meteoric Ore Blade,,
Generate ESB ItemName:\nItemName,Meteorite Staff,,
Generate ESB ItemName:\nItemName,Millwood Battle Axe,,
Generate ESB ItemName:\nItemName,Millwood Greatbow,,
Generate ESB ItemName:\nItemName,Miquellan Knight's Sword,,
Generate ESB ItemName:\nItemName,Mirrah Greatsword,,
Generate ESB ItemName:\nItemName,Misbegotten Shortbow,,
Generate ESB ItemName:\nItemName,Miséricorde,,
Generate ESB ItemName:\nItemName,Mohgwyn's Sacred Spear,,
Generate ESB ItemName:\nItemName,Monastery Scimitar,,
Generate ESB ItemName:\nItemName,Monk's Flamemace,,
Generate ESB ItemName:\nItemName,Moonlight Butterfly Horn,,
Generate ESB ItemName:\nItemName,Moonlight Greatsword,,
Generate ESB ItemName:\nItemName,Moonveil,,
Generate ESB ItemName:\nItemName,Morne's Great Hammer,,
Generate ESB ItemName:\nItemName,Morning Star,,
Generate ESB ItemName:\nItemName,Murakumo,,
Generate ESB ItemName:\nItemName,Murky Hand Scythe,,
Generate ESB ItemName:\nItemName,Murky Longstaff,,
Generate ESB ItemName:\nItemName,Mytha's Bent Blade,,
Generate ESB ItemName:\nItemName,Nagakiba,,
Generate ESB ItemName:\nItemName,Nightrider Flail,,
Generate ESB ItemName:\nItemName,Nightrider Glaive,,
Generate ESB ItemName:\nItemName,Noble's Estoc,,
Generate ESB ItemName:\nItemName,Noble's Slender Sword,,
Generate ESB ItemName:\nItemName,Notched Whip,,
Generate ESB ItemName:\nItemName,Nox Flowing Hammer,,
Generate ESB ItemName:\nItemName,Nox Flowing Sword,,
Generate ESB ItemName:\nItemName,Obsidian Greatsword,,
Generate ESB ItemName:\nItemName,Old King's Great Hammer,,
Generate ESB ItemName:\nItemName,Old Knight Greatsword,,
Generate ESB ItemName:\nItemName,Old Knight Hammer,,
