Status:,"Needed: Elden RingBloodborne, DS!, DS2,DS3"
The Ivory Tower,"In the Ivory Tower, prisoners hung in cages, their flesh patched together to create fleshy monstrosities. It was the doing of Latria's new master, an old man who had long ceased to be human, seeking to create demons by his own hand."
Mohgwyn Palace,"In the lightless depths lies the grave of an ancient civilization. It is here Mohg, the Lord of Blood, is building his palace, to be the seat of his coming dynasty named Mohgwyn. And whatever nightmares that may bring."
Inner Ward,"Inside Boletaria's gates, where the streets intertwine, lie traps set by the much reviled fat officals, themselves living proof of Old King Allant's madness"
Wailing Dunes,It is the battleground where the inconclusive battle between General Radahn and Malenia took place during the Shattering
Kiln of the first flame,"Kiln of the First Flame is a small, but well-preserved ruins located deep within the Cave of Knowledge. The stale-smelling atmosphere is reminiscent of an old furnace, if such a thing still exists"
Prison of Hope,"Latria, land of the Queen's Ivory Tower.
A vengeful old man claimed the Queen's life, and imprisoned any remaining royalty. The prison echoes with the resentful cries of its inmates, tormented by their inhuman guards."
"Dominula, Windmill Villag","Located in northern Altus Plateau, many have heard ominous laughter from the locals, who dance as a part of their festival."
Swamp of Aeonia,"Nestled in the center of the Caelid region, this area has been reduced to a festering pool of scarlet rot."
New Londo,New Londo is the capital of the demon-infested kingdom of Endara. The city is shrouded in darkness and filled with horrors.
The Lord's Path,"Past the huge gates of Boletarian Palace lies what is now a feeding ground for dragons, the Cliff Pathway, which leads to the inner ward, where knights make their abode."
The Monolith Forest,"Perhaps this demon, a flying beast resembling a gigantic stingray, is a manifestation of the thoughts and feelings of the Shadowmen who worshiped it centuries ago."
Sage's Cave,"Sage's Cave is a dark opening in the side of a mountain. Its dark depths are overrun by hostile undead, but those who brave it may find treasures beyond compare."
Sanctuary Garden,Sanctuary Garden is a secluded and idyllic garden located within the Garden of Hope. The few who reside here are devoted to peace and harmony.
Stormhill,"Stormhill is a stormy region with unrelenting north winds, its inclement weather keeping most settlements at bay, and allowing for the proliferation of wildlife and other, sturdier creatures. Its tall cliffs are favored by Eagles, but boars and wolves also roam. Since the breaking, spectral Spirit Jellyfish guard the graves on the upper cliffs."
Stranded Graveyard,Stranded Graveyard is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within.
The Ritual Path,"The Adjudicator bestows tokens of heroism upon the deserving dead, who are delivered by Shadowmen to the depths of the Shrine of Storms, where they are cleansed by brightwater and mourned by the storm."
Chapel of Anticipation,"The area where the start of a great adventure takes place, but not before getting ambushed by a difficult enemy"
Bestial Sanctum,"The Beastial Sanctum is a refuge for Beast Clergyman, who feeds on Deathroot. Offer him any in your possession, and he will grant you the strength of beasts."
Roundtable Hold,"The bustling hub area that exists outside of the Lands Between.
A place to mingle with other adventurerers, craftsmen, resupply and discover a trove of blessings and rooms of secrets."
Vinheim,The capital of the Vinheim Duchy and the biggest city in the region. It's a bustling metropolis with a rich history.
The Catacombs,The Catacombs are a series of dark and treacherous tunnels that wind their way through the heart of Lost Izalith. Few have dared to venture into their depths and even fewer have returned.
Chasm of the Abyss,"The Chasm of the Abyss is a dangerous abyss that extends deep below the surface of the earth. It is home to a variety of dangerous creatures, including the fearsome lava dragons."
Church of Pilgrimage,The Church of Pilgrimage is a broken building situated at the top of the cliff in the north of the Weeping Peninsula. Even with the walls and roof destroyed pilgrims still make the journey to visit this church.
Anor Londo,The city of the gods.
Depths,"The deepest reaches of the Tunnels, where only the bravest (or most foolhardy) dare to tread. Here, it is said, lies a great treasure - but also a great danger."
Demon Ruins,The Demon Hold Ruins are the remains of an ancient civilization that was destroyed by demons. The area is now inhabited by bandits and demons.
Quelaag's Domain,"The Domain of the Chaos Witch, Quelaag. It is said that her sister was born miserable, and that Quelaag took her own life to save her."
Grand Cloister,The Grand Cloister at the Lake of Rot.
The Great Hollow,The Great Hollow is a bottomless pit that is said to lead to the Underworld. It is found in the Cave of Knowledge.
The Great Swamp,"The Great Swamp is a dark and humid location filled with murky waters and overgrown vegetation. The creatures that dwell here are few and far between, and they are often picking at the remains of what once was."
Altar of Storms,"The heroes' remains were cleansed with brightwater and offered to the Storm King, a beacon for countless storm beasts whose broad wings blacken the sky."
Mistwood,The Howling of a wolf can be heard around these parts.
Impaler's Catacombs,"The Impaler's Catacombs are found in the east side of the Weeping Peninsula. Once used to store the bodies of the dead, it is now crawling with Imps. "
Island's Edge,"The island shrine of the Shadowmen, who worshiped storms and mourned the dead. Since the appearance of the flying storm beasts, the souls of the dead have been lured to the island by its demons, where they are revived by finding purchase in the bosoms of uninhabited skeletons."
The King's Tower ,"The King's Tower, once a symbol of Boletaria, stands ravaged by the claw marks of drakes, while silver-haired Old King Allant sits on his crumbling throne, witness to the desolation."
Throne of the False King,"The man who wielded untold power, calmly watching over the kingdom from on high, was not in fact Old King Allant, but a demonic imposter who stood in his place. The true king dwells with the Old One..."
New Londo Ruins,"The New Londo Ruins are a series of ruined villages located in the middle of the city of Londo. They are seen as old and decrepit by the players, and often abandoned due to the city's modernppings."
Fort Haight,"The overrun fort of Kenneth Haith, the alleged next ruler of Limgrave."
Perfumer's Grotto,"The perfumers of the Altus Plateau tend for their gardens, even when they are blighted beyond recovery"
Royal Wood,The Royal Wood is a sprawling and ancient forest that stretches for miles across the kingdom of Ardania. It is said that the trees here are older than the kingdom itself.
Tombsward Ruins,"The ruins of a former burial ground. Next to nothing remains here, yet squires still roam the dark tunnels beneath. Perhaps protecting the graves of their former noble masters..."
Rose Church,"The ruins of a former church aptly named Rose Church, for its walls are now festering with scarlet rot and overgrown with bloodroses."
"Nokstella, Eternal City","The ruins of a once grand city, now infested with enemies."
Street of Sages Ruins,"The sages of Caelid are no more, and their former district is now the dwelling of perfumers and their poisonous flowers"
Forlorn Hound Evergaol,"The southern gaol of Limgrave holds a lone knight, who had abandoned his master, now forced to rot inside his cell."
Stormgate,The Stormgate is a heavily guarded area that marks the border within Limgrave and Stormhill. Only the foolhardy would rush such against such odds
Academy Gate Town,The sunken remains of the academy town
Shrine of the Dragon God,"The underground shrine was constructed both to worship and imprison the Dragon God. The miners' ancestors were inspired to faith by the great dragon bones, and paid their respects by maintaining the shrine with great care."
Subterranean Shunning-Ground,"The unseen underground of the Royal Capital, where the forsaken Omen were sent to rot in obscurity."
The Valley of the Drakes,"The Valley of the Drakes is a secluded and Engrossing caves located within the Mountain Range. The trails leading down into the caves are long and winding, and are often used by dangerous creatures and treasure hunters alike."
Firelink Shrine,"This ancient and crumbling shrine is used as a gathering hub and safe haven for many trainers, merchants and other story related characters. This central bonfire will be visited often, since it is also a crossroads for many regions and shortcuts."
The Ruins of the Old Temple,"This ancient temple is now a crumbling ruin, left to the elements and the wildlife that has taken up residence within its crumbling walls. The site is said to be haunted by the ghosts of the priests who once worshipped here."
Depraved Chasm ,"This humid valley is a haven for the used and forgotten. Its inhabitants, afflicted by poison and plague, await their deaths in this forsaken place, attacking those who wander in, hoping to offer their souls to the one woman who showed them compassion."
Crystal Cave,This is the home of the Dark Crystal. A powerful and evil artifact that was used in the war between the elves and the humans.
Walking Mausoleum,"To stop the mausoleum's stride, you'll need to clean up around its feet first"
Ainsel River ,"Two great rivers flow beneath the Lands between, the Siofra and the Ainsel. This vast region is said to be the grave of civilizations that flourished before the Erdtree."
Waypoint Ruins,"Waypoint Ruins consists of a group of broken buildings and abandoned campsites, now overrun with Miranda sprouts and their crazed caretaker."
Woodfolk Ruins,"Woodfolk Ruins, guarded by Limgrave's creatures, can be found near the Minor Erdtree within Altus Plateau."
,
,
Church of Yorshka,
Kiln of the First Flame,
"The Dreg Heap",
Painted World of Ariandel,
Kiln of the First Flame,
Grand Archives,
Archdragon Peak,
Consumed King's Garden,
Lothric Castle,
Irithyll Dungeon,
Profaned Capital,
Catacombs of Carthus,
Smouldering Lake,
Cathedral of the Deep,
Road of Sacrifices,
Undead Settlement,
Firelink Shrine,
High Wall of Lothric,
Cemetery of Ash,
The Ringed City,
Lothric Castle,
Irithyll of the Boreal Valley,
Farron Keep,
Roundtable Heap,
The Underground Wall,
Vammar's Dark Belfry,
Orro's Castle,
The Wailing Graves,
Huntsman's Catacombs of Blue,
Dragon's Tunnel,
Deeproot Church,
Tseldora Doors,
The Duke's Crystal Stormcove,
Sinner's Cave,
Old Hunters Woods,
The Throne Room,
Anor Lak,
Forlorn Chasm,
Upper Boletaria,
The Palace of Sorrow,
Redmane Passage,
The Island's Cathedral,
Ashen Road,
Lost City,
Southern Noxtella Depths,
Deeproot Snowfield,
Deeproot Dunes,
High Basin,
Forsaken Haligtree of Saints,
Fortress of Jeigh,
Forsaken Catacombs,
The Crypt,
Old Cave Altus,
Hunter's Ivory Altar,
The Dragon Wharf,
The Moonlight Woods,
Pharros's Shrine,
Outer Hill,
Nokron,
Brightstone Archives,
Hunter's Ruin-Strewn Keep,
Crystal Throne,
Iron Hill,
The Weeping Grounds,
Yorshka's Hollow,
The Rotting Cathedral,
The Swamp of Drakes,
Ariandel's Palace,
The Road,
Stormhill Crypt,
Wailing Wood of Ariandel,
Royal Rise,
Upper Carthus,
Greyoll's Subterranean Throne,
Drangleic Passage,
The Eastern Graves,
The Nexus,
Brume Mountaintops,
Forbidden Ward of Orro,
Ivory City,
Upper Farron,
Blightlake,
The Old Tower,
Shaded Forest,
Forlorn Lands,
Frigid Valley,
Mt. Gelmir Chapel,
The Depraved Graves,
The Eastern Altar,
Lost Dominula Egress,
Hamlet of Greyoll,
The Shrine,
Profaned Clinic of the Deep,
Hunter's Castle,
Catacombs of the Boreal Valley,
Northern Eleum Loyce Woods,
The Lost Bastille,
Brume Tower,
Doors of Pharros,
Drangleic Castle,
Majula,
