Item Name,Item Description,Story
Alonne Captain Armor,"The accoutrements of the Alonne Knights, who served the Old Iron King, were created with an advanced crafting technique. They remain solid and handsomely crafted. The design is styled after the armor worn by an unusual knight who trained the Iron King's men in the sword. He was said to have deserted his liege after bearing witness to his descent into depravity","The accoutrements of the Alonne Knights, who served the Old Iron King, were created with an advanced crafting technique. They remain solid and handsomely crafted, even after centuries of use. One day, a new knight arrives at the castle, bearing the armor and sword of the Alonne Knight. He claims to have deserted his liege after bearing witness to his descent into depravity. The new knight is an oddity, and his armor and sword are unlike any other in"
Alonne Greatbow,"Unique bow equipped by Alonne Knights. Most of them were charlatans, but among the riff-raff was an unusual knight from the far east. He trained the Iron King's men in the sword, in obeisance to his new lord.","The bow was a beautiful weapon, made of sturdy wood with a golden bowstring. It was a gift from the Alonne Knights to the Iron King, and it was the only thing that could bring down the dragon that guarded the entrance to the castle. The knight who gave it to the king was an unusual knight from the far east. He had traveled to the kingdom to learn the art of swordsmanship, in obedience to his new lord."
Alva Armor,"Light but offer very high defense. Alva crossed many a land in search of a cure for Saint Serreta's sickness, but failed and relinquished his knighthood. Alva was once wracked with guilt and remorse, but rediscovered his purpose in life with the aid of the witch who once plotted against him","Alva is a knight who has lost his way. He's traveled the world in search of a cure for Saint Serreta's sickness, but he's failed. One day, he meets a witch who tells him that he can find his purpose again if he relinquishes his knighthood. Alva decides to do this, and he becomes a wanderer."
Alva Armor,"Protection of Alva, seeker of the spurned. This armor was trimmed to reduce weight. To this day, troubadours sing of tales of the Wandering knight Alva and his travels, and of his involvement with the saint and the witch. Needless to say, the songs traditionally end in tragedy.","Alva was a wandering knight who was known for his bravery and his love of music. One day, he met a saint and a witch who were in a dispute. The saint wanted to protect the witch, but the witch wanted to be left alone. Alva sided with the witch, and as a result, he was killed. But his songs live on, and are still sung today."
Amber Herb,"An annual herb with an amber color so deep, it gives the impression of luminescence. Restores a small number of uses. It is the mistaken belief of many that the flowers of this herb do not blossom. However, small white flowers do blossom during dusk when the moon is visible.","The flowers of the herb with an amber color are so deep in color that it gives the impression of luminescence. The herb is said to restore a small number of uses, and the small white flowers blossom during dusk when the moon is visible."
Amygdalan Arm,"The arm of a small Amygdala Great One. Strictly speaking, the Amygdalan Arm is no trick weapon of any sort, but certain madmen wield them like clubs. Starts as a large, tough blunt weapon formed of bone, but when extended, the hand quivers as if it were still alive.","The Amygdalan Arm is a powerful weapon that is said to be the arm of a small Amygdala Great One. When extended, the hand of the arm quivers as if it were still alive."
Ancient Dragon Seal,"Ring of the Dragon Remnants covenant. Slightly increases Estus Flask HP recovery. Possessing a dragon scale is proof of its owner's prowess. Strength should always be displayed boldly, and meted out justly. Members of the covenant who bear dragon scales can fight with one another. The survivor of the duel claims the dragon scale of the opponent.","The Ring of the Dragon Remnants covenant is a group of people who have sworn to protect each other by bearing dragon scales. These scales are proof of their strength and prowess, and the survivor of a duel with another member of the covenant can claim the dragon scale of their opponent."
Ancient King's Breastplate,The bronze breastplate of the demigod Old King Doran. There are Jewels inlaid in it,"The breastplate of the Old King Doran was a powerful artifact. It was made from bronze and was adorned with jewels. The jewels were inlaid in the breastplate in a specific pattern, and they were said to have magical properties."
Anri's Straight Sword,"Sword precious to Anri, another Unkindled. The dullest type of blade found in the ruined land of Astora. Only, it was once the sword of an earnest noble figure, and its attacks are boosted by that elusive, essential property unique to humans: luck.","The sword was once the property of a noble figure, and its attacks were boosted by luck. However, due to the ruinous state of the land, the sword eventually became dull and was found by Anri. She takes it upon herself to restore it to its former glory, and with the help of her friends, she succeeds."
Anti-Clockwise Metamorphosis,"A secret symbol left by Caryll, runesmith of Byrgenwerth. The twisted cross means metamorphosis. Rotated anti-clockwise, this rune boosts stamina. The discovery of blood made their dream of evolution a reality. Metamorphosis, and the excesses and deviation that followed, was only the beginning.","Caryll left her rune-covered blood on the ground near a tree. When a passerby discovered it, they were inspired to follow their dreams of becoming a runesmith. The discovery of blood made their dream of evolution a reality."
Antidote,"Small medicinal tablets that counteract poison. Used to treat ashen blood, the baffling sickness that ravaged Old Yharnam long ago. These tablets only provide short-term relief. The ashen blood ailment eventually triggered the spread of the beastly scourge.","The small medicinal tablets that counteract poison are used to treat ashen blood, the baffling sickness that ravaged Old Yharnam long ago. These tablets only provide short-term relief, and the ashen blood ailment eventually triggered the spread of the beastly scourge."
Antiquated Dress,"A dress from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power. One cannot expect any physical protection from this garment, as it was not meant to be worn in battle","The dress is a relic from the ancient land of Oolacile. It is made of ivory-colored silk and features intricate embroidery. The dress is said to be imbued with ancient magic power, and as such, it provides no physical protection from harm. However, the dress is still a beautiful and unique piece of clothing that would be perfect for any special occasion."
Antiquated Dress,"Dress sewn in a long-lost fashion. The elaborately embroidered, ivory-colored silk is imbued with ancient magic power. No protection is offered by this garment, as it was never intended for battle","The dress is a beautiful work of art, but it is also cursed. Whoever wears it will be vulnerable to all sorts of harm. However, the dress is also coveted by many people for its unique and mysterious power."
Antspur Rapier,"Spur of a giant ant which has been fashioned into a rapier. The blade drips with scarlet rot. Scarlet rot is an old legend, of which Maleigh Marais of the Shaded Castle was a private believer. And indeed, he eventually found his own personal goddess.","Maleigh Marais was a powerful sorcerer who ruled over the Shaded Castle with an iron fist. He was known for his dark magic and his obsession with the goddess Scarlet Rot. One day, he discovered a giant ant which had been transformed into a rapier. The blade was covered in a layer of scarlet rot, and Maleigh Marais was fascinated by the legend of Scarlet Rot. He decided to make his own rapier covered in the same layer of rot, as a tribute"
Aquamarine Dagger,.A dagger fitted with aquamarine crystal. Engraved with a prayer in the old tongue to ward off incident. Perhaps it was a parting gift given to one sent off on great travels.,"The dagger was finely crafted with aquamarine crystal embedded in the hilt. The inscription on the blade was in the old tongue, and it seemed to have been a gift meant to protect the bearer on their travels. The story behind the dagger was a mystery, but it was likely a farewell gift from someone who was leaving for a long journey."
Arbalest,"The largest crossbow, and suitably powerful for its size. The bow string is made of metal, requiring great strength to fire.","The largest crossbow in the world is wielded by a giant. The bowstring is made of metal, requiring great strength to fire. The giant is able to shoot arrows so fast that they can pierce through anything."
Arcane Haze,"Material used in a Holy Chalice rite. The tiny smatterings of haze that are found in certain ritual materials. Sometimes required for special rites. The additional rite Sinister Bell makes the bell-ringing woman appear, and when she rings a sinister bell, hunters from other worlds will be beckoned as adversaries.","The tiny smatterings of haze that are found in certain ritual materials are known as ""materials of the veil."" Sometimes required for special rites, these smatterings add an ethereal quality to the proceedings. The additional rite Sinister Bell makes the bell-ringing woman appear, and when she rings a sinister bell, hunters from other worlds will be beckoned as adversaries."
Arcane Lake Rune,"A secret symbol left by Caryll, runesmith of Byrgenwerth. This transcription of the Great Ones' inhuman voices ripples like a watery reflection. This rune means Lake, and those branded by it enjoy augmented defense. Great volumes of water serve as a bulwark guarding sleep, and an augur of the eldritch Truth. Overcome this hindrance, and seek what is yours.","Caryll left this rune for those who seek to understand the Great Ones. The rune is said to represent Lake, and those who are branded by it enjoy augmented defense. The rune is also said to be an augur of the eldritch Truth, and can be used to overcome obstacles."
Arced Sword,"A curved greatsword forged from the soul of the Flexile Sentry. There is something unsettling, and at the same time beautiful, about its long curved blade. The sentry crammed inmates of the overflowing Bastille onto a rickety ship, and cast them out to the open sea. The majority of them drowned or starved but a few hardy survivors made land to the south, and imparted their knowledge of sorcery to the people there.","The Flexile Sentry was a giant, serpentine creature that guarded the entrance to the Bastille. It was said that the sentry could twist its body in any direction, and that its blade was made from the soul of the creature. After the Bastille was stormed and its inmates freed, some of the survivors decided to take the sword and use it to defend their new home."
Archdeacon White Crown,"White crown worn by an Archdeacon of the Cathedral of the Deep. Presented solely to delegates of the gods. A sign of the Way of White's highest rank. Of the three Archdeacons of the Deep, one cast off his white crown and left the cathedral to stand by Aldrich. One stood over Aldrich's casket, with hope that he would return one day. One attended to Rosaria, Mother of Rebirth, whom he deemed a goddess","The white crown worn by an Archdeacon of the Cathedral of the Deep is a sign of the highest rank within the Way of White. When one casts off the crown, they have left the cathedral and stand by Aldrich, the second in command. One Archdeacon, over Aldrich's casket, has hope that he will return one day. One Archdeacon, Rosaria, Mother of Rebirth, deemed a goddess, attends to her."
Archdeacon's Great Staff,"Large staff bestowed upon Archdeacons of the Cathedral of the Deep. The Archdeacon McDonnell's trespass, the sin of channeling faith for sorcery, transformed what was once merely a symbol of ecclesiastic authority into a catalyst of sorceries.","The Archdeacon McDonnell's trespass, the sin of channeling faith for sorcery, transformed what was once merely a symbol of ecclesiastic authority into a catalyst of sorceries. The staff, once a simple tool of the church, now served as a conduit for dark magic. The Archdeacon's fate now rests in the hands of the player, as they venture into the Cathedral of the Deep to put an end to the sorceries plaguing the city."
Archdrake Chime,"Sacred chime used by members of the Archdrake Sect of Lindelt. A catalyst for miracles and hexes. The land of Lindelt is governed by stringent laws, and those who dare defy them are punished without mercy. It is often the sinful who seek piety, spurred only by a selfish desire for salvation.","The sacred chime was used by the Archdrake Sect of Lindelt to perform miracles and hexes. The land of Lindelt was governed by stringent laws, and those who dared defy them were punished without mercy. It was often the sinful who sought piety, spurred only by a selfish desire for salvation. One day, a young woman named Elin found the sacred chime and used it to save her village from a terrible fate. The people of Lindelt were so grateful that they"
Archdrake Mace,"A mace normally issued to clerics of the Archdrake sect of Lindelt. The land of Lindelt is governed by stringent laws, and those who dare defy them are punished without mercy. It is often the sinful who seek piety, spurred only by a selfish desire for salvation.","The mace is a holy relic of the Archdrake sect of Lindelt. It is said that the mace was once used by the sect's founder, a great dragon cleric, to smite his enemies. The mace is now wielded by the sect's most devout followers, who use it to enforce Lindelt's laws and punish those who break them."
Archdrake Robes,"Robes worn by the Archdrake sect of Lindelt. Little is known about the Archdrake sect and its ancient rituals, and those who dare to indulge their curiosity have been known to simply vanish. The Archdrake sect are the keepers of Lindelt's histories, including the only record of its foundation, a tome they have good reason to keep hidden away","The robes worn by the Archdrake sect are said to be imbued with mystical power. Whoever wears them is granted access to the secrets of the sect's ancient rituals, but those who dare to delve too deep often disappear without a trace."
Archdrake Staff,"Staff of members of the Archdrake sect of Lindelt. A catalyst for sorceries and hexes. In Lindelt, known for its clerics and their miracles, sorcery is believed to be a profane practice. But as with anything, such beliefs are part faith and part front, and this staff was born of that hypocrisy.","The staff of the Archdrake sect of Lindelt is a powerful catalyst for sorceries and hexes. It was created by the sect's members as a way to hide their practices from the rest of the city, but it soon became a symbol of their power. The staff is said to be able to unleash powerful spells and hexes, and it is coveted by many in Lindelt."
Arianna's Shoes,Shoes worn by Arianna. woman of the night in the Cathedral Ward. Innocent and cute. in contrast with its owner.,"Arianna was a woman of the night in the Cathedral Ward. She was innocent and cute, in contrast with her owner, the Devil. One day, a young man named John came to the ward to visit the cathedral. Arianna was drawn to him, and she began to fall for him. However, the Devil was watching them, and he was furious. He decided to take revenge on Arianna by making her look like a slut."
Aristocrat Garb,"High quality garb adorned with fine golden embroidery. Travel attire worn by nobles in the capital. Terribly faded and tattered. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.","The undead wander the land, their garb tattered and faded. Abandoning their birthplace after the Shattering, they are the pitiful product of unending life."
Aristocrat's Mask,Mask worn by jailers of Irithyll Dungeon. Noblemen delighted in its plump features.,"The Mask worn by jailers of Irithyll Dungeon is a grotesque and grotesquely obese piece of clothing. It is made from a thick, plush material, and is adorned with a large, bulbous nose. The noblemen who enjoy visiting the dungeon find the Mask to be quite pleasing, as it accentuates their already impressive physiques."
Armor of Artorias,"Armor of Artorias the Abysswalker, one of Gwyn's four knights. The death of the armor's owner can be surmised from the corrosive Dark of the Abyss, and the tattered azure-blue cape, once a symbol of pride and glory","The armor of Artorias the Abysswalker was once a symbol of pride and glory. The death of the armor's owner can be surmised from the corrosive Dark of the Abyss, and the tattered azure-blue cape, once a symbol of pride and glory."
Armor of Aurous,"Armor of kings of the desert land of Jugo. First worn by Aurous, the land's heroic founder. According to legend, the armor of Aurous is composed of a mysterious substance that cannot be seen by cowards. What do your eyes tell you?","The armor of Aurous is said to be composed of a mysterious substance that cannot be seen by cowards. When worn by a brave warrior, it gives them the strength to face any challenge. One day, a young man named Aurous discovered this armor and decided to use it to fight for justice. He became known as the land's heroic founder and his armor became known as the Armor of Kings."
Armor of the Forlorn,"Armor of the Forlorn, who wander the land of the Undead. Born of Aldia's obsession with the First Sin, the Forlorn lost both their corporeal form and a world to call their own. Now they drift into other worlds, ever in search of a home. But without self, one has neither beginning nor end, and so the Forlorn have only to wander","The armor of the Forlorn is a cursed item that was created by Aldia as part of her obsession with the First Sin. The Forlorn were once human beings who lost their corporeal form and a world to call their own as a result of Aldia's obsession. Now, they wander the land of the Undead in search of a new home."
Armor of the Glorious,"Strange armor from the ancient land of Zena, birthplace of the curious dealer Domhnall. The many medals are believed to symbolize glory","The armor is strange, with many medals that are believed to symbolize glory. It is said that the armor was from the ancient land of Zena, birthplace of the curious dealer Domhnall. The armor is old and worn, but it still has a lot of life left in it."
Armor of the Sun,"Armor of Solaire of Astora, Knight of Sunlight. The large holy symbol of the Sun, while powerless, was painted by Solaire himself. Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits","The armor of Solaire of Astora, Knight of Sunlight, is a holy symbol of the Sun. It is said that Solaire's incredible prowess came from rigorous training alone, for his equipment exhibits no special traits. However, the large holy symbol of the Sun painted by Solaire himself is still a powerful weapon."
Armor of Thorns,"Armor of Kirk, knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface. It is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies","Kirk had always been a ruthless fighter, and he had honed his skills to a razor's edge. He was known as the Knight of Thorns, and he was one of the most feared Darkwraiths in all of Hell. But even Kirk was not immune to injury. One day, while he was fighting in the pits of Hell, he was struck in the shoulder by a powerful enemy. The wound was deep, and the armor that he was wearing did nothing to stop the"
Armor Smithbox,Tool used to etch titanite into armor for reinforcement. Rest at a bonfire to make armor reinforcement possible,"The etching tool was a simple, but necessary tool used by the blacksmiths of the kingdom to reinforce armor with titanite. The tool rested at a bonfire, allowing the blacksmiths to quickly etch reinforcement into the armor of their soldiers."
Armor Smithbox,Tool used to etch titanite into armor for reinforcement. Rest at a bonfire to make armor reinforcement possible,"The etching tool was a simple, but necessary tool used by the blacksmiths of the kingdom to reinforce armor with titanite. The tool rested at a bonfire, allowing the blacksmiths to quickly etch reinforcement into the armor of their soldiers."
Arstor's Spear,"One of the curses that festered within the belly of the Greatwood, and a terrible weapon favored by Earl Arstor the Impaler. The spear is enwreathed in rotten, heavily poisonous meat. Defeating foes restores HP. Skill: Shield Splitter Take a large step forward and make a single focused thrust to puncture enemy shields and inflict damage.","The Greatwood was a dark and foreboding forest that lay on the outskirts of the kingdom. It was said that the forest was cursed by an evil sorcerer, and that any who entered were doomed to die. One day, a group of brave knights ventured into the forest to investigate the rumors. They were quickly met with resistance, and soon found themselves surrounded by a horde of monsters. Just as they were about to be overwhelmed, one of the knights pulled out a wicked spear made from"
Ash Knuckle Ring,"Knuckle ring worn by Rhoy the Explorer. Increases petrification resistance. Petrification is tantamount to death, and in that sense, this knuckle ring is a charm that may save your life.","Rhoy the Explorer was a famed explorer who ventured into uncharted territory. One day, while exploring an ancient ruin, he came across a chamber filled with petrified creatures. The ring he was wearing amplified his petrification resistance, allowing him to survive and explore the ruin further."
Ashen Estus Ring,"Gray crystalline ring crafted from shards. Increases FP restored by Ashen Estus Flask. Once a treasure brought before Lothric's Queen, she had it enshrined in the Cemetery of Untended Graves, so that one day an Unkindled might profit from its use.",The Gray crystalline ring was crafted from shards of Ashen Estus Flask. It increased the FP restored by the Ashen Estus Flask.
Ashen Hunter Garb,"Attire of the retired hunter Djura. One of the standard articles of hunter attire fashioned at the workshop. A fine piece of hunter attire that provides stable defense to anyone facing Yharnam's beastly threat. Painted with ash in a ceremony to ward off blood. Djura is known through his contact with the Powder Kegs, the heretics of the workshop. He is said to have been both uncommonly kind and dreadfully foolish. Djura felt defeated by the state of Old Yharnam, and renounced his hunter's vows.","Djura, a retired hunter, wears a paint-covered outfit to ward off blood. He is known for his kindness to the Powder Kegs, a heretical sect of hunters."
Ashen Hunter Gloves,"Attire of the retired hunter Djura. Painted with ash in a ceremony to ward off blood. Djura is known through his contact with the Powder Kegs, the heretics of the workshop. He is said to have been both uncommonly kind and dreadfully foolish. Djura felt defeated by the state of Old Yharnam, and renounced his hunter's vows.","Djura retired from hunting many years ago, but he still keeps in touch with the workshop of Old Yharnam. One day, he received a letter from the Powder Kegs, a group of heretics who have been living in exile. They asked him to come and help them fight against the state, but Djura was too old and tired to do anything. He decided to go to Old Yharnam anyway, in a ceremony to ward off blood. When"
Ashen Warrior Sword,Straight sword wielded by ashen warriors. As brittle as it appears. The jagged edge of this tired and worn blade tears into the hides of foes.,"The straight sword is a weapon that is wielded by ashen warriors. It is brittle and looks worn, but the jagged edge of the blade is deadly."
Assassin Armor,Soft leather Gloves worn by assassins who lurk in the shadows. The thick leather offers reasonable absorption without creating any undesired noise. A well-crafted piece of protection. Critical spots are reinforced with metal.,"The gloves were made for assassins who lurk in the shadows. They were thick leather, offering reasonable absorption without creating any undesired noise. The gloves were also well-crafted, with critical spots reinforced with metal."
Astora Greatsword,"This greatsword, bestowed only upon elite knights, is a relic of the ruined land of Astora. Designed for a focus on thrust attacks, this sword is hard and sharp, but not unusually heavy. Skill: Charge Hold sword at waist and charge at foe. Use strong attack while charging to extend the length of the charge.","The greatsword, bestowed only upon elite knights, is a relic of the ruined land of Astora. The knights of Astora were known for their prowess in wielding the greatsword, and this sword was designed with their needs in mind. The greatsword is hard and sharp, but not unusually heavy. When used skillfully, the greatsword can be used to extend the length of the charge, making it a powerful weapon."
Astora Straight Sword,"A well-crafted sword named after the ruined land. Astora, before its fall, was a land replete with royal blood, and this weapon is both a reminder and heirloom of that era.","The sword is a heirloom of the royal family of Astora, before it fell to ruin. It is a reminder of a time when the land was prosperous and full of life. The sword is also powerful, and can be used to fight against those who would try to take away the land's riches."
Astral Clocktower Key,"Key to the Astral Clocktower at the top of the Grand Cathedral. The caretaker of the tower's numerous patients, known to them only as Lady Maria, made her home behind the giant star-interpreting clock.","The Astral Clocktower is a place of great mystery and power. It is said that the caretaker, Lady Maria, makes her home behind the clock, which is said to be able to interpret the stars. Lady Maria is known to be a kind and compassionate woman, who cares for the patients in the tower."
Astrologer Robe,"Robe fashioned from supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.","The robe is made from supple cloth and is worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. However, the night sky no longer cradles fate."
Astrologer's Staff,"Staff of the astrologers. A glintsone is embedded in the tip, enabling it to be used as a catalyst for sorceries. Sorceries must be memorized first at a site of lost grace, and a staff must be equipped to cast them","The Staff of the Astrologers is a powerful tool that allows its user to cast powerful sorceries. The staff is made from a special type of metal that is able to store magical energy, and the glintsone embedded in the tip of the staff allows the user to cast their spells with ease. The staff must be equipped in order to use its power, and is usually kept at a site of lost grace in order to prevent it from being used by anyone other than the rightful"
Astrologist's Robe,"Astrologists believe that magical powers can be obtained at moments of special heavenly alignment. Even the collective wisdom of the Melfian Magic Academy cannot pull magic out of the sky, but the ideas of the astrologists led to the creation of new and very useful magic devices","The astrologists had long believed that magical powers could be obtained at moments of special heavenly alignment. So, they created devices to harness these powers. These devices were used by the astrologists to perform various tasks, from casting spells to summoning spirits."
Augur of Ebrietas,"Remnant of the eldritch Truth encountered at Byrgenwerth. Use phantasms, the invertebrates known to be the augurs of the Great Ones, to partially summon abandoned Ebrietas. The initial encounter marked the start of an inquiry into the cosmos from within the old labyrinth, and led to the establishment of the Choir.","A group of explorers stumble upon an ancient labyrinth filled with eldritch secrets. Inside they find a strange creature known as Ebrietas, who seems to be the manifestation of some sort of cosmic force. The group is able to partially summon her using phantasms, and from that moment on they begin to explore the labyrinth and its secrets in earnest."
Avelyn,Repeating crossbow cherished by the weapon craftsman Eidas. Its elaborate design makes it closer to a work of art than a weapon. Intricate mechanism makes heavy damage possible through triple-shot firing of bolts. but in fact each bolt inflicts less damage,"The Repeating Crossbow was a finely crafted weapon that was closer to art than a weapon. The intricate mechanism made it possible to fire three bolts at once, making it a powerful weapon. However, each bolt only inflicted a fraction of the damage that it could have."
Avolina's Doll,"It is said that Avolina was fond of spiders and creepy crawlies. Born outside of marriage, Avolina shamed her house, and was locked away with only her books and this ragged old doll to keep her company.","Avolina is a lonely girl who is shunned by her family because she was born outside of marriage. She is content to spend her days reading and playing with her doll, until one day a spider comes to visit her. The spider tells Avolina that she is beautiful and deserves to be loved. Avolina is touched by the spider's words and decides to start living life to the fullest. She becomes more outgoing and starts dating boys, and eventually has a child of her own. Av"
