Prompt:,"IName:,","Completion:,",Status: Finished,IDescription:,Needed: Demon Souls (Maybe),Completed:
Prompt:,"IName:,","Completion:,",Archdrake Robes,IDescription:,"Robes worn by the Archdrake sect of Lindelt. Little is known about the Archdrake sect and its ancient rituals, and those who dare to indulge their curiosity have been known to simply vanish.The Archdrake sect are the keepers of Lindelt's histories, including the only record of its foundation, a tome they have good reason to keep hidden away",IType:
Prompt:,"IName:,","Completion:,",Arianna's Shoes,IDescription:,Shoes worn by Arianna. woman of the night in the Cathedral Ward. Innocent and cute. in contrast with its owner.,IType:
Prompt:,"IName:,","Completion:,",Aristocrat Garb,IDescription:,"High quality garb adorned with fine golden embroidery.Travel attire worn by nobles in the capital. Terribly faded and tattered.Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",IType:
Prompt:,"IName:,","Completion:,",Aristocrat's Mask,IDescription:,Mask worn by jailers of Irithyll Dungeon. Noblemen delighted in its plump features.,IType:
Prompt:,"IName:,","Completion:,",Armor of Artorias,IDescription:,"Armor of Artorias the Abysswalker, one of Gwyn's four knights. The death of the armor's owner can be surmised from the corrosive Dark of the Abyss, and the tattered azure-blue cape, once a symbol of pride and glory",IType:
Prompt:,"IName:,","Completion:,",Armor of Aurous,IDescription:,"Armor of kings of the desert land of Jugo. First worn by Aurous, the land's heroic founder. According to legend, the armor of Aurous is composed of a mysterious substance that cannot be seen by cowards. What do your eyes tell you?",IType:
Prompt:,"IName:,","Completion:,",Armor of the Forlorn,IDescription:,"Armor of the Forlorn, who wander the land of the Undead. Born of Aldia's obsession with the First Sin, the Forlorn lost both their corporeal form and a world to call their own. Now they drift into other worlds, ever in search of a home. But without self, one has neither beginning nor end, and so the Forlorn have only to wander",IType:
Prompt:,"IName:,","Completion:,",Armor of the Glorious,IDescription:,"Strange armor from the ancient land of Zena, birthplace of the curious dealer Domhnall. The many medals are believed to symbolize glory",IType:
Prompt:,"IName:,","Completion:,",Armor of the Sun,IDescription:,"Armor of Solaire of Astora, Knight of Sunlight. The large holy symbol of the Sun, while powerless, was painted by Solaire himself. Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits",IType:
Prompt:,"IName:,","Completion:,",Armor of Thorns,IDescription:,"Armor of Kirk, knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface. It is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies",IType:
Prompt:,"IName:,","Completion:,",Ashen Hunter Garb,IDescription:,"Attire of the retired hunter Djura. One of the standard articles of hunter attire fashioned at the workshop. A fine piece of hunter attire that provides stable defense to anyone facing Yharnam's beastly threat. Painted with ash in a ceremony to ward off blood. Djura is known through his contact with the Powder Kegs, the heretics of the workshop. He is said to have been both uncommonly kind and dreadfully foolish. Djura felt defeated by the state of Old Yharnam, and renounced his hunter's vows.",IType:
Prompt:,"IName:,","Completion:,",Ashen Hunter Gloves,IDescription:,"Attire of the retired hunter Djura. Painted with ash in a ceremony to ward off blood. Djura is known through his contact with the Powder Kegs, the heretics of the workshop.He is said to have been both uncommonly kind and dreadfully foolish. Djura felt defeated by the state of Old Yharnam, and renounced his hunter's vows.",IType:
Prompt:,"IName:,","Completion:,",Assassin Armor,IDescription:,Soft leather Gloves worn by assassins who lurk in the shadows. The thick leather offers reasonable absorption without creating any undesired noise. A well-crafted piece of protection. Critical spots are reinforced with metal.,IType:
Prompt:,"IName:,","Completion:,",Astrologer Robe,IDescription:,"Robe fashioned from supple cloth.Worn by those who look to the cosmos above.They read fate in the stars, and are said to be heirs of the glintstone sorcerers.But alas, the night sky no longer cradles fate.",IType:
Prompt:,"IName:,","Completion:,",Astrologist's Robe,IDescription:,"Astrologists believe that magical powers can be obtained at moments of special heavenly alignment. Even the collective wisdom of the Melfian Magic Academy cannot pull magic out of the sky, but the ideas of the astrologists led to the creation of new and very useful magic devices",IType:
Prompt:,"IName:,","Completion:,",Azur's Manchettes,IDescription:,"Manchettes corroded by blue-green glintstones.Worn by Azur, primeval current sorcerer.Azur had reached a near-inorganic state.",IType:
Prompt:,"IName:,","Completion:,",Bandit Armor,IDescription:,"Armor of bandits of the Forossan outskirts. The territory of Forossa became lawless after the kingdom fell to war. Citizens became bandits, and scattered to other lands",IType:
Prompt:,"IName:,","Completion:,",Bandit Mask,IDescription:,"Mask of black cloth that covers the mouth.Favored by bandits for hiding their faces, it also provides some protection against poison.",IType:
Prompt:,"IName:,","Completion:,",Banished Knight Armor,IDescription:,"Thick, full set of armor covering the entire body.This armor was worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes.These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",IType:
Prompt:,"IName:,","Completion:,",Battlemage Robe,IDescription:,"Robe worn by scholars of the Raya Lucaria Academy scholar, tattered from being worn on the battlefield.Whenever war broke out and the academy sealed its gates, only Haima's scholars dared venture outside. Seclusion is no way to foster discovery; it is only a convenient form of escape.",IType:
Prompt:,"IName:,","Completion:,",Beak Mask,IDescription:,"Wood-carved mask of Eileen the Crow, Hunter of Hunters. The beak contains incense to mask scents of blood and beast. Hunters of Hunters dress as crows to suggest sky burial.The first Hunter of Hunters came from a foreign land, and gave the dead a virtuous native funeral ritual, rather than impose a blasphemous Yharnam burial service upon them, with the hope that former compatriots might be returned to the skies, and find rest in a hunter's dream.",IType:
Prompt:,"IName:,","Completion:,",Beast Champion Gauntlets,IDescription:,"Silver gauntlets engraved with tiny beasts.Worn by Bernahl the Recusant.Beasts are drawn to champions, and to lords. And this armor befits a champion worthy of becoming a lord. And that is what Bernahl was.Until his maiden threw herself into the fire.",IType:
Prompt:,"IName:,","Completion:,",Beast Hide Garb,IDescription:,"The bloodied hide of a horrible Cleric Beast, pulled over the back. Without the attacked beast hide this foreigner garb wouldn't raise anyone's eyebrows. Brador donned a compatriot's beastly scalp and hide while still moist with blood. Most of the blood stains on this hide were from that day",IType:
Prompt:,"IName:,","Completion:,",Bell Keeper Bellyband,IDescription:,"An old armor that is oddly comfortable. Belonged to a Bell Keeper. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms",IType:
Prompt:,"IName:,","Completion:,",Benhart's Armor,IDescription:,"Armor of unknown origin. Belonged to Benhart of Jugo. Apparently Benhart found this while wandering land to land, but its origins are unknown. He wore it all the time, he adored it so, leaving a slight odor",IType:
Prompt:,"IName:,","Completion:,",Big Hat,IDescription:,"Gigantic hat worn by the great sorcerer Logan. It completely hid his face, which led to his nickname Big Hat. Famously antisocial, Logan used it to block out noise and people's stares so he could focus on his own thoughts, but it does not possess any special magic powers.",IType:
Prompt:,"IName:,","Completion:,",Billed Mask,IDescription:,"This billed mask belongs to Yuria, the second eldest. These maidens of a Primordial Serpent were renowned as founders of the Sable Church, which offered salvation for Hollows.",IType:
Prompt:,"IName:,","Completion:,",Black Church Garb,IDescription:,"Attire of Healing Church hunters. Most Healing Church hunters are elementary doctors who understand the importance of early prevention of the scourge, achieved by disposing of victims, and even potential victims, before signs of sickness manifest themselves. Their black attire is synonymous with fear, and that peculiar Yharnam madness. When a cancer is discovered, one must pinpoint its location, reach in, and wrench it from the host's bosom",IType:
Prompt:,"IName:,","Completion:,",Black Cleric Robe,IDescription:,"Robe worn by pardoners serving Velka, the Goddess of Sin. The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic",IType:
Prompt:,"IName:,","Completion:,",Black Dragon Armor,IDescription:,"Eerily shaped armor spoken of in legend, crafted with the scales of the Black Dragon. The Black Dragon was long considered a mere legend, but this proves its existence",IType:
Prompt:,"IName:,","Completion:,",Black Dress,IDescription:,"Attire of the three mentors of the Sable Church of Londor. this pitch-black dress resembles a mourning dress with black leggings andgauntlets are hidden by the dress. These maidens of a Primordial Serpent were renowned as founders of the Sable Church, which offered salvation for Hollows. It is apparent that the women in black were highly skilled fencers, capable of founding the Sable Church between just the three of them.",IType:
Prompt:,"IName:,","Completion:,",Black Hand Armor,IDescription:,"Attire of hunters known as the King's Black Hands. A black cape covers leather armor, shrouding the wearer in darkness. Black Hand was the title established to honor hunters who served successive generations of kings. To date, no more than three such individuals have borne this distinction",IType:
Prompt:,"IName:,","Completion:,",Black Hollow Mage Robe,IDescription:,"Robe worn by Hollowed Drangleic mages. Drangleic mages wore different garb depending on their sex. What function this served, however, is unknown, as with many old practices.",IType:
Prompt:,"IName:,","Completion:,",Black Hood,IDescription:,"Hood worn upon awakening to the nightmare of blood and beasts. Perhaps its wearer had to stay out of sight, and travel by cover of darkness.Without memory. who will ever know?",IType:
Prompt:,"IName:,","Completion:,",Black Hooded Iron Helm,IDescription:,"Iron helmet worn by hunters of the Unseen Village. Removing the hood reveals something reminiscent of a warrior of a previous age. This headwear is made of metal, a rarity for hunter garb, and has high defense, but only against physical attacks.",IType:
Prompt:,"IName:,","Completion:,",Black Iron Armor,IDescription:,"Armor of Black Iron Tarkus, a knight known for his great strength. Built of a special black iron and providing strong defense, notably against fire, but so terrible heavy to be unwieldy to all but Tarkus himself.",IType:
Prompt:,"IName:,","Completion:,",Black Knife Armor,IDescription:,"Scale armor used by the Black Knife Assassins, forged to make no sound.Traces of power yet remain in its concealing veil, which muffles the sound of footsteps.The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself.",IType:
Prompt:,"IName:,","Completion:,",Black Knight Armor,IDescription:,"Armor of the Black Knight who haunt Lordran. The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in newly kindled fire, wandering the world as disembodied spirits ever after",IType:
Prompt:,"IName:,","Completion:,",Black Knight Armor,IDescription:,"Armor of the Black Knights who roam the lands. The knights served the First Lord Gwyn, and followed him into the flame upon its linking. They became ash, but still wander the realms to this day.",IType:
Prompt:,"IName:,","Completion:,",Black Leather Armor,IDescription:,"This armor is made of smooth black leather is extremely quiet, a good thing for those who hide in the shadows. The leather itself is thick, offering a decent level of protection",IType:
Prompt:,"IName:,","Completion:,",Black Leather Armor,IDescription:,"Armor dyed black. Allows the wearer to blend in with the dark. Often used by those with ill-intent. Meticulously crafted, and provides fair defense",IType:
Prompt:,"IName:,","Completion:,",Black Robes,IDescription:,"Black Robe Belonged to Straid of Olaphis. Straid was invited to the old kingdom of Olaphis for his wisdom, but its depth was such that people soon feared him, and in the end Straid was led into a dreadful trap. Straid spent several lifetimes as stone. During this hiatus, kingdoms rose and fell, until the land called Drangleic came to be.",IType:
Prompt:,"IName:,","Completion:,",Black Sorcerer Cloak,IDescription:,"Cloak worn by the secret sorcerers at Vinheim Dragon School. They secretly work with sound-based spells, and never reveal themselves",IType:
Prompt:,"IName:,","Completion:,",Black Witch Robe,IDescription:,"Robe worn by Zullie the witch, seducer of Alva of Wayfarer. Boasts excellent magic defense. When Zullie the witch learned of Alva's dedication to Saint Serrate she used all manner of tricks and deceit to ruin him, but in the end she would spend her life with him, supporting his endeavors. Scholar of the First Sin added: The witch, as unloving as she was unloved, finally found illumination through her blighted existence.",IType:
Prompt:,"IName:,","Completion:,",Black Wolf Mask,IDescription:,"A mask fashioned after the head of a black wolf Blaidd, who served as Ranni’s shadow, was a loyal ally who would defy destiny itself if it would have him turn upon his Lady.
Relic of an assassin who assumed the guise of Ranni the Witch's loyal shadow. The likeness is striking.",IType:
Prompt:,"IName:,","Completion:,",Blackflame Monk Greaves,IDescription:,"Black iron greaves featuring a flame motif.Attire of the Blackflame Monks.The Blackflame Monks, enthralled by the god-slaying black flame, became traitors, abandoning their posts as guardians. The seduction of a taboo is never easily spurned.",IType:
Prompt:,"IName:,","Completion:,",Blaidd's Armor,IDescription:,"Well-worn black armor of the man-wolf Blaidd
The pelt serves as a cape, protecting from cold.
Blaidd was the blade of Ranni, but the cold bothered him anyway.",IType:
Prompt:,"IName:,","Completion:,",Blindfold Cap,IDescription:,"Attire of the Choir, high-ranking members of the Healing Church. Members of the Choir are both the highest-ranking clerics of the Healing Church, and scholars who continue the work that began at Byrgenwerth. The eye covering indicates their debt to the teachings of Master Willem, even though their paths diverged.",IType:
Prompt:,"IName:,","Completion:,",Bloodhound Knight Armor,IDescription:,"Metal armor with a jutting breastplate. Worn by the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made, the knight stays loyal for life.",IType:
Prompt:,"IName:,","Completion:,",Bloodied Arm Bands,IDescription:,Bloodied Arm Bands. Brador donned a compatriot's beastly scalp and hide while still moist with blood. Most of the blood stains on this hide were from that day,IType:
Prompt:,"IName:,","Completion:,",Bloodsoaked Mask,IDescription:,"Mask formed from tightly-wound bandages soaked through with blood.Even the most ghastly cover is more inviting than the festering face beneath.",IType:
Prompt:,"IName:,","Completion:,",Bloodsoaked Tabard,IDescription:,"Padded cloth armor with indelible bloodstains around the neck.Worn by headless foot soldiers who endlessly guard the Wandering Mausoleum.",IType:
Prompt:,"IName:,","Completion:,",Blue Cloth Vest,IDescription:,"Vest of a nomadic warrior.The blue color of its fabric symbolizes brisk waters, as fluid and flowing as the sword in the hand of its wearer.Just as still waters turn foul, stagnation leads to decay.Warriors must remain ever drifting.",IType:
Prompt:,"IName:,","Completion:,",Blue Festive Hood,IDescription:,"Hood worn by dancers at the festivities in Dominula, the village of windmills.Use of this hood, dyed in a stunning blue, is only permitted for the young maids who play the central role in the festival.",IType:
Prompt:,"IName:,","Completion:,",Blue Silver Mail Armor,IDescription:,"Chainmail armor crafted with blue silver.Worn by the wolf-riding Albinauric archers.Blue silver is a metal born from the same mother as the archers themselves, and provides protection from magic and frost.",IType:
Prompt:,"IName:,","Completion:,",Bone Ash Armor,IDescription:,"Armor made of bone ash,worn by the oldest keepers. The keepers, who mind the slumbering Great Ones, gained eternal life, preserved in ashen form in a ceremony of flame that cremated body and soul Now, their frail armor is white and sinewy, a window into an arcane lost art.",IType:
Prompt:,"IName:,","Completion:,",Bone Ash Hat,IDescription:,"The long, pointed hat is a symbol of the old keepers and is considered evidence of their companionship, forged in a certain sin.",IType:
Prompt:,"IName:,","Completion:,",Bone Ash Mask,IDescription:,"A mask made of bone ash, worn by the oldest keepers. The keepers, who mind the slumbering Great Ones, gained eternal life, preserved in ashen form in a ceremony of flame that cremated body and soul. The long, pointed hat is a symbol of the old keepers and is considered evidence of their companionship, forged in a certain sin.",IType:
Prompt:,"IName:,","Completion:,",Bone Crown,IDescription:,"The Old Iron King led his best men on Undead hunts, but their memories were purged in rebirth",IType:
Prompt:,"IName:,","Completion:,",Bone King Robe,IDescription:,"The very men who were ordered to hunt down the Undead were themselves hollowed, and founded a kingdom of bone",IType:
Prompt:,"IName:,","Completion:,",Brador's Testimony,IDescription:,"The scalp of a horrid Cleric Beast, indicating that hunter Brador, a Healing Church assassin, had killed a compatriot. Afterward, he wore his ally's own scalp, and hid himself away, deep below in a cell. The Church provided him with a single, soundless bell of death to ensure their secrets would be kept.",IType:
Prompt:,"IName:,","Completion:,",Brass Armor,IDescription:,"Armor of the Darkmoon Knightess, Fire Keeper of Anor Londo. After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of Darkmoon, and assumed the flame-keeping duty. She received this armor, which hides her hideous form and helps her hunt the guilty",IType:
Prompt:,"IName:,","Completion:,",Brass Armor,IDescription:,Armor of a knight once known as the Darkmoon. It is said that this brass armor hides something hideous within. Something about its silhouette suggests femininity.,IType:
Prompt:,"IName:,","Completion:,",Briar Armor,IDescription:,"Battered iron armor from a foreign land.Worn by Elemer of the Briar. The winding, rusted iron briars are a mark of the guilty and typically indicate a sentence of death. They also cause this armor to deal damage when performing dodge rolls.Elemer murdered numerous instructors and merchants, and was known as the Bell Bearing Hunter.",IType:
Prompt:,"IName:,","Completion:,",Brigand Armor,IDescription:,"Armor from a foreign land. Probably belonged to a brigand who met his match. In foreign lands, undead were banished to send a message to populace, and when the message was not heard, they banished the living, too.",IType:
Prompt:,"IName:,","Completion:,",Brigand Gauntlets,IDescription:,"Mountains surround Drangleic on three sides. Most travelers who try to cross them end up hapless prey to the countless brigands lurking there. This armor may appear shoddy, but is in fact a very functional piece of work, its materials meticulously crafted together.",IType:
Prompt:,"IName:,","Completion:,",Bull-Goat Helm,IDescription:,"Great Horned Tragoth's helm, adorned with a gold bull-goat motif. Provides high poise.Tragoth is a famed knight of assistance. Countless Tarnished, facing adversity in the Lands Between, have survived thanks only to the Great Horned One's aid",IType:
Prompt:,"IName:,","Completion:,",Butcher Garb,IDescription:,"Garb of the Madaras twins, denizens of the Forbidden Woods, likely belonging to the older of the two. Both the twins became hunters, and brought back and dissected their beast prey, in order to support the villagers in their forbidden research.",IType:
Prompt:,"IName:,","Completion:,",Butcher Mask,IDescription:,"Mask of the Madaras twins, denizens of the Forbidden Woods, likely belonging to the older of the two. The twins grew up in silent kinship with a poisonous snake. Eventually they learned human ways, and became hunters. When they discovered vermin even in their beloved snake, the younger brother is said to have murdered the older.",IType:
Prompt:,"IName:,","Completion:,",Cainhurst Armor,IDescription:,"Silver armor worn by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle. This paper-thin silver armor is said to deflect blood of ill-intent, and is what allows the royal guards to capture prey for their beloved Queen, so that one day, she may bear a Child of Blood.",IType:
Prompt:,"IName:,","Completion:,",Cainhurst Helmet,IDescription:,"Silver helmet worn by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle. This paper-thin silver armor is said to deflect blood of ill-intent, and is what allows the royal guards to capture prey for their beloved Queen, so that one day, she may bear a Child of Blood.",IType:
Prompt:,"IName:,","Completion:,",Carian Knight Armor,IDescription:,"Armor of the enchanted knights that once served the Carian royal family.The enchanted knights, anointed by the Lunar Queen, were heroes of the highest honors, but fell into disarray with the decline of the royal family.",IType:
Prompt:,"IName:,","Completion:,",Carim Helm,IDescription:,Unusual helm bestowed upon knights of Carim.,IType:
Prompt:,"IName:,","Completion:,",Catarina Armor,IDescription:,"Distinctively shaped armor worn by the Knights of Catarina. Outside of Catarina, it is often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying",IType:
Prompt:,"IName:,","Completion:,",Catarina Armor,IDescription:,"This armor appears rather absurd, but its multi-faced construction is in fact quite practical as it effectively deflects physical attacks.The old tales speak of brave Catarina knight wearing this armor as they rushed courageously into battle",IType:
Prompt:,"IName:,","Completion:,",Cathedral Knight Armor,IDescription:,"Massive iron armor worn by knights serving the Cathedral of the Deep. Repulsive creatures of the deep are sure to attract the foolish, but the cathedral knights are prepared to meet such intruders head on with their more than ample might.",IType:
Prompt:,"IName:,","Completion:,",Chain Armor,IDescription:,"Chainmail armor of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense. Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive. One of the more common kinds of protective gear",IType:
Prompt:,"IName:,","Completion:,",Chain Armor,IDescription:,"Chainmail armor of thin interlinking rings of steel. Popular due to its ease of crafting, respectable damage absorption, and light weight. Knights may favor imposing armor, but for warriors on the battlefield, that which keeps them alive is armor enough.",IType:
Prompt:,"IName:,","Completion:,",Chain Armor,IDescription:,"Armor made of woven chain.Standard issue for ordinary soldiers.Though plain in appearance, it offers dependable protection.",IType:
Prompt:,"IName:,","Completion:,",Chain-Draped Tabard,IDescription:,"Padded cloth armor with a chainmail shawl draped over the shoulders.Widely issued to foot soldiers in a lord's army.",IType:
Prompt:,"IName:,","Completion:,",Champion Pauldron,IDescription:,"Pauldron reserved for the badlands' bravest.Proof that the wearer has slaughtered countless foes.Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment.",IType:
Prompt:,"IName:,","Completion:,",Chaos Robe,IDescription:,"Robe worn by a chaos sorcerer. The man claims to have sealed himself away, but who's ever heard of sentient magic?It is no doubt difficult to judge the veracity of the man's words, but this hood certainly seems to possess an unusual power. He calls himself Navlaan, now.",IType:
Prompt:,"IName:,","Completion:,",Charred Hunter Garb,IDescription:,"One of the staple articles of hunter attire, fashioned at the workshop. A product of the scourge of the beast that once plagued Old Yharnam and culminated in the town's fiery cleansing. The cape's dampness makes it highly resistant to fire. Wearers of this attire hunted down Victims of the scourge who survived the raging flames and stench of singed blood.",IType:
Prompt:,"IName:,","Completion:,",Chester's Long Coat,IDescription:,"Black leather long coat hat worn by Marvellous Chester, a man of mystery lost in the past. This exquisitely sewn aristocratic suit allows its wearer to move in silence, lending well to stealth",IType:
Prompt:,"IName:,","Completion:,",Choir Garb,IDescription:,"Attire of the Choir, high-ranking members of the Healing Church. Members of the Choir are both the highest-ranking clerics of the Healing Church, and scholars who continue the work that began at Byrgenwerth. Together with the left behind Great One, they look to the skies, in search of astral signs, that may lead them to the rediscovery of true greatness.",IType:
Prompt:,"IName:,","Completion:,",Cleanrot Armor,IDescription:,"Armor of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering.The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles fiercest of all.",IType:
Prompt:,"IName:,","Completion:,",Cleric Armor,IDescription:,"Armor worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle. It is rather substantial in size and weight, making its wearer look even bigger than he actually is",IType:
Prompt:,"IName:,","Completion:,",Cleric Blue Robe,IDescription:,Garb worn by a cleric turned undead. Unmistakable vibrant blue robes. It is said that the blue-robed travelers were entrusted with a duty. They bore large covers on their backs to ensure that they would not become seedbeds for spreading darkness.,IType:
Prompt:,"IName:,","Completion:,",Commoner's Garb,IDescription:,"Garb with a thick embroidered cape attached.Standard wear for commoners of the Lands Between.The board hung from the neck depicts a sprawling tree, its rootsand branches forming two holes. This is a self-imposed shackle, avoluntary display of allegiance to the Erdtree that increases faith.",IType:
Prompt:,"IName:,","Completion:,",Confessor Set,IDescription:,"Black hood for blending in with the darkness.Worn by church confessors.The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace.The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies.",IType:
Prompt:,"IName:,","Completion:,",Conjurator Robe,IDescription:,"Attire of traveling conjurators. Conjurators were the predecessors to pyromancers, and spent their lives roaming the lands. No wonder their attire was designed to protect them from fire, poison, and other threats of nature.",IType:
Prompt:,"IName:,","Completion:,",Consort's Mask,IDescription:,"Mask worn by Tanith, Lady of the Volcano Manor, in the image of a foreign queen.Increase dexterity.Long ago, when Rykard first set eyes on Tanith, she was working as a dancer in a foreign land. Soon, he made her his consort.She was the only human to remain by his side when he became the serpent of blasphemy.In that moment, Tanith was truly charmed by him.",IType:
Prompt:,"IName:,","Completion:,",Constable's Garb,IDescription:,"Once upon a time a troupe of foreign constables chased a beast all the way to Yahrnam, and this is what they wore. The constables became victims of the beast, except for one survivor, who in turn devoured the creature whole, all by himself. The fable is a favorite among Yahrnamites, who are partial to any stories of pompous, intolerant foreigners, who suffer for their ignorance. It makes the blood taste that much sweeter.",IType:
Prompt:,"IName:,","Completion:,",Cornyx's Garb,IDescription:,"Attire of pyromancers of the Great Swamp, particularly favored by old sages. . Attire of Cornyx, pyromancer of the Great Swamp. In the Great Swamp, it was customary to adorn oneself with articles of nature. He favored the use of raven feathers. Ravens are said to have once been Firelink messengers, guiding the undead to the land of ancient gods. The bronze ornamentation serves to ward off evil spirits. The long skirt emulates those worn by witches, who were the forebearers of pyromancy.",IType:
Prompt:,"IName:,","Completion:,",Court Sorcerer Robe,IDescription:,"Armor worn by court sorcerers of the Profaned Capital. The tall, dark headpiece and formal gold stitching suggests they may have also been oracles. There are many sorcerers who claim to heirship to the great sage Big Hat Logan, and the Profaned Capital houses on of two leading schools.",IType:
Prompt:,"IName:,","Completion:,",Creighton's Chainmail,IDescription:,"A typical steel chainmail. Belonged to Creighton the Wanderer. Its design resembles that of the knight order of the eastern land of Mirrah, but with some odd differences that catch the eye. Perhaps it is a finely-crafted imitation",IType:
Prompt:,"IName:,","Completion:,",Crimson Robe,IDescription:,"Robe of the sorcerers who flooded New Londo to seal away the Dark wraiths, and the Four Kings who descended into Dark. The Sealers were once known as healers, and the bright crimson was a symbol of that",IType:
Prompt:,"IName:,","Completion:,",Crowfeather Garb,IDescription:,"Attire worn by Eileen the Crow, Hunter of Hunters, known in particular for her crowfeather cape. Hunters of Hunters dress as crows to suggest sky burial. The first Hunter of Hunters came from a foreign land, and gave the dead a virtuous native funeral ritual, rather than impose a blasphemous Yharnam burial service upon them, with the hope that former compatriots might be returned to the skies, and find rest in a hunter's dream.",IType:
Prompt:,"IName:,","Completion:,",Crown of Dusk,IDescription:,"Special magic crown bestowed upon Dusk, Princess of Oolacile, upon her birth. Its wearer is blessed by all manner of magic. This raises the power and effect of the wearer's magic, but damage suffered by magic attack also rises",IType:
